Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='Nystrom-OCSVM(linear)', time='2021-04-05 18:52:14')
***DWSHR_WSHR_2020, Nystrom-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.0358163109049201 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015319363912567496, model_test_time: 0.020496946992352605
Total test time: 0.03402313659898937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013597233453765512, model_test_time: 0.020425903145223856
Total test time: 0.031218894524499774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013599992729723454, model_test_time: 0.01761890179477632
Total test time: 0.031229832209646702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013607752975076437, model_test_time: 0.017622079234570265
Total test time: 0.031228634994477034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01359535800293088, model_test_time: 0.017633276991546154
Total test time: 0.031118840677663684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013556815683841705, model_test_time: 0.01756202499382198
Total test time: 0.031204833183437586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013577650068327785, model_test_time: 0.0176271831151098
Total test time: 0.031145978020504117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013539317063987255, model_test_time: 0.017606660956516862
Total test time: 0.03121873689815402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013615877600386739, model_test_time: 0.01760285929776728
Total test time: 0.031232645735144615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013588013825938106, model_test_time: 0.01764463190920651
Total test time: 0.03114873613230884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013527542119845748, model_test_time: 0.017621194012463093
Total test time: 0.031122486107051373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013495511142536998, model_test_time: 0.017626974964514375
Total test time: 0.031240771990269423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013620828045532107, model_test_time: 0.017619943944737315
Total test time: 0.031249209074303508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013603900093585253, model_test_time: 0.017645308980718255
Total test time: 0.031246917322278023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013599577127024531, model_test_time: 0.01764734019525349
Total test time: 0.03126509301364422 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013609263114631176, model_test_time: 0.017655829899013042
Total test time: 0.03116727783344686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013554523000493646, model_test_time: 0.017612754832953215
Total test time: 0.031189622823148966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013582492945715785, model_test_time: 0.01760712987743318
Total test time: 0.031217801850289106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013582701794803143, model_test_time: 0.017635100055485964
Total test time: 0.031173529801890254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013545200927183032, model_test_time: 0.017628328874707222
***1_th repeat
Total test time: 0.031292960280552506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013529835268855095, model_test_time: 0.01776312501169741
Total test time: 0.0315389558672905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013545929919928312, model_test_time: 0.017993025947362185
Total test time: 0.03117941622622311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013488220050930977, model_test_time: 0.017691196175292134
Total test time: 0.031198531156405807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013512024190276861, model_test_time: 0.017686506966128945
Total test time: 0.031249886145815253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01351967896334827, model_test_time: 0.017730207182466984
Total test time: 0.031392754754051566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013628484914079309, model_test_time: 0.017764269839972258
Total test time: 0.03865934908390045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013560459250584245, model_test_time: 0.025098889833316207
Total test time: 0.031209104927256703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013515878934413195, model_test_time: 0.01769322599284351
