Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-05 18:48:49')
***DWSHR_WSHR_2020, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.019672861555591226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015712496358901262, model_test_time: 0.003960365196689963
Total test time: 0.017501554684713483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013674162793904543, model_test_time: 0.00382739189080894
Total test time: 0.017405356047675014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013578796060755849, model_test_time: 0.0038265599869191647
Total test time: 0.0174012400675565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013620931189507246, model_test_time: 0.0037803088780492544
Total test time: 0.017368582542985678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013572127791121602, model_test_time: 0.0037964547518640757
Total test time: 0.017458010464906693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013656973605975509, model_test_time: 0.003801036858931184
Total test time: 0.01735014095902443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013583897147327662, model_test_time: 0.003766243811696768
Total test time: 0.017461238894611597 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01370525499805808, model_test_time: 0.0037559838965535164
Total test time: 0.017348058754578233 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013572647934779525, model_test_time: 0.003775410819798708
Total test time: 0.017396342009305954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01363400393165648, model_test_time: 0.003762338077649474
Total test time: 0.017817395739257336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014027347788214684, model_test_time: 0.003790047951042652
Total test time: 0.017500096699222922 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013615254778414965, model_test_time: 0.0038848419208079576
Total test time: 0.017328061163425446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013572753872722387, model_test_time: 0.0037553072907030582
Total test time: 0.017435044050216675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013689737068489194, model_test_time: 0.003745306981727481
Total test time: 0.017349467845633626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01360494177788496, model_test_time: 0.003744526067748666
Total test time: 0.01738431304693222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013615047093480825, model_test_time: 0.003769265953451395
Total test time: 0.01740077114664018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013640308054164052, model_test_time: 0.0037604630924761295
Total test time: 0.017434782814234495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013672703877091408, model_test_time: 0.0037620789371430874
Total test time: 0.01739936601370573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01357963029295206, model_test_time: 0.0038197357207536697
Total test time: 0.017421707743778825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013678901828825474, model_test_time: 0.003742805914953351
***1_th repeat
Total test time: 0.01759702479466796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01376343471929431, model_test_time: 0.0038335900753736496
Total test time: 0.017596765188500285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013680412201210856, model_test_time: 0.003916352987289429
Total test time: 0.017559212166815996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013693329179659486, model_test_time: 0.0038658829871565104
Total test time: 0.017530044773593545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013674370013177395, model_test_time: 0.00385567476041615
Total test time: 0.017558065941557288 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013714475790038705, model_test_time: 0.0038435901515185833
Total test time: 0.017496086889877915 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01363864098675549, model_test_time: 0.003857445903122425
Total test time: 0.017593326047062874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013704214012250304, model_test_time: 0.0038891120348125696
Total test time: 0.017625307897105813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013745778938755393, model_test_time: 0.00387952895835042
Total test time: 0.01755660935305059 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01367499609477818, model_test_time: 0.0038816132582724094
Total test time: 0.017559837084263563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013652128865942359, model_test_time: 0.003907708218321204
Total test time: 0.017575620440766215 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01372557133436203, model_test_time: 0.0038500491064041853
