Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='True', header='True', model='Nystrom-QS-init_GMM(diag)', time='2021-04-05 18:55:38')
***DWSHR_WSHR_2020, Nystrom-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.019398635951802135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016113340854644775, model_test_time: 0.003285295097157359
Total test time: 0.017437803791835904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014372513862326741, model_test_time: 0.003065289929509163
Total test time: 0.017238735919818282 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014217770658433437, model_test_time: 0.0030209652613848448
Total test time: 0.017241026973351836 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014242145931348205, model_test_time: 0.0029988810420036316
Total test time: 0.017224983545020223 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014170059701427817, model_test_time: 0.0030549238435924053
Total test time: 0.017192380968481302 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014195999829098582, model_test_time: 0.00299638113938272
Total test time: 0.017284675035625696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01425797981210053, model_test_time: 0.0030266952235251665
Total test time: 0.01727925706654787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014243761077523232, model_test_time: 0.003035495989024639
Total test time: 0.017301966436207294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01428719935938716, model_test_time: 0.003014767076820135
Total test time: 0.017344205640256405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014301052549853921, model_test_time: 0.003043153090402484
Total test time: 0.017297539161518216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014213604154065251, model_test_time: 0.0030839350074529648
Total test time: 0.017232274869456887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014225478051230311, model_test_time: 0.003006796818226576
Total test time: 0.017386081628501415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014322980772703886, model_test_time: 0.0030631008557975292
Total test time: 0.017194827320054173 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01421563420444727, model_test_time: 0.002979193115606904
Total test time: 0.01733879093080759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014316732063889503, model_test_time: 0.003022058866918087
Total test time: 0.01726946420967579 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014234802220016718, model_test_time: 0.003034661989659071
Total test time: 0.01723076542839408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014253239380195737, model_test_time: 0.0029775260481983423
Total test time: 0.01729415380395949 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014240322867408395, model_test_time: 0.003053830936551094
Total test time: 0.017347489250823855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014167509274557233, model_test_time: 0.0031799799762666225
Total test time: 0.01727738161571324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01425693673081696, model_test_time: 0.0030204448848962784
***1_th repeat
