Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-05 18:47:26')
***DWSHR_WSHR_2020, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02420886722393334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015555409248918295, model_test_time: 0.008653457975015044
Total test time: 0.022669191006571054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013675569090992212, model_test_time: 0.008993621915578842
Total test time: 0.02292643580585718 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013625617837533355, model_test_time: 0.009300817968323827
Total test time: 0.022059799637645483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013608118752017617, model_test_time: 0.008451680885627866
Total test time: 0.02269361773505807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01403859886340797, model_test_time: 0.0086550188716501
Total test time: 0.022010321030393243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013574785785749555, model_test_time: 0.008435535244643688
Total test time: 0.022013705922290683 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013504627160727978, model_test_time: 0.008509078761562705
Total test time: 0.02187031484209001 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0134813969489187, model_test_time: 0.00838891789317131
Total test time: 0.02370437583886087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015156181761994958, model_test_time: 0.008548194076865911
Total test time: 0.022355693392455578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013860990293323994, model_test_time: 0.008494703099131584
Total test time: 0.022212774958461523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013666403014212847, model_test_time: 0.008546371944248676
Total test time: 0.02212464460171759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013682755641639233, model_test_time: 0.008441888960078359
Total test time: 0.022171935765072703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013630564790219069, model_test_time: 0.008541370974853635
Total test time: 0.02216370706446469 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013688224134966731, model_test_time: 0.008475482929497957
Total test time: 0.021943445317447186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013562130043283105, model_test_time: 0.00838131527416408
Total test time: 0.02205610368400812 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013575306860730052, model_test_time: 0.00848079682327807
Total test time: 0.022028808714821935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013569626724347472, model_test_time: 0.008459181990474463
Total test time: 0.022089227801188827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013598743826150894, model_test_time: 0.008490483975037932
Total test time: 0.02212818688713014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013649057829752564, model_test_time: 0.008479129057377577
Total test time: 0.022268140222877264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013574265176430345, model_test_time: 0.00869387504644692
***1_th repeat
