Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-05 18:51:30')
***DWSHR_WSHR_2020, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.2955330419354141 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.529991075396538e-06, model_test_time: 0.2955235119443387
Total test time: 0.2912669428624213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.302492693066597e-06, model_test_time: 0.2912606403697282
Total test time: 0.29134772601537406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.562797352671623e-06, model_test_time: 0.2913411632180214
Total test time: 0.2911667851731181 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.616348400712013e-06, model_test_time: 0.2911601688247174
Total test time: 0.29203399177640676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.457790732383728e-06, model_test_time: 0.2920275339856744
Total test time: 0.29161184933036566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.095273420214653e-06, model_test_time: 0.29160575405694544
Total test time: 0.29169528698548675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.886191502213478e-06, model_test_time: 0.29168940079398453
Total test time: 0.29297479800879955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.353016942739487e-06, model_test_time: 0.2929684449918568
Total test time: 0.29143241490237415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.937879905104637e-06, model_test_time: 0.29142647702246904
Total test time: 0.2914278847165406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.2498729676008224e-06, model_test_time: 0.291421634843573
Total test time: 0.29138991236686707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.7283323258161545e-06, model_test_time: 0.29138418403454125
Total test time: 0.2912098572123796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4070336520671844e-06, model_test_time: 0.2912034501787275
Total test time: 0.2915206979960203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.885027348995209e-06, model_test_time: 0.2915148129686713
Total test time: 0.29117699270136654 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.885958671569824e-06, model_test_time: 0.291171106742695
Total test time: 0.2922107682097703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.093177944421768e-06, model_test_time: 0.2922046750318259
Total test time: 0.2915080937091261 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.197718903422356e-06, model_test_time: 0.2915018959902227
Total test time: 0.29212488094344735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.457790732383728e-06, model_test_time: 0.29211842315271497
Total test time: 0.29169497336260974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.458256393671036e-06, model_test_time: 0.2916885151062161
Total test time: 0.2914480387698859 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.987938493490219e-06, model_test_time: 0.2914420508313924
Total test time: 0.2911214178893715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.134862244129181e-06, model_test_time: 0.2911142830271274
***1_th repeat
Total test time: 0.2906108817551285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.0407910495996475e-06, model_test_time: 0.2906048409640789
Total test time: 0.2915408539120108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.770016625523567e-06, model_test_time: 0.29153408389538527
Total test time: 0.2906766664236784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.25033862888813e-06, model_test_time: 0.2906704160850495
Total test time: 0.2904750988818705 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.302958354353905e-06, model_test_time: 0.29046879592351615
Total test time: 0.29221102874726057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.936715751886368e-06, model_test_time: 0.2922050920315087
Total test time: 0.29040478309616446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.9371814131736755e-06, model_test_time: 0.2903988459147513
Total test time: 0.29127417923882604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.040092557668686e-06, model_test_time: 0.29126813914626837
Total test time: 0.29043988790363073 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.2498729676008224e-06, model_test_time: 0.29043363803066313
Total test time: 0.2906634886749089 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.457790732383728e-06, model_test_time: 0.2906570308841765
Total test time: 0.2905140072107315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.460119038820267e-06, model_test_time: 0.2905075470916927
Total test time: 0.290467182174325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.3551124185323715e-06, model_test_time: 0.29046082706190646
Total test time: 0.291015840601176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.884794518351555e-06, model_test_time: 0.29100995580665767
Total test time: 0.2906015601474792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.041955202817917e-06, model_test_time: 0.29059551819227636
Total test time: 0.2905961428768933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.146030500531197e-06, model_test_time: 0.29058999684639275
Total test time: 0.2903385309036821 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.509944796562195e-06, model_test_time: 0.29033202095888555
Total test time: 0.29064140492118895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.354879587888718e-06, model_test_time: 0.29063505004160106
Total test time: 0.29099365370348096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.09387643635273e-06, model_test_time: 0.2909875598270446
Total test time: 0.29652869584970176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.98980113863945e-06, model_test_time: 0.2965227060485631
Total test time: 0.29019889305345714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.094109266996384e-06, model_test_time: 0.29019279894419014
Total test time: 0.29074078262783587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.937879905104637e-06, model_test_time: 0.29073484474793077
***2_th repeat
Total test time: 0.29098985088057816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.780952051281929e-06, model_test_time: 0.2909840699285269
Total test time: 0.2933342868927866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.30086287856102e-06, model_test_time: 0.29332798602990806
Total test time: 0.2905894771683961 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.094109266996384e-06, model_test_time: 0.2905833830591291
Total test time: 0.2905310890637338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.145099177956581e-06, model_test_time: 0.29052494396455586
Total test time: 0.29096292215399444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.145099177956581e-06, model_test_time: 0.2909567770548165
Total test time: 0.29109000880271196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.248941645026207e-06, model_test_time: 0.29108375986106694
Total test time: 0.29146788362413645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.936715751886368e-06, model_test_time: 0.29146194690838456
Total test time: 0.2906707285437733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.989335477352142e-06, model_test_time: 0.29066473920829594
Total test time: 0.2909444326069206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.561633199453354e-06, model_test_time: 0.29093787097372115
Total test time: 0.29090818110853434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.092246621847153e-06, model_test_time: 0.2909020888619125
Total test time: 0.2905661961995065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.095273420214653e-06, model_test_time: 0.2905601009260863
Total test time: 0.29070906178094447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.353948265314102e-06, model_test_time: 0.29070270783267915
Total test time: 0.29120402387343347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.936715751886368e-06, model_test_time: 0.2911980871576816
Total test time: 0.2956878924742341 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.407266482710838e-06, model_test_time: 0.2956814852077514
Total test time: 0.2907568251248449 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.09387643635273e-06, model_test_time: 0.29075073124840856
Total test time: 0.2911236046347767 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.030786946415901e-06, model_test_time: 0.2911165738478303
