Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-05 18:00:26')
***MACCDC1, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.018905956065282226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015716810943558812, model_test_time: 0.0031891451217234135
Total test time: 0.017036324832588434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014030777849256992, model_test_time: 0.003005546983331442
Total test time: 0.0169053312856704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013950047083199024, model_test_time: 0.0029552842024713755
Total test time: 0.016932363156229258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013960515148937702, model_test_time: 0.0029718480072915554
Total test time: 0.01679709879681468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013857804937288165, model_test_time: 0.002939293859526515
Total test time: 0.017094556940719485 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013960361015051603, model_test_time: 0.003134195925667882
Total test time: 0.016956791281700134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01388087822124362, model_test_time: 0.0030759130604565144
Total test time: 0.016973094083368778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013995413901284337, model_test_time: 0.002977680182084441
Total test time: 0.01692147715948522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013882962055504322, model_test_time: 0.003038515103980899
Total test time: 0.016926738433539867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013947650790214539, model_test_time: 0.002979087643325329
Total test time: 0.016978770960122347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013916087802499533, model_test_time: 0.003062683157622814
Total test time: 0.016882468247786164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013956246199086308, model_test_time: 0.002926222048699856
Total test time: 0.016966428142040968 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013932391069829464, model_test_time: 0.003034037072211504
Total test time: 0.016932260477915406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013985674362629652, model_test_time: 0.002946586115285754
Total test time: 0.017176796682178974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014140312792733312, model_test_time: 0.0030364838894456625
Total test time: 0.016976012382656336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01393593312241137, model_test_time: 0.0030400792602449656
Total test time: 0.01714096381329 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014098749961704016, model_test_time: 0.0030422138515859842
Total test time: 0.01702861674129963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014032184844836593, model_test_time: 0.0029964318964630365
Total test time: 0.016973043093457818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013896557269617915, model_test_time: 0.003076485823839903
Total test time: 0.017171381041407585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01418588706292212, model_test_time: 0.002985493978485465
***1_th repeat
Total test time: 0.017318988917395473 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014073748840019107, model_test_time: 0.0032452400773763657
Total test time: 0.01730039599351585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014086771057918668, model_test_time: 0.0032136249355971813
Total test time: 0.01695132488384843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013784939888864756, model_test_time: 0.003166384994983673
Total test time: 0.017040805658325553 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013827804708853364, model_test_time: 0.003213000949472189
Total test time: 0.01699601113796234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013840148225426674, model_test_time: 0.0031558629125356674
Total test time: 0.017094398848712444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013971870765089989, model_test_time: 0.0031225280836224556
Total test time: 0.017035804921761155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013875722885131836, model_test_time: 0.003160082036629319
Total test time: 0.01702861674129963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013850149931386113, model_test_time: 0.003178466809913516
Total test time: 0.01731794700026512 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013983016833662987, model_test_time: 0.0033349301666021347
Total test time: 0.017396489856764674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014052549842745066, model_test_time: 0.0033439400140196085
Total test time: 0.017615871038287878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014064581133425236, model_test_time: 0.0035512899048626423
Total test time: 0.018507614033296704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014688400086015463, model_test_time: 0.0038192139472812414
Total test time: 0.017591705080121756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014113021083176136, model_test_time: 0.0034786839969456196
