Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(diag)', time='2021-04-05 18:00:18')
***MACCDC1, Nystrom-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01882038009352982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01548175304196775, model_test_time: 0.003338627051562071
Total test time: 0.0168984557967633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013739051762968302, model_test_time: 0.003159404033794999
Total test time: 0.016670065000653267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013647800078615546, model_test_time: 0.0030222649220377207
Total test time: 0.0169163232203573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013782283058390021, model_test_time: 0.0031340401619672775
Total test time: 0.016773870214819908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013727541081607342, model_test_time: 0.0030463291332125664
Total test time: 0.016810539178550243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01369269797578454, model_test_time: 0.003117841202765703
Total test time: 0.01669626496732235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013631446054205298, model_test_time: 0.003064818913117051
Total test time: 0.016831478103995323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013687281869351864, model_test_time: 0.0031441962346434593
Total test time: 0.016740381252020597 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013652958208695054, model_test_time: 0.0030874230433255434
Total test time: 0.016873768297955394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013737437315285206, model_test_time: 0.003136330982670188
Total test time: 0.016948719043284655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013854263816028833, model_test_time: 0.0030944552272558212
Total test time: 0.016693765064701438 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013663060963153839, model_test_time: 0.003030704101547599
Total test time: 0.016729495022445917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013661760138347745, model_test_time: 0.003067734884098172
Total test time: 0.016808662097901106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013717906083911657, model_test_time: 0.0030907560139894485
Total test time: 0.016890955856069922 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013816918944939971, model_test_time: 0.0030740369111299515
