Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='Nystrom-OCSVM(linear)', time='2021-04-05 18:00:01')
***MACCDC1, Nystrom-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.03636057302355766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015741759911179543, model_test_time: 0.02061881311237812
Total test time: 0.034560317639261484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014129477785900235, model_test_time: 0.02043083985336125
Total test time: 0.03179238340817392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014014425221830606, model_test_time: 0.017777958186343312
Total test time: 0.03192790667526424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014025256736204028, model_test_time: 0.01790264993906021
Total test time: 0.03200098010711372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014001245144754648, model_test_time: 0.01799973496235907
Total test time: 0.031799725722521544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01405515382066369, model_test_time: 0.017744571901857853
Total test time: 0.031757276970893145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014053018065169454, model_test_time: 0.01770425890572369
Total test time: 0.03171993256546557 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01405098638497293, model_test_time: 0.01766894618049264
Total test time: 0.03183051059022546 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013980518328025937, model_test_time: 0.01784999226219952
Total test time: 0.031767485197633505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01404557004570961, model_test_time: 0.017721915151923895
Total test time: 0.031712119933217764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014013694832101464, model_test_time: 0.0176984251011163
Total test time: 0.031936761224642396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01400103815831244, model_test_time: 0.017935723066329956
Total test time: 0.031781026627868414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014031037921085954, model_test_time: 0.01774998870678246
Total test time: 0.03179201879538596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013992236694321036, model_test_time: 0.01779978210106492
Total test time: 0.03176123579032719 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014013746753334999, model_test_time: 0.017747489036992192
