Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-05 18:00:34')
***MACCDC1, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01913622277788818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01573175983503461, model_test_time: 0.00340446294285357
Total test time: 0.01745326374657452 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013917338801547885, model_test_time: 0.003535924945026636
Total test time: 0.01712294202297926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0139432770665735, model_test_time: 0.003179664956405759
Total test time: 0.0171538800932467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013895255047827959, model_test_time: 0.0032586250454187393
Total test time: 0.01703799399547279 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01389921479858458, model_test_time: 0.0031387791968882084
Total test time: 0.017157161608338356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013845930574461818, model_test_time: 0.0033112310338765383
Total test time: 0.017098566284403205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013837388250976801, model_test_time: 0.003261178033426404
Total test time: 0.017133931163698435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013910203007981181, model_test_time: 0.0032237281557172537
Total test time: 0.01706726406700909 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013827597023919225, model_test_time: 0.0032396670430898666
Total test time: 0.01694397977553308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013815253740176558, model_test_time: 0.0031287260353565216
Total test time: 0.017061742255464196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013836555182933807, model_test_time: 0.003225187072530389
Total test time: 0.0169579372741282 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013792908284813166, model_test_time: 0.003165028989315033
Total test time: 0.017101901350542903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013867286266759038, model_test_time: 0.003234615083783865
Total test time: 0.017056116368621588 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013873221119865775, model_test_time: 0.0031828952487558126
Total test time: 0.017116793664172292 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013974421890452504, model_test_time: 0.0031423717737197876
Total test time: 0.01713283802382648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013905515195801854, model_test_time: 0.0032273228280246258
Total test time: 0.017102420097216964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013844314962625504, model_test_time: 0.0032581051345914602
Total test time: 0.017080494202673435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013900151243433356, model_test_time: 0.003180342959240079
Total test time: 0.017040701815858483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013797805877402425, model_test_time: 0.0032428959384560585
Total test time: 0.01722159213386476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013869994087144732, model_test_time: 0.003351598046720028
***1_th repeat
Total test time: 0.01766274683177471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014208229957148433, model_test_time: 0.003454516874626279
Total test time: 0.017340344144031405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01394150615669787, model_test_time: 0.003398837987333536
Total test time: 0.017303309869021177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013962494907900691, model_test_time: 0.0033408149611204863
Total test time: 0.017278416315093637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013902495382353663, model_test_time: 0.003375920932739973
Total test time: 0.017300342675298452 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013942599762231112, model_test_time: 0.003357742913067341
Total test time: 0.017324354965239763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013958589872345328, model_test_time: 0.003365765092894435
Total test time: 0.017347844317555428 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013960828306153417, model_test_time: 0.003387016011402011
Total test time: 0.017291801515966654 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013880775310099125, model_test_time: 0.003411026205867529
Total test time: 0.01732451026327908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013958746334537864, model_test_time: 0.0033657639287412167
Total test time: 0.01740471995435655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013961663004010916, model_test_time: 0.0034430569503456354
Total test time: 0.017326125176623464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013888484332710505, model_test_time: 0.003437640843912959
Total test time: 0.017273726174607873 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013858066173270345, model_test_time: 0.0034156600013375282
Total test time: 0.017402376048266888 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013891244307160378, model_test_time: 0.00351113174110651
Total test time: 0.017339144833385944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013903119135648012, model_test_time: 0.003436025697737932
Total test time: 0.017362689366564155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013996977359056473, model_test_time: 0.003365712007507682
Total test time: 0.017352168215438724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013910672161728144, model_test_time: 0.00344149605371058
Total test time: 0.01729638408869505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013866295805200934, model_test_time: 0.003430088283494115
Total test time: 0.017319144448265433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013911661226302385, model_test_time: 0.003407483221963048
Total test time: 0.01733836391940713 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013910515001043677, model_test_time: 0.003427848918363452
Total test time: 0.01722096581943333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013863951899111271, model_test_time: 0.0033570139203220606
***2_th repeat
Total test time: 0.01722471509128809 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01402666512876749, model_test_time: 0.0031980499625205994
Total test time: 0.01712497277185321 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013998850947245955, model_test_time: 0.003126121824607253
