Namespace(dataset='MAWI1_2020', feat='stats', gs='False', header='True', model='KJL-GMM(diag)', time='2021-04-05 17:55:02')
***MAWI1_2020, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.021091733826324344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018769538728520274, model_test_time: 0.0023221950978040695
Total test time: 0.019432211061939597 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016997148981317878, model_test_time: 0.0024350620806217194
Total test time: 0.01901923306286335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016850740183144808, model_test_time: 0.002168492879718542
Total test time: 0.019064701860770583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016908136662095785, model_test_time: 0.002156565198674798
Total test time: 0.019053973024711013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016889438964426517, model_test_time: 0.0021645340602844954
Total test time: 0.01933970907703042 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017143716104328632, model_test_time: 0.002195992972701788
Total test time: 0.01916892291046679 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01696412800811231, model_test_time: 0.002204794902354479
Total test time: 0.01926236297003925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01705636875703931, model_test_time: 0.00220599421299994
Total test time: 0.01899001211859286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016827509040012956, model_test_time: 0.0021625030785799026
Total test time: 0.019003606867045164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0168558438308537, model_test_time: 0.0021477630361914635
Total test time: 0.019165328703820705 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01696678390726447, model_test_time: 0.0021985447965562344
Total test time: 0.01939262868836522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017148925689980388, model_test_time: 0.0022437029983848333
Total test time: 0.01934538595378399 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01708444277755916, model_test_time: 0.0022609431762248278
Total test time: 0.019058452919125557 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01687006512656808, model_test_time: 0.002188387792557478
Total test time: 0.01899923081509769 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01683193678036332, model_test_time: 0.0021672940347343683
Total test time: 0.019055847777053714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016895948676392436, model_test_time: 0.0021598991006612778
Total test time: 0.01896193902939558 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016804645070806146, model_test_time: 0.0021572939585894346
Total test time: 0.019104391103610396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016955846920609474, model_test_time: 0.002148544183000922
Total test time: 0.01893777190707624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016789540881291032, model_test_time: 0.0021482310257852077
Total test time: 0.019250072073191404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017034443095326424, model_test_time: 0.0022156289778649807
***1_th repeat
Total test time: 0.02000467525795102 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01771888812072575, model_test_time: 0.0022857871372252703
Total test time: 0.01940226275473833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017187674762681127, model_test_time: 0.0022145879920572042
Total test time: 0.0194157010409981 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01721392502076924, model_test_time: 0.0022017760202288628
Total test time: 0.01930512418039143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017121319193392992, model_test_time: 0.002183804986998439
Total test time: 0.02003290574066341 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017606436973437667, model_test_time: 0.0024264687672257423
Total test time: 0.019434397807344794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017159027978777885, model_test_time: 0.002275369828566909
Total test time: 0.01929048914462328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017121787881478667, model_test_time: 0.0021687012631446123
Total test time: 0.01933887694031 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716309180483222, model_test_time: 0.0021757851354777813
Total test time: 0.019396377028897405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017118611140176654, model_test_time: 0.002277765888720751
Total test time: 0.019308772636577487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01708408072590828, model_test_time: 0.0022246919106692076
Total test time: 0.01946481689810753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01723173912614584, model_test_time: 0.002233077771961689
Total test time: 0.019304969115182757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01711444417014718, model_test_time: 0.002190524945035577
Total test time: 0.019506121054291725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0173240858130157, model_test_time: 0.0021820352412760258
Total test time: 0.019407470477744937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01714678853750229, model_test_time: 0.002260681940242648
Total test time: 0.01940502435900271 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01719288411550224, model_test_time: 0.002212140243500471
Total test time: 0.0194379398599267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017224916024133563, model_test_time: 0.0022130238357931376
Total test time: 0.019268873147666454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01708829728886485, model_test_time: 0.0021805758588016033
Total test time: 0.019342834129929543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716668508015573, model_test_time: 0.0021761490497738123
Total test time: 0.019305437337607145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01713147619739175, model_test_time: 0.002173961140215397
