Namespace(dataset='MAWI1_2020', feat='stats', gs='False', header='True', model='KJL-GMM(full)', time='2021-04-05 17:53:28')
***MAWI1_2020, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.021198762115091085 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018623384181410074, model_test_time: 0.002575377933681011
Total test time: 0.019180744187906384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016805266961455345, model_test_time: 0.0023754772264510393
Total test time: 0.019101471174508333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016700732987374067, model_test_time: 0.002400738187134266
Total test time: 0.019204806070774794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01679964130744338, model_test_time: 0.0024051647633314133
Total test time: 0.019228920806199312 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016839277697727084, model_test_time: 0.002389643108472228
Total test time: 0.01913933572359383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016686044400557876, model_test_time: 0.0024532913230359554
Total test time: 0.01906542689539492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01671099290251732, model_test_time: 0.0023544339928776026
Total test time: 0.01913048094138503 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016775890020653605, model_test_time: 0.0023545909207314253
Total test time: 0.01935835089534521 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016880111768841743, model_test_time: 0.0024782391265034676
Total test time: 0.01932657975703478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016862350748851895, model_test_time: 0.0024642290081828833
Total test time: 0.019169910112395883 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016768860165029764, model_test_time: 0.0024010499473661184
Total test time: 0.0190848542843014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016730576055124402, model_test_time: 0.002354278229176998
Total test time: 0.019129646942019463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01676714001223445, model_test_time: 0.002362506929785013
Total test time: 0.019126627128571272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016723233042284846, model_test_time: 0.0024033940862864256
Total test time: 0.01920496206730604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016766672022640705, model_test_time: 0.0024382900446653366
Total test time: 0.019323090789839625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016901883762329817, model_test_time: 0.0024212070275098085
Total test time: 0.019096313742920756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01671677571721375, model_test_time: 0.0023795380257070065
Total test time: 0.019077457953244448 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669521094299853, model_test_time: 0.0023822470102459192
