Namespace(dataset='MAWI1_2020', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-05 17:41:25')
***MAWI1_2020, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.028691335348412395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.024237259523943067, model_test_time: 0.004454075824469328
Total test time: 0.026806389912962914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022482836851850152, model_test_time: 0.0043235530611127615
Total test time: 0.03364485292695463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.029372396180406213, model_test_time: 0.004272456746548414
Total test time: 0.03295144997537136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02857226994819939, model_test_time: 0.004379180027171969
Total test time: 0.026669980958104134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022328354883939028, model_test_time: 0.004341626074165106
Total test time: 0.026842951774597168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02248887880705297, model_test_time: 0.004354072967544198
Total test time: 0.026755294762551785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022342156851664186, model_test_time: 0.004413137910887599
Total test time: 0.02684889081865549 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02248825295828283, model_test_time: 0.0043606378603726625
Total test time: 0.026659614872187376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022389553720131516, model_test_time: 0.0042700611520558596
Total test time: 0.026676072971895337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022407833952456713, model_test_time: 0.004268239019438624
Total test time: 0.026561905164271593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02230918686836958, model_test_time: 0.004252718295902014
Total test time: 0.026691645849496126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02242882503196597, model_test_time: 0.004262820817530155
Total test time: 0.026604352751746774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022337833885103464, model_test_time: 0.00426651886664331
Total test time: 0.026806703070178628 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02240247093141079, model_test_time: 0.0044042321387678385
Total test time: 0.02674034610390663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022414657985791564, model_test_time: 0.0043256881181150675
Total test time: 0.026848630979657173 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022511641029268503, model_test_time: 0.00433698995038867
Total test time: 0.02681227447465062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022476378362625837, model_test_time: 0.004335896112024784
Total test time: 0.02682717191055417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022474607918411493, model_test_time: 0.004352563992142677
Total test time: 0.026817692210897803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02238221000880003, model_test_time: 0.0044354822020977736
Total test time: 0.027017436921596527 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022505962988361716, model_test_time: 0.004511473933234811
***1_th repeat
Total test time: 0.026898318901658058 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022986443946138024, model_test_time: 0.003911874955520034
Total test time: 0.02657331107184291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022690707352012396, model_test_time: 0.003882603719830513
Total test time: 0.02644299529492855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022499921265989542, model_test_time: 0.003943074028939009
Total test time: 0.026551435003057122 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02246596198529005, model_test_time: 0.004085473017767072
Total test time: 0.026470497017726302 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022528204135596752, model_test_time: 0.00394229288212955
Total test time: 0.026409869315102696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022485650377348065, model_test_time: 0.003924218937754631
Total test time: 0.0264096069149673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022423721151426435, model_test_time: 0.003985885763540864
Total test time: 0.026374451350420713 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022416794206947088, model_test_time: 0.003957657143473625
Total test time: 0.026467995950952172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022495859069749713, model_test_time: 0.003972136881202459
Total test time: 0.02644283790141344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022454085992649198, model_test_time: 0.003988751908764243
Total test time: 0.02630299236625433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022349553182721138, model_test_time: 0.003953439183533192
Total test time: 0.026433618739247322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022425752831622958, model_test_time: 0.004007865907624364
Total test time: 0.026418567169457674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022474660072475672, model_test_time: 0.003943907096982002
Total test time: 0.026340490439906716 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022393094608560205, model_test_time: 0.003947395831346512
Total test time: 0.026342627126723528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022401377093046904, model_test_time: 0.003941250033676624
Total test time: 0.026333721820265055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022370386868715286, model_test_time: 0.0039633349515497684
Total test time: 0.02640169090591371 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02244387799873948, model_test_time: 0.00395781290717423
Total test time: 0.026337263407185674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02239262731745839, model_test_time: 0.0039446360897272825
Total test time: 0.026289552683010697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022426377749070525, model_test_time: 0.003863174933940172
Total test time: 0.02638335688970983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022469085874035954, model_test_time: 0.003914271015673876
***2_th repeat
Total test time: 0.027044885093346238 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022686020005494356, model_test_time: 0.004358865087851882
Total test time: 0.026853838935494423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022522213868796825, model_test_time: 0.0043316250666975975
Total test time: 0.026927592232823372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02260252903215587, model_test_time: 0.0043250632006675005
Total test time: 0.03203381900675595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.027763237012550235, model_test_time: 0.004270581994205713
Total test time: 0.026827743975445628 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022530026035383344, model_test_time: 0.0042977179400622845
Total test time: 0.026859047124162316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022542474092915654, model_test_time: 0.004316573031246662
Total test time: 0.02684399439021945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02253242116421461, model_test_time: 0.004311573226004839
Total test time: 0.026821441715583205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022542787017300725, model_test_time: 0.00427865469828248
Total test time: 0.02700295764952898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02268002973869443, model_test_time: 0.004322927910834551
Total test time: 0.02682201541028917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02255325624719262, model_test_time: 0.004268759163096547
Total test time: 0.02680107718333602 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022442888002842665, model_test_time: 0.004358189180493355
Total test time: 0.026743054622784257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022482733707875013, model_test_time: 0.004260320914909244
Total test time: 0.026929361512884498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022560130804777145, model_test_time: 0.004369230708107352
Total test time: 0.02698613377287984 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02272435394115746, model_test_time: 0.004261779831722379
Total test time: 0.026985873002558947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02261695498600602, model_test_time: 0.004368918016552925
Total test time: 0.026911704801023006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022606173995882273, model_test_time: 0.004305530805140734
Total test time: 0.02690806076861918 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022605862002819777, model_test_time: 0.004302198765799403
Total test time: 0.02743760496377945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02289013983681798, model_test_time: 0.00454746512696147
Total test time: 0.027121917810291052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022752947872504592, model_test_time: 0.00436896993778646
Total test time: 0.026719513116404414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02241971087642014, model_test_time: 0.004299802239984274
***3_th repeat
Total test time: 0.026969155063852668 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02261044504120946, model_test_time: 0.0043587100226432085
Total test time: 0.026784044224768877 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022405803203582764, model_test_time: 0.004378241021186113
Total test time: 0.026662010932341218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022326166043058038, model_test_time: 0.00433584488928318
Total test time: 0.026801335159689188 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02236746810376644, model_test_time: 0.004433867055922747
Total test time: 0.027574118226766586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02329869125969708, model_test_time: 0.004275426967069507
Total test time: 0.02664346806704998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02234976110048592, model_test_time: 0.004293706966564059
Total test time: 0.027151554124429822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02287961822003126, model_test_time: 0.0042719359043985605
Total test time: 0.026783733861520886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022327208891510963, model_test_time: 0.004456524970009923
Total test time: 0.026786182075738907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02246523299254477, model_test_time: 0.004320949083194137
Total test time: 0.026919830590486526 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022442055633291602, model_test_time: 0.004477774957194924
Total test time: 0.026742740999907255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022474399069324136, model_test_time: 0.004268341930583119
Total test time: 0.026652167085558176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022388773038983345, model_test_time: 0.004263394046574831
Total test time: 0.026803888846188784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022425595903769135, model_test_time: 0.004378292942419648
Total test time: 0.027010770281776786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02271050028502941, model_test_time: 0.0043002699967473745
Total test time: 0.02680300292558968 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022516690893098712, model_test_time: 0.004286312032490969
Total test time: 0.026639197953045368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022347572958096862, model_test_time: 0.004291624994948506
Total test time: 0.0267640957608819 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02247710805386305, model_test_time: 0.004286987707018852
Total test time: 0.026867277221754193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0224551809951663, model_test_time: 0.004412096226587892
Total test time: 0.02670607529580593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02240695129148662, model_test_time: 0.00429912400431931
Total test time: 0.02676612650975585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02248997171409428, model_test_time: 0.004276154795661569
***4_th repeat
Total test time: 0.027008270611986518 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022728364681825042, model_test_time: 0.004279905930161476
Total test time: 0.0266977921128273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022400178015232086, model_test_time: 0.004297614097595215
Total test time: 0.02672383515164256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02247632690705359, model_test_time: 0.004247508244588971
Total test time: 0.02683186111971736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022528151981532574, model_test_time: 0.004303709138184786
Total test time: 0.026900974567979574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022592005785554647, model_test_time: 0.004308968782424927
Total test time: 0.026737429900094867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022430647863075137, model_test_time: 0.00430678203701973
Total test time: 0.026751439785584807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022507940884679556, model_test_time: 0.0042434989009052515
Total test time: 0.026714876294136047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02243366907350719, model_test_time: 0.004281207220628858
