Namespace(dataset='MAWI1_2020', feat='stats', gs='True', header='True', model='Nystrom-GMM(full)', time='2021-04-05 17:49:19')
***MAWI1_2020, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.028171529760584235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020086730597540736, model_test_time: 0.008084799163043499
Total test time: 0.026349971070885658 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01826532813720405, model_test_time: 0.008084642933681607
Total test time: 0.026151320431381464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018204391235485673, model_test_time: 0.007946929195895791
Total test time: 0.031461251666769385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02350187487900257, model_test_time: 0.007959376787766814
Total test time: 0.02622017520479858 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018301631323993206, model_test_time: 0.007918543880805373
Total test time: 0.025994285009801388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01815470098517835, model_test_time: 0.007839584024623036
Total test time: 0.026088973972946405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018200638936832547, model_test_time: 0.007888335036113858
Total test time: 0.025962617248296738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018094648141413927, model_test_time: 0.00786796910688281
Total test time: 0.025999598437920213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018110118340700865, model_test_time: 0.007889480097219348
Total test time: 0.02620251872576773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018116574734449387, model_test_time: 0.008085943991318345
Total test time: 0.026150692952796817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01825663005001843, model_test_time: 0.007894062902778387
Total test time: 0.026210747892037034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01832366269081831, model_test_time: 0.007887085201218724
Total test time: 0.02626877068541944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01836205064319074, model_test_time: 0.007906720042228699
Total test time: 0.026458462001755834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01835335185751319, model_test_time: 0.008105110144242644
Total test time: 0.026113611413165927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01822538021951914, model_test_time: 0.007888231193646789
Total test time: 0.02607850614003837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018229026114568114, model_test_time: 0.007849480025470257
Total test time: 0.026372836669906974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018263402627781034, model_test_time: 0.00810943404212594
Total test time: 0.026259762002155185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01826366293244064, model_test_time: 0.007996099069714546
Total test time: 0.026176164858043194 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018267829669639468, model_test_time: 0.007908335188403726
Total test time: 0.026133246952667832 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018256891053169966, model_test_time: 0.007876355899497867
***1_th repeat
Total test time: 0.024691800819709897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01913342485204339, model_test_time: 0.005558375967666507
Total test time: 0.023961105849593878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018390175886452198, model_test_time: 0.00557092996314168
Total test time: 0.023867924930527806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018431478878483176, model_test_time: 0.00543644605204463
Total test time: 0.023782871896401048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018346112919971347, model_test_time: 0.005436758976429701
Total test time: 0.02413704781793058 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01848872099071741, model_test_time: 0.005648326827213168
Total test time: 0.02402313775382936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01842574984766543, model_test_time: 0.005597387906163931
Total test time: 0.02426517615094781 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018709403229877353, model_test_time: 0.0055557729210704565
Total test time: 0.023920322535559535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018454239703714848, model_test_time: 0.0054660828318446875
Total test time: 0.02398371114395559 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01839043735526502, model_test_time: 0.005593273788690567
Total test time: 0.023953917203471065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018433510093018413, model_test_time: 0.005520407110452652
Total test time: 0.023889019154012203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01841085311025381, model_test_time: 0.005478166043758392
Total test time: 0.023882561130449176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018395332153886557, model_test_time: 0.005487228976562619
Total test time: 0.023944075219333172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018463461194187403, model_test_time: 0.005480614025145769
Total test time: 0.023919542087242007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01837001903913915, model_test_time: 0.005549523048102856
Total test time: 0.02410741336643696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018268768209964037, model_test_time: 0.005838645156472921
Total test time: 0.024110536091029644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018415905768051744, model_test_time: 0.0056946303229779005
Total test time: 0.024050170090049505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018424916081130505, model_test_time: 0.005625254008919001
Total test time: 0.023985221050679684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018426947994157672, model_test_time: 0.005558273056522012
Total test time: 0.024017253192141652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018511013127863407, model_test_time: 0.005506240064278245
Total test time: 0.024086731718853116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018514917697757483, model_test_time: 0.0055718140210956335
***2_th repeat
Total test time: 0.028597686905413866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018853990826755762, model_test_time: 0.009743696078658104
Total test time: 0.02787928469479084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018380021443590522, model_test_time: 0.009499263251200318
Total test time: 0.028081060852855444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01842773100361228, model_test_time: 0.009653329849243164
Total test time: 0.028130071936175227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018592630745843053, model_test_time: 0.009537441190332174
Total test time: 0.028097727335989475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01848215819336474, model_test_time: 0.009615569142624736
Total test time: 0.028066059108823538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01850184705108404, model_test_time: 0.009564212057739496
Total test time: 0.02814220730215311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01847221120260656, model_test_time: 0.009669996099546552
Total test time: 0.02810548827983439 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018528097309172153, model_test_time: 0.009577390970662236
Total test time: 0.02817418798804283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01842497126199305, model_test_time: 0.00974921672604978
Total test time: 0.028042047284543514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018453095108270645, model_test_time: 0.009588952176272869
Total test time: 0.027888968819752336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01835064310580492, model_test_time: 0.009538325713947415
Total test time: 0.028208928648382425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018497211392968893, model_test_time: 0.009711717255413532
Total test time: 0.028318668017163873 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018519345903769135, model_test_time: 0.009799322113394737
Total test time: 0.0281488208565861 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018516846001148224, model_test_time: 0.009631974855437875
Total test time: 0.027979024220257998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018497314071282744, model_test_time: 0.009481710148975253
Total test time: 0.028193042147904634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018410959048196673, model_test_time: 0.009782083099707961
Total test time: 0.02829627296887338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01846210495568812, model_test_time: 0.009834168013185263
Total test time: 0.02832466084510088 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018465647706761956, model_test_time: 0.009859013138338923
Total test time: 0.028350233798846602 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01852491986937821, model_test_time: 0.009825313929468393
Total test time: 0.028038034681230783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018476218916475773, model_test_time: 0.00956181576475501
***3_th repeat
Total test time: 0.02197251166217029 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01956557296216488, model_test_time: 0.002406938700005412
Total test time: 0.020692998077720404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018249287037178874, model_test_time: 0.0024437110405415297
Total test time: 0.020646694116294384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018240537028759718, model_test_time: 0.002406157087534666
Total test time: 0.02062955917790532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01821387023665011, model_test_time: 0.002415688941255212
Total test time: 0.02069930173456669 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018278924515470862, model_test_time: 0.002420377219095826
Total test time: 0.020536745199933648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018158400198444724, model_test_time: 0.002378345001488924
Total test time: 0.02061580680310726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018240744015201926, model_test_time: 0.0023750627879053354
