Namespace(dataset='MAWI1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-05 17:47:58')
***MAWI1_2020, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.027434842893853784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022631537169218063, model_test_time: 0.00480330572463572
Total test time: 0.02553005306981504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020964307012036443, model_test_time: 0.004565746057778597
Total test time: 0.02512994036078453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020533098373562098, model_test_time: 0.004596841987222433
Total test time: 0.025222128722816706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02068549790419638, model_test_time: 0.004536630818620324
Total test time: 0.025194366229698062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02065778709948063, model_test_time: 0.004536579130217433
Total test time: 0.025052230106666684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020538255106657743, model_test_time: 0.004513975000008941
Total test time: 0.025306557770818472 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020821750862523913, model_test_time: 0.0044848069082945585
Total test time: 0.025108270812779665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0206018490716815, model_test_time: 0.0045064217410981655
Total test time: 0.025088374968618155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02054434805177152, model_test_time: 0.004544026916846633
Total test time: 0.02516598324291408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020619767950847745, model_test_time: 0.004546215292066336
Total test time: 0.02531765098683536 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020439294166862965, model_test_time: 0.004878356819972396
Total test time: 0.025301505578681827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020592890679836273, model_test_time: 0.004708614898845553
Total test time: 0.02538557117804885 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02062351698987186, model_test_time: 0.0047620541881769896
Total test time: 0.02514327527023852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020575236063450575, model_test_time: 0.004568039206787944
Total test time: 0.02529405802488327 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020754874916747212, model_test_time: 0.004539183108136058
Total test time: 0.02504712506197393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020521692233160138, model_test_time: 0.004525432828813791
Total test time: 0.025110875023528934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020581796998158097, model_test_time: 0.004529078025370836
Total test time: 0.025294629158452153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020798468263819814, model_test_time: 0.0044961608946323395
Total test time: 0.0252996317576617 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020672372775152326, model_test_time: 0.004627258982509375
Total test time: 0.02516670967452228 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02062502666376531, model_test_time: 0.0045416830107569695
***1_th repeat
Total test time: 0.025720370933413506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02113639493472874, model_test_time: 0.004583975998684764
Total test time: 0.02517301356419921 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020612371619790792, model_test_time: 0.004560641944408417
Total test time: 0.025419425452128053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020821802550926805, model_test_time: 0.004597622901201248
Total test time: 0.025372079806402326 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02078628190793097, model_test_time: 0.0045857978984713554
Total test time: 0.02517952281050384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02064007893204689, model_test_time: 0.00453944387845695
Total test time: 0.025290413526818156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020675551379099488, model_test_time: 0.004614862147718668
Total test time: 0.025290828198194504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020724560134112835, model_test_time: 0.004566268064081669
Total test time: 0.025293588172644377 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020665966207161546, model_test_time: 0.004627621965482831
Total test time: 0.025334839010611176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020772687159478664, model_test_time: 0.004562151851132512
Total test time: 0.02531733876094222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020654298830777407, model_test_time: 0.004663039930164814
Total test time: 0.025478280847892165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020866387989372015, model_test_time: 0.00461189285852015
Total test time: 0.025318850995972753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020713625010102987, model_test_time: 0.004605225985869765
Total test time: 0.025235619861632586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02060034009627998, model_test_time: 0.004635279765352607
Total test time: 0.025216763140633702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020668100100010633, model_test_time: 0.004548663040623069
Total test time: 0.025126500753685832 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020602839766070247, model_test_time: 0.004523660987615585
Total test time: 0.03175074001774192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020754354307428002, model_test_time: 0.010996385710313916
Total test time: 0.025412499206140637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020786960143595934, model_test_time: 0.0046255390625447035
Total test time: 0.025296193081885576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020670185098424554, model_test_time: 0.004626007983461022
Total test time: 0.02596022072248161 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02127978391945362, model_test_time: 0.0046804368030279875
Total test time: 0.025617452803999186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02101446595042944, model_test_time: 0.004602986853569746
***2_th repeat
Total test time: 0.031556203961372375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02691134111955762, model_test_time: 0.004644862841814756
Total test time: 0.02631184528581798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021631669253110886, model_test_time: 0.004680176032707095
Total test time: 0.025965481298044324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021319524385035038, model_test_time: 0.004645956913009286
Total test time: 0.02556713903322816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020956546999514103, model_test_time: 0.004610592033714056
Total test time: 0.025533387903124094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02092123287729919, model_test_time: 0.0046121550258249044
Total test time: 0.025535573018714786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02094425307586789, model_test_time: 0.004591319942846894
Total test time: 0.02551510720513761 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020899931900203228, model_test_time: 0.0046151753049343824
Total test time: 0.032656594878062606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020902481861412525, model_test_time: 0.01175411301665008
Total test time: 0.02552437665872276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020998214837163687, model_test_time: 0.0045261618215590715
Total test time: 0.02576698735356331 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02087326324544847, model_test_time: 0.004893724108114839
Total test time: 0.025544688571244478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02096685883589089, model_test_time: 0.004577829735353589
Total test time: 0.02567396336235106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021084674168378115, model_test_time: 0.004589289193972945
Total test time: 0.025767819955945015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021222386742010713, model_test_time: 0.004545433213934302
Total test time: 0.025507134152576327 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0209398262668401, model_test_time: 0.004567307885736227
Total test time: 0.025546773336827755 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020995402242988348, model_test_time: 0.004551371093839407
Total test time: 0.025725580286234617 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021118269069120288, model_test_time: 0.004607311217114329
Total test time: 0.02551171905361116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021008318290114403, model_test_time: 0.0045034007634967566
Total test time: 0.025456719798967242 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020924255019053817, model_test_time: 0.0045324647799134254
Total test time: 0.02543827914632857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020914826076477766, model_test_time: 0.004523453069850802
Total test time: 0.02539578010328114 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020877481903880835, model_test_time: 0.004518298199400306
***3_th repeat
Total test time: 0.025402289116755128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02085315715521574, model_test_time: 0.004549131961539388
Total test time: 0.025372026721015573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020746540743857622, model_test_time: 0.00462548597715795
Total test time: 0.025275046238675714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020604818128049374, model_test_time: 0.00467022811062634
Total test time: 0.025555209256708622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02089878311380744, model_test_time: 0.004656426142901182
Total test time: 0.025282704271376133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020597318187355995, model_test_time: 0.004685386084020138
Total test time: 0.02519426215440035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020569348009303212, model_test_time: 0.0046249141450971365
Total test time: 0.025352186057716608 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020770970033481717, model_test_time: 0.004581216024234891
Total test time: 0.025164989288896322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020563043653964996, model_test_time: 0.004601945634931326
Total test time: 0.025177022675052285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02055715979076922, model_test_time: 0.004619862884283066
Total test time: 0.025311505887657404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020650496939197183, model_test_time: 0.004661008948460221
Total test time: 0.02534629963338375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02067570690996945, model_test_time: 0.004670592723414302
Total test time: 0.030724930809810758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.026127049000933766, model_test_time: 0.004597881808876991
Total test time: 0.025267754215747118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02058023400604725, model_test_time: 0.004687520209699869
Total test time: 0.025159522891044617 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02058794302865863, model_test_time: 0.004571579862385988
Total test time: 0.025351454969495535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02076758397743106, model_test_time: 0.004583870992064476
Total test time: 0.025233119260519743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02061086124740541, model_test_time: 0.004622258013114333
Total test time: 0.02526093111373484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020643464056774974, model_test_time: 0.0046174670569598675
Total test time: 0.02517192019149661 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020574714289978147, model_test_time: 0.004597205901518464
Total test time: 0.025202909717336297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02060669381171465, model_test_time: 0.004596215905621648
Total test time: 0.02526395278982818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02066403883509338, model_test_time: 0.004599913954734802
***4_th repeat
Total test time: 0.025318485917523503 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020684300223365426, model_test_time: 0.004634185694158077
Total test time: 0.025155302602797747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020567211788147688, model_test_time: 0.004588090814650059
Total test time: 0.02536260336637497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020664092153310776, model_test_time: 0.004698511213064194
Total test time: 0.025291503872722387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02065471396781504, model_test_time: 0.004636789904907346
Total test time: 0.025316817918792367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020654298132285476, model_test_time: 0.004662519786506891
Total test time: 0.025278744753450155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020626850659027696, model_test_time: 0.00465189409442246
Total test time: 0.02539223711937666 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020713466918095946, model_test_time: 0.004678770201280713
Total test time: 0.025337494909763336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020711227087303996, model_test_time: 0.00462626782245934
Total test time: 0.025232127867639065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020597422029823065, model_test_time: 0.004634705837816
Total test time: 0.02552218921482563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020686018280684948, model_test_time: 0.004836170934140682
Total test time: 0.025497237918898463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02081951010040939, model_test_time: 0.004677727818489075
Total test time: 0.025183273013681173 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020534294890239835, model_test_time: 0.0046489781234413385
Total test time: 0.025170981884002686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020586276659741998, model_test_time: 0.004584705224260688
Total test time: 0.02514311671257019 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020566327963024378, model_test_time: 0.004576788749545813
Total test time: 0.025191763881593943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020609819097444415, model_test_time: 0.0045819447841495275
Total test time: 0.02539911214262247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020835033152252436, model_test_time: 0.004564078990370035
Total test time: 0.025071551091969013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020485700108110905, model_test_time: 0.0045858509838581085
Total test time: 0.02520848298445344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020623777993023396, model_test_time: 0.004584704991430044
Total test time: 0.025390360970050097 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020665079820901155, model_test_time: 0.004725281149148941
Total test time: 0.025590837001800537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020895346766337752, model_test_time: 0.004695490235462785
speedup/out/models_res/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag/MAWI1_2020-Nystrom-QS-init_GMM(diag).dat
