Namespace(dataset='MAWI1_2020', feat='stats', gs='False', header='True', model='Nystrom-QS-init_GMM(diag)', time='2021-04-05 17:55:27')
***MAWI1_2020, Nystrom-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.02330944687128067 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018704849993810058, model_test_time: 0.0046045968774706125
Total test time: 0.021352054085582495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016851314809173346, model_test_time: 0.004500739276409149
Total test time: 0.02121132193133235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0168337628711015, model_test_time: 0.004377559060230851
Total test time: 0.021214862586930394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016830845270305872, model_test_time: 0.004384017316624522
Total test time: 0.021415750728920102 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016758288955315948, model_test_time: 0.004657461773604155
Total test time: 0.021364552667364478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01680792565457523, model_test_time: 0.004556627012789249
Total test time: 0.021528567653149366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017033713636919856, model_test_time: 0.00449485401622951
Total test time: 0.02157773496583104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017142725875601172, model_test_time: 0.004435009090229869
Total test time: 0.021163817960768938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016728965798392892, model_test_time: 0.004434852162376046
Total test time: 0.021403043065220118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016896367073059082, model_test_time: 0.0045066759921610355
Total test time: 0.021337834652513266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01682058395817876, model_test_time: 0.004517250694334507
Total test time: 0.02138236607424915 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016887407982721925, model_test_time: 0.004494958091527224
Total test time: 0.021232153056189418 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016727508045732975, model_test_time: 0.004504645010456443
Total test time: 0.021347104106098413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016943399095907807, model_test_time: 0.004403705010190606
Total test time: 0.02135189576074481 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016886469908058643, model_test_time: 0.004465425852686167
Total test time: 0.021095170406624675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016695580445230007, model_test_time: 0.004399589961394668
Total test time: 0.021334968507289886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016868240665644407, model_test_time: 0.004466727841645479
Total test time: 0.02139090746641159 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01675625774078071, model_test_time: 0.004634649725630879
Total test time: 0.021263979375362396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01682813628576696, model_test_time: 0.004435843089595437
Total test time: 0.021295122802257538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016791049856692553, model_test_time: 0.004504072945564985
***1_th repeat
Total test time: 0.02234718296676874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017621177015826106, model_test_time: 0.0047260059509426355
Total test time: 0.021479816874489188 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016910429811105132, model_test_time: 0.004569387063384056
Total test time: 0.021667110733687878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016995117999613285, model_test_time: 0.004671992734074593
Total test time: 0.0216323749627918 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017054602038115263, model_test_time: 0.0045777729246765375
Total test time: 0.021697843680158257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017061788588762283, model_test_time: 0.004636055091395974
Total test time: 0.021521484944969416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016918295063078403, model_test_time: 0.004603189881891012
Total test time: 0.021661954000592232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017000117106363177, model_test_time: 0.0046618368942290545
Total test time: 0.02184753376059234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016952304868027568, model_test_time: 0.0048952288925647736
