Namespace(dataset='MAWI1_2020', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-05 17:43:22')
***MAWI1_2020, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.027146503096446395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02419757004827261, model_test_time: 0.002948933048173785
Total test time: 0.02508509485051036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02229903102852404, model_test_time: 0.0027860638219863176
Total test time: 0.025248797377571464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022444036323577166, model_test_time: 0.002804761053994298
Total test time: 0.025204212171956897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02245450299233198, model_test_time: 0.002749709179624915
Total test time: 0.025197804905474186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022345071891322732, model_test_time: 0.002852733014151454
Total test time: 0.025230357889086008 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0223771040327847, model_test_time: 0.0028532538563013077
Total test time: 0.02516535483300686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02240747003816068, model_test_time: 0.002757884794846177
Total test time: 0.025272341212257743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022535548079758883, model_test_time: 0.0027367931324988604
Total test time: 0.025238483678549528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02243455476127565, model_test_time: 0.002803928917273879
Total test time: 0.02512020035646856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02228840533643961, model_test_time: 0.002831795020028949
Total test time: 0.025224108714610338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022482369793578982, model_test_time: 0.002741738921031356
Total test time: 0.025220043724402785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02242231392301619, model_test_time: 0.0027977298013865948
Total test time: 0.02517358399927616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022369604092091322, model_test_time: 0.0028039799071848392
Total test time: 0.025160928955301642 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022366635967046022, model_test_time: 0.00279429298825562
Total test time: 0.02529838215559721 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022538411896675825, model_test_time: 0.002759970258921385
