Namespace(dataset='MAWI1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-05 17:46:14')
***MAWI1_2020, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.033187079010531306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02257851604372263, model_test_time: 0.010608562966808677
Total test time: 0.031253903172910213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02074643620289862, model_test_time: 0.010507466970011592
Total test time: 0.031190203968435526 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020790970185771585, model_test_time: 0.010399233782663941
Total test time: 0.031164995161816478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020615651970729232, model_test_time: 0.010549343191087246
Total test time: 0.031177963130176067 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0207403430249542, model_test_time: 0.010437620105221868
Total test time: 0.03128484194166958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020701278932392597, model_test_time: 0.010583563009276986
Total test time: 0.03115718113258481 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02065195399336517, model_test_time: 0.010505227139219642
Total test time: 0.031149788293987513 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020581121323630214, model_test_time: 0.010568666970357299
Total test time: 0.031146452063694596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020651695085689425, model_test_time: 0.01049475697800517
Total test time: 0.03117681876756251 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02071252977475524, model_test_time: 0.010464288992807269
Total test time: 0.031301822047680616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020772844087332487, model_test_time: 0.01052897796034813
Total test time: 0.03186235926114023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02135916310362518, model_test_time: 0.010503196157515049
Total test time: 0.03137823031283915 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020663258153945208, model_test_time: 0.010714972158893943
Total test time: 0.03117228881455958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020695812068879604, model_test_time: 0.010476476745679975
Total test time: 0.03142479481175542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020726071670651436, model_test_time: 0.010698723141103983
Total test time: 0.031161087565124035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02066909079439938, model_test_time: 0.010491996770724654
Total test time: 0.03114910959266126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0206709667108953, model_test_time: 0.010478142881765962
Total test time: 0.031200362369418144 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020645550219342113, model_test_time: 0.010554812150076032
Total test time: 0.031329218531027436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02088664984330535, model_test_time: 0.010442568687722087
Total test time: 0.03142052190378308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020737685961648822, model_test_time: 0.010682835942134261
***1_th repeat
Total test time: 0.03227518103085458 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021275721956044436, model_test_time: 0.010999459074810147
Total test time: 0.03132270788773894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0207547708414495, model_test_time: 0.010567937046289444
Total test time: 0.031234527472406626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02076992648653686, model_test_time: 0.010464600985869765
Total test time: 0.031722042011097074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020873056026175618, model_test_time: 0.010848985984921455
Total test time: 0.03167188516817987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0207301361951977, model_test_time: 0.010941748972982168
Total test time: 0.03499842877499759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.024377313908189535, model_test_time: 0.010621114866808057
Total test time: 0.031348542077466846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0207199789583683, model_test_time: 0.010628563119098544
Total test time: 0.031292758183553815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020735237980261445, model_test_time: 0.01055752020329237
Total test time: 0.03151010721921921 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020715863211080432, model_test_time: 0.010794244008138776
Total test time: 0.03129077749326825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020695287734270096, model_test_time: 0.010595489758998156
Total test time: 0.03127025789581239 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020762478932738304, model_test_time: 0.010507778963074088
Total test time: 0.03153114998713136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02073190500959754, model_test_time: 0.010799244977533817
Total test time: 0.0312943730968982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02078654197975993, model_test_time: 0.010507831117138267
Total test time: 0.03162229899317026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021090091904625297, model_test_time: 0.010532207088544965
Total test time: 0.03151505603455007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02094201510772109, model_test_time: 0.01057304092682898
Total test time: 0.031173172406852245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02065893425606191, model_test_time: 0.010514238150790334
Total test time: 0.031207493972033262 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02065841224975884, model_test_time: 0.010549081722274423
Total test time: 0.031216609990224242 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02073627896606922, model_test_time: 0.01048033102415502
Total test time: 0.031296666944399476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020720030879601836, model_test_time: 0.01057663606479764
Total test time: 0.03132739523425698 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020801126258447766, model_test_time: 0.010526268975809216
***2_th repeat
Total test time: 0.03172120708040893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021144312107935548, model_test_time: 0.010576894972473383
Total test time: 0.03132416703738272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02086857589893043, model_test_time: 0.010455591138452291
Total test time: 0.031277080764994025 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0207965939771384, model_test_time: 0.010480486787855625
Total test time: 0.03138572978787124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02091086795553565, model_test_time: 0.010474861832335591
Total test time: 0.031678655883297324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021000662818551064, model_test_time: 0.01067799306474626
Total test time: 0.03127989382483065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020858575822785497, model_test_time: 0.010421318002045155
Total test time: 0.031374010257422924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02086123125627637, model_test_time: 0.010512779001146555
Total test time: 0.034768216079100966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02421319717541337, model_test_time: 0.010555018903687596
Total test time: 0.03148458618670702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020943056093528867, model_test_time: 0.010541530093178153
Total test time: 0.03164000599645078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020946701057255268, model_test_time: 0.010693304939195514
Total test time: 0.031244475627318025 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020885345758870244, model_test_time: 0.01035912986844778
Total test time: 0.0313321880530566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020836699986830354, model_test_time: 0.010495488066226244
Total test time: 0.03153969417326152 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020837013144046068, model_test_time: 0.010702681029215455
Total test time: 0.031400573905557394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020941285183653235, model_test_time: 0.010459288721904159
Total test time: 0.031260363990440965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0208922759629786, model_test_time: 0.010368088027462363
Total test time: 0.03138630301691592 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020822429098188877, model_test_time: 0.01056387391872704
Total test time: 0.031715060817077756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021014255937188864, model_test_time: 0.010700804879888892
Total test time: 0.03167771641165018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020882898243144155, model_test_time: 0.010794818168506026
Total test time: 0.0318907939363271 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0209098260384053, model_test_time: 0.0109809678979218
Total test time: 0.03503869310952723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02111202012747526, model_test_time: 0.013926672982051969
***3_th repeat
Total test time: 0.03131963242776692 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020758987637236714, model_test_time: 0.010560644790530205
Total test time: 0.03138572978787124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020876180846244097, model_test_time: 0.010509548941627145
Total test time: 0.031334841856732965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020764457061886787, model_test_time: 0.010570384794846177
Total test time: 0.031147545436397195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02065101615153253, model_test_time: 0.010496529284864664
Total test time: 0.03143057459965348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020839668810367584, model_test_time: 0.010590905789285898
Total test time: 0.031243955017998815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020664507057517767, model_test_time: 0.010579447960481048
Total test time: 0.031347291776910424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0207318018656224, model_test_time: 0.010615489911288023
Total test time: 0.03125447500497103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020694090984761715, model_test_time: 0.010560384020209312
Total test time: 0.031376926228404045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02060835901647806, model_test_time: 0.010768567211925983
Total test time: 0.03116228710860014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020621225237846375, model_test_time: 0.010541061870753765
Total test time: 0.031401252374053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02081893919967115, model_test_time: 0.010582313174381852
Total test time: 0.03118306794203818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02064679772593081, model_test_time: 0.010536270216107368
Total test time: 0.031192184193059802 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020718312123790383, model_test_time: 0.010473872069269419
Total test time: 0.031332760117948055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02071055117994547, model_test_time: 0.010622208938002586
Total test time: 0.03114420990459621 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0206328381318599, model_test_time: 0.010511371772736311
Total test time: 0.03146953275427222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020756331738084555, model_test_time: 0.010713201016187668
Total test time: 0.031459898920729756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02085399185307324, model_test_time: 0.010605907067656517
Total test time: 0.031376250786706805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020742583088576794, model_test_time: 0.010633667698130012
Total test time: 0.031556983944028616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02099123504012823, model_test_time: 0.010565748903900385
Total test time: 0.031212911941111088 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020692737074568868, model_test_time: 0.01052017486654222
***4_th repeat
Total test time: 0.03161073662340641 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0211166029330343, model_test_time: 0.01049413369037211
Total test time: 0.03155880677513778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020837168907746673, model_test_time: 0.01072163786739111
Total test time: 0.03138307388871908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02087487792596221, model_test_time: 0.010508195962756872
Total test time: 0.03154380898922682 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020847639068961143, model_test_time: 0.010696169920265675
Total test time: 0.031396721955388784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020858993055298924, model_test_time: 0.01053772890008986
Total test time: 0.03154115146026015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02085878443904221, model_test_time: 0.010682367021217942
Total test time: 0.031247966922819614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020836491836234927, model_test_time: 0.010411475086584687
Total test time: 0.03150333696976304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021021391032263637, model_test_time: 0.010481945937499404
Total test time: 0.031610787846148014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020894461777061224, model_test_time: 0.01071632606908679
Total test time: 0.031624380964785814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020859095035120845, model_test_time: 0.01076528592966497
Total test time: 0.031231974717229605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020829198881983757, model_test_time: 0.010402775835245848
Total test time: 0.031513026216998696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020951443118974566, model_test_time: 0.01056158309802413
Total test time: 0.03196720429696143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020936495158821344, model_test_time: 0.011030709138140082
Total test time: 0.03148432704620063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021000715205445886, model_test_time: 0.010483611840754747
Total test time: 0.031698498874902725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021027016919106245, model_test_time: 0.01067148195579648
Total test time: 0.03138598962686956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020931909792125225, model_test_time: 0.010454079834744334
Total test time: 0.03153719287365675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02086893981322646, model_test_time: 0.010668253060430288
Total test time: 0.031314892461523414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02087878226302564, model_test_time: 0.010436110198497772
Total test time: 0.03149724565446377 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020990767749026418, model_test_time: 0.01050647790543735
Total test time: 0.032228149473667145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020793626317754388, model_test_time: 0.011434523155912757
speedup/out/models_res/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full/MAWI1_2020-Nystrom-QS-init_GMM(full).dat
