Namespace(dataset='MAWI1_2020', feat='stats', gs='True', header='True', model='Nystrom-QS-init_GMM(full)', time='2021-04-05 17:49:36')
***MAWI1_2020, Nystrom-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.032170160906389356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02073779795318842, model_test_time: 0.011432362953200936
Total test time: 0.022733784280717373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018398887244984508, model_test_time: 0.004334897035732865
Total test time: 0.022662586765363812 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018396596889942884, model_test_time: 0.004265989875420928
Total test time: 0.022835819981992245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01845894195139408, model_test_time: 0.004376878030598164
Total test time: 0.022814256139099598 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018398523097857833, model_test_time: 0.004415733041241765
Total test time: 0.02268018969334662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018373573664575815, model_test_time: 0.004306616028770804
Total test time: 0.022675449959933758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018343885894864798, model_test_time: 0.00433156406506896
Total test time: 0.02275227475911379 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01839196076616645, model_test_time: 0.00436031399294734
Total test time: 0.022910818923264742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01845732517540455, model_test_time: 0.004453493747860193
Total test time: 0.02274290076456964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018397011794149876, model_test_time: 0.0043458889704197645
Total test time: 0.02281483029946685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018442691070958972, model_test_time: 0.004372139228507876
Total test time: 0.022686647716909647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01836779178120196, model_test_time: 0.004318855935707688
Total test time: 0.022672378923743963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01836852403357625, model_test_time: 0.004303854890167713
Total test time: 0.023104054620489478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018707020673900843, model_test_time: 0.0043970339465886354
Total test time: 0.022720454027876258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01842336799018085, model_test_time: 0.004297086037695408
Total test time: 0.022676804568618536 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018398783402517438, model_test_time: 0.004278021166101098
Total test time: 0.022643836215138435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018342323135584593, model_test_time: 0.0043015130795538425
Total test time: 0.022738941479474306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018344823736697435, model_test_time: 0.004394117742776871
Total test time: 0.022695712046697736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01839164807461202, model_test_time: 0.004304063972085714
Total test time: 0.022783057065680623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018410137854516506, model_test_time: 0.004372919211164117
***1_th repeat
Total test time: 0.023653235053643584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019259481923654675, model_test_time: 0.004393753129988909
Total test time: 0.023074678843840957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018752958858385682, model_test_time: 0.004321719985455275
Total test time: 0.022867589723318815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01855821395292878, model_test_time: 0.004309375770390034
Total test time: 0.023051817202940583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018604520009830594, model_test_time: 0.004447297193109989
Total test time: 0.022932332009077072 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018586340826004744, model_test_time: 0.004345991183072329
Total test time: 0.023042647633701563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01866462384350598, model_test_time: 0.004378023790195584
Total test time: 0.022871549939736724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0186288938857615, model_test_time: 0.0042426560539752245
