Namespace(dataset='MAWI1_2020', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-05 17:41:43')
***MAWI1_2020, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.49352306756190956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0000774636864662e-05, model_test_time: 0.4935130667872727
Total test time: 0.4843083422165364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.562098860740662e-06, model_test_time: 0.48430178011767566
Total test time: 0.48449298250488937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.093410775065422e-06, model_test_time: 0.4844868890941143
Total test time: 0.4854044110979885 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.613088771700859e-06, model_test_time: 0.4853977980092168
Total test time: 0.4844380852300674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.458023563027382e-06, model_test_time: 0.48443162720650434
Total test time: 0.4844295436050743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.666639819741249e-06, model_test_time: 0.48442287696525455
Total test time: 0.4847400209400803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.824033334851265e-06, model_test_time: 0.48473319690674543
Total test time: 0.4843102179002017 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.561866030097008e-06, model_test_time: 0.4843036560341716
Total test time: 0.4851026339456439 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.832873284816742e-06, model_test_time: 0.4850968010723591
Total test time: 0.4850431012455374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.303191184997559e-06, model_test_time: 0.4850367980543524
Total test time: 0.48732691328041255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.9802626967430115e-06, model_test_time: 0.4873199330177158
Total test time: 0.4842988101299852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.250105798244476e-06, model_test_time: 0.48429256002418697
Total test time: 0.48576228762976825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.198883056640625e-06, model_test_time: 0.4857560887467116
Total test time: 0.48400094034150243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.303191184997559e-06, model_test_time: 0.48399463715031743
Total test time: 0.48467007116414607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4070336520671844e-06, model_test_time: 0.484663664130494
Total test time: 0.4851093527395278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.562797352671623e-06, model_test_time: 0.48510278994217515
Total test time: 0.48409146070480347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.09387643635273e-06, model_test_time: 0.4840853668283671
Total test time: 0.4840420847758651 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.302027031779289e-06, model_test_time: 0.4840357827488333
Total test time: 0.48453423217870295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.083173841238022e-06, model_test_time: 0.4845271490048617
Total test time: 0.48444865993224084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.719958037137985e-06, model_test_time: 0.4844419399742037
***1_th repeat
Total test time: 0.4848258562851697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.250105798244476e-06, model_test_time: 0.4848196061793715
Total test time: 0.48557561496272683 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.302027031779289e-06, model_test_time: 0.48556931293569505
Total test time: 0.48425563308410347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.51087611913681e-06, model_test_time: 0.48424912220798433
Total test time: 0.4839344259817153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.092945113778114e-06, model_test_time: 0.48392833303660154
Total test time: 0.4841941208578646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.145797669887543e-06, model_test_time: 0.48418797506019473
Total test time: 0.4844761590939015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.302027031779289e-06, model_test_time: 0.48446985706686974
Total test time: 0.4847090821713209 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.563030183315277e-06, model_test_time: 0.4847025191411376
Total test time: 0.4842003700323403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.927177309989929e-06, model_test_time: 0.4841934428550303
Total test time: 0.4854155599605292 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.042886525392532e-06, model_test_time: 0.4854095170740038
Total test time: 0.48429641709662974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.616115570068359e-06, model_test_time: 0.48428980098105967
Total test time: 0.48456761986017227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.61495141685009e-06, model_test_time: 0.4845610049087554
Total test time: 0.4868522121105343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.563030183315277e-06, model_test_time: 0.486845649080351
Total test time: 0.4850891432724893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.093177944421768e-06, model_test_time: 0.4850830500945449
Total test time: 0.4843607391230762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.511108949780464e-06, model_test_time: 0.4843542280141264
Total test time: 0.48601333633996546 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4070336520671844e-06, model_test_time: 0.4860069293063134
Total test time: 0.4847005915362388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.198184564709663e-06, model_test_time: 0.4846943933516741
Total test time: 0.4847364788874984 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.095040589570999e-06, model_test_time: 0.4847303838469088
Total test time: 0.48501153918914497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.250804290175438e-06, model_test_time: 0.4850052883848548
Total test time: 0.4847897600848228 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.458023563027382e-06, model_test_time: 0.48478330206125975
