Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='True', header='False', model='KJL-GMM(diag)', time='2021-04-05 18:16:03')
***SFRIG1_2020, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.019893332617357373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015620565740391612, model_test_time: 0.004272766876965761
Total test time: 0.017922918312251568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013826769310981035, model_test_time: 0.004096149001270533
Total test time: 0.017884741770103574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01374254864640534, model_test_time: 0.0041421931236982346
Total test time: 0.01787744788452983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013785673771053553, model_test_time: 0.004091774113476276
Total test time: 0.017853543162345886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013750778045505285, model_test_time: 0.004102765116840601
Total test time: 0.01791088725440204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013828280149027705, model_test_time: 0.004082607105374336
Total test time: 0.01786885503679514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013751766877248883, model_test_time: 0.004117088159546256
Total test time: 0.01792354416102171 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013846979243680835, model_test_time: 0.004076564917340875
Total test time: 0.017879270715638995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013824164867401123, model_test_time: 0.004055105848237872
Total test time: 0.0179053139872849 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013816507998853922, model_test_time: 0.004088805988430977
Total test time: 0.017884115921333432 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013735360000282526, model_test_time: 0.004148755921050906
Total test time: 0.017971565015614033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013718120055273175, model_test_time: 0.0042534449603408575
Total test time: 0.017801509238779545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01372796413488686, model_test_time: 0.004073545103892684
Total test time: 0.023832449922338128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019709477899596095, model_test_time: 0.004122972022742033
Total test time: 0.017861823085695505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013750205049291253, model_test_time: 0.004111618036404252
Total test time: 0.017765467753633857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013701349962502718, model_test_time: 0.004064117791131139
Total test time: 0.017802289919927716 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013730203965678811, model_test_time: 0.004072085954248905
Total test time: 0.021504626842215657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0137839550152421, model_test_time: 0.0077206718269735575
Total test time: 0.0178612491581589 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013735881075263023, model_test_time: 0.004125368082895875
Total test time: 0.01787843881174922 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013713849941268563, model_test_time: 0.004164588870480657
***1_th repeat
Total test time: 0.018427774775773287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01397463702596724, model_test_time: 0.0044531377498060465
Total test time: 0.018271365202963352 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013852862874045968, model_test_time: 0.004418502328917384
Total test time: 0.018241260200738907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01385624916292727, model_test_time: 0.004385011037811637
Total test time: 0.02156270411796868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017118732212111354, model_test_time: 0.004443971905857325
Total test time: 0.01814969489350915 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013727078912779689, model_test_time: 0.004422615980729461
Total test time: 0.018143291352316737 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01372161228209734, model_test_time: 0.0044216790702193975
Total test time: 0.018123912857845426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01372108981013298, model_test_time: 0.004402823047712445
Total test time: 0.018239542143419385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013820832129567862, model_test_time: 0.004418710013851523
Total test time: 0.018389651319012046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013860833132639527, model_test_time: 0.0045288181863725185
Total test time: 0.018432460259646177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013856872217729688, model_test_time: 0.00457558804191649
Total test time: 0.01822402118705213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013800675980746746, model_test_time: 0.004423345206305385
Total test time: 0.018274647183716297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013804217102006078, model_test_time: 0.004470430081710219
Total test time: 0.01823516609147191 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013823330868035555, model_test_time: 0.004411835223436356
Total test time: 0.01827902323566377 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013791717123240232, model_test_time: 0.004487306112423539
Total test time: 0.01844944292679429 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013752079801633954, model_test_time: 0.0046973631251603365
Total test time: 0.01858986192382872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013728798134252429, model_test_time: 0.004861063789576292
Total test time: 0.018343660049140453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013892499962821603, model_test_time: 0.0044511600863188505
Total test time: 0.018296835711225867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013844322646036744, model_test_time: 0.004452513065189123
Total test time: 0.018380743451416492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013866667170077562, model_test_time: 0.00451407628133893
Total test time: 0.018292772118002176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01384968706406653, model_test_time: 0.004443085053935647
***2_th repeat
Total test time: 0.01776754972524941 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01387213496491313, model_test_time: 0.00389541476033628
Total test time: 0.01767791179008782 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013821351807564497, model_test_time: 0.003856559982523322
Total test time: 0.017690047388896346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013875781325623393, model_test_time: 0.003814266063272953
Total test time: 0.01761243981309235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013769214041531086, model_test_time: 0.003843225771561265
Total test time: 0.017635462572798133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013812133809551597, model_test_time: 0.0038233287632465363
Total test time: 0.017460300121456385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013653950998559594, model_test_time: 0.0038063491228967905
Total test time: 0.017648640321567655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01385072828270495, model_test_time: 0.0037979120388627052
Total test time: 0.017700151540338993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01389067666605115, model_test_time: 0.0038094748742878437
Total test time: 0.017617910401895642 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013823175569996238, model_test_time: 0.0037947348318994045
Total test time: 0.01763535919599235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013741299044340849, model_test_time: 0.0038940601516515017
Total test time: 0.017598066944628954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013837446924299002, model_test_time: 0.0037606200203299522
Total test time: 0.017611712217330933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013778278138488531, model_test_time: 0.0038334340788424015
Total test time: 0.017672808608040214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013803747715428472, model_test_time: 0.003869060892611742
Total test time: 0.022129745921120048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013840152882039547, model_test_time: 0.0082895930390805
Total test time: 0.017644736217334867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013768175151199102, model_test_time: 0.003876561066135764
Total test time: 0.017613274045288563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013815778074786067, model_test_time: 0.0037974959705024958
Total test time: 0.01763285999186337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013764477102085948, model_test_time: 0.003868382889777422
Total test time: 0.017669941764324903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013783433940261602, model_test_time: 0.003886507824063301
Total test time: 0.017539835534989834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013721714494749904, model_test_time: 0.00381812104023993
Total test time: 0.017623221967369318 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013767183991149068, model_test_time: 0.00385603797622025
***3_th repeat
Total test time: 0.0181363089941442 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013861197046935558, model_test_time: 0.004275111947208643
Total test time: 0.018373555038124323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014002243056893349, model_test_time: 0.004371311981230974
Total test time: 0.018058600137010217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013765414012596011, model_test_time: 0.0042931861244142056
Total test time: 0.017952920403331518 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013753226259723306, model_test_time: 0.0041996941436082125
Total test time: 0.017953128088265657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013750310055911541, model_test_time: 0.0042028180323541164
Total test time: 0.018043232848867774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013777860905975103, model_test_time: 0.004265371942892671
Total test time: 0.018062401097267866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01375379809178412, model_test_time: 0.0043086030054837465
Total test time: 0.017979012802243233 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013783173868432641, model_test_time: 0.004195838933810592
Total test time: 0.01795422099530697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01373760006390512, model_test_time: 0.004216620931401849
Total test time: 0.018034482840448618 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013830570969730616, model_test_time: 0.004203911870718002
Total test time: 0.01798911835066974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013742236187681556, model_test_time: 0.004246882162988186
Total test time: 0.018002451630309224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013731193728744984, model_test_time: 0.0042712579015642405
Total test time: 0.018006930127739906 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013741923030465841, model_test_time: 0.004265007097274065
Total test time: 0.018066046060994267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013797288062050939, model_test_time: 0.004268757998943329
Total test time: 0.01798995165154338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013808018760755658, model_test_time: 0.004181932890787721
Total test time: 0.017897450365126133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01370551623404026, model_test_time: 0.004191934131085873
Total test time: 0.017949898960068822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013769163750112057, model_test_time: 0.004180735209956765
Total test time: 0.018049171892926097 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01377400802448392, model_test_time: 0.004275163868442178
Total test time: 0.01800927403382957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01372916204854846, model_test_time: 0.00428011198528111
Total test time: 0.018069797893986106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013801091816276312, model_test_time: 0.004268706077709794
***4_th repeat
Total test time: 0.017192950937896967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013850050745531917, model_test_time: 0.0033429001923650503
Total test time: 0.017025864217430353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013810466974973679, model_test_time: 0.0032153972424566746
Total test time: 0.017125553684309125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01386328088119626, model_test_time: 0.0032622728031128645
