Namespace(dataset='SFRIG1_2020', feat='stats', gs='True', header='True', model='KJL-OCSVM(linear)', time='2021-04-05 18:22:32')
***SFRIG1_2020, KJL-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_True/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.037897925823926926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01618120796047151, model_test_time: 0.021716717863455415
Total test time: 0.03619090095162392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014523871941491961, model_test_time: 0.021667029010131955
Total test time: 0.03226902615278959 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014436942059546709, model_test_time: 0.017832084093242884
Total test time: 0.03231460205279291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014517101924866438, model_test_time: 0.01779750012792647
Total test time: 0.03213303326629102 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014368608128279448, model_test_time: 0.017764425138011575
Total test time: 0.03212782391346991 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014359283959493041, model_test_time: 0.01776853995397687
Total test time: 0.0322106396779418 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014378242893144488, model_test_time: 0.01783239678479731
Total test time: 0.03227095399051905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014410014962777495, model_test_time: 0.01786093902774155
Total test time: 0.03222032473422587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014383762842044234, model_test_time: 0.017836561892181635
Total test time: 0.03219438879750669 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014417567756026983, model_test_time: 0.017776821041479707
Total test time: 0.03219970082864165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01442626491189003, model_test_time: 0.017773435916751623
Total test time: 0.032102408818900585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014342878945171833, model_test_time: 0.017759529873728752
Total test time: 0.032145637553185225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014341627713292837, model_test_time: 0.017804009839892387
Total test time: 0.03214964712969959 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01432615821249783, model_test_time: 0.017823488917201757
Total test time: 0.03235288104042411 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014529807958751917, model_test_time: 0.01782307308167219
Total test time: 0.032355850795283914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014474390773102641, model_test_time: 0.017881460022181273
Total test time: 0.032306683249771595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014502570265904069, model_test_time: 0.017804112983867526
Total test time: 0.03221814054995775 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014377878280356526, model_test_time: 0.017840262269601226
Total test time: 0.03227199497632682 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014448714209720492, model_test_time: 0.01782328076660633
Total test time: 0.03222454502247274 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014385794987902045, model_test_time: 0.017838750034570694
***1_th repeat
Total test time: 0.032471479615196586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01457324787043035, model_test_time: 0.017898231744766235
Total test time: 0.0323141326662153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014606322860345244, model_test_time: 0.017707809805870056
Total test time: 0.03233079914934933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01454866398125887, model_test_time: 0.017782135168090463
Total test time: 0.032421008218079805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014648667303845286, model_test_time: 0.01777234091423452
Total test time: 0.03241918585263193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01463970891200006, model_test_time: 0.017779476940631866
Total test time: 0.03246824909001589 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014692052034661174, model_test_time: 0.017776197055354714
Total test time: 0.032411686377599835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014616687083616853, model_test_time: 0.017794999293982983
Total test time: 0.03245127014815807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014638770138844848, model_test_time: 0.017812500009313226
Total test time: 0.03230647393502295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014525486156344414, model_test_time: 0.017780987778678536
Total test time: 0.03239881992340088 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01460257195867598, model_test_time: 0.0177962479647249
Total test time: 0.032370069762691855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014630853896960616, model_test_time: 0.01773921586573124
Total test time: 0.03230131696909666 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01459262310527265, model_test_time: 0.01770869386382401
Total test time: 0.032318453304469585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014556423062458634, model_test_time: 0.01776203024201095
Total test time: 0.03238309174776077 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014440275728702545, model_test_time: 0.017942816019058228
Total test time: 0.032439392991364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014649081975221634, model_test_time: 0.01779031101614237
Total test time: 0.03231527516618371 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014578246045857668, model_test_time: 0.017737029120326042
Total test time: 0.03226194344460964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014575645327568054, model_test_time: 0.017686298117041588
Total test time: 0.03258132585324347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014621946960687637, model_test_time: 0.017959378892555833
Total test time: 0.032457156805321574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01467424095608294, model_test_time: 0.017782915849238634
Total test time: 0.032433354295790195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014656376326456666, model_test_time: 0.01777697796933353
***2_th repeat
Total test time: 0.03251976170577109 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014613717794418335, model_test_time: 0.017906043911352754
Total test time: 0.032246057176962495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01450663199648261, model_test_time: 0.017739425180479884
Total test time: 0.032252096803858876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014505224069580436, model_test_time: 0.01774687273427844
Total test time: 0.0323223602026701 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014495173003524542, model_test_time: 0.017827187199145555
Total test time: 0.032359443604946136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014542412711307406, model_test_time: 0.01781703089363873
Total test time: 0.03236246411688626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014625590993091464, model_test_time: 0.017736873123794794
Total test time: 0.036417052149772644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0145091840531677, model_test_time: 0.021907868096604943
Total test time: 0.032293453346937895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014527257066220045, model_test_time: 0.01776619628071785
Total test time: 0.03237282996997237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014559027971699834, model_test_time: 0.017813801998272538
Total test time: 0.03238131990656257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014576893765479326, model_test_time: 0.01780442614108324
Total test time: 0.03237376781180501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014581320807337761, model_test_time: 0.01779244700446725
Total test time: 0.03234720486216247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0145546009298414, model_test_time: 0.01779260393232107
Total test time: 0.032394863199442625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014568873215466738, model_test_time: 0.017825989983975887
Total test time: 0.03228907915763557 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014483194099739194, model_test_time: 0.017805885057896376
Total test time: 0.032265173038467765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014498247066512704, model_test_time: 0.01776692597195506
Total test time: 0.032277566846460104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014516630908474326, model_test_time: 0.017760935937985778
Total test time: 0.03217428410425782 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014466474065557122, model_test_time: 0.0177078100387007
Total test time: 0.03584510902874172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017972347093746066, model_test_time: 0.01787276193499565
Total test time: 0.03233637101948261 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01453163311816752, model_test_time: 0.017804737901315093
Total test time: 0.032412779750302434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014618560904636979, model_test_time: 0.017794218845665455
***3_th repeat
Total test time: 0.03230793378315866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014536007773131132, model_test_time: 0.017771926010027528
Total test time: 0.032365537947043777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014501475030556321, model_test_time: 0.017864062916487455
Total test time: 0.03221225272864103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014499547658488154, model_test_time: 0.01771270507015288
Total test time: 0.03229486127384007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014503820100799203, model_test_time: 0.017791041173040867
Total test time: 0.032365955878049135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014582728035748005, model_test_time: 0.01778322784230113
Total test time: 0.032356007024645805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014593613101169467, model_test_time: 0.01776239392347634
Total test time: 0.032293922267854214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014527413062751293, model_test_time: 0.01776650920510292
Total test time: 0.03228637110441923 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0145429871045053, model_test_time: 0.01774338399991393
Total test time: 0.03240600717253983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01463611307553947, model_test_time: 0.01776989409700036
Total test time: 0.03243710403330624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014620957896113396, model_test_time: 0.017816146137192845
Total test time: 0.03246059478260577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014544602017849684, model_test_time: 0.017915992764756083
Total test time: 0.03220204496756196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014359179884195328, model_test_time: 0.017842865083366632
Total test time: 0.032407309859991074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014624082017689943, model_test_time: 0.01778322784230113
Total test time: 0.03233532886952162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014554131776094437, model_test_time: 0.01778119709342718
Total test time: 0.0322767342440784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014538038056343794, model_test_time: 0.017738696187734604
Total test time: 0.03235715511254966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014595801942050457, model_test_time: 0.017761353170499206
Total test time: 0.03229590179398656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014517829986289144, model_test_time: 0.017778071807697415
Total test time: 0.032231627963483334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014484702842310071, model_test_time: 0.017746925121173263
Total test time: 0.03232824616134167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01456439308822155, model_test_time: 0.017763853073120117
Total test time: 0.032225951785221696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014516006922349334, model_test_time: 0.017709944862872362
***4_th repeat
Total test time: 0.03243387397378683 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014605592004954815, model_test_time: 0.017828281968832016
Total test time: 0.0324102807790041 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01457319688051939, model_test_time: 0.017837083898484707
Total test time: 0.03237850801087916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014568351907655597, model_test_time: 0.017810156103223562
Total test time: 0.03229611087590456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014490381814539433, model_test_time: 0.017805729061365128
Total test time: 0.035905371652916074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014400795800611377, model_test_time: 0.021504575852304697
