Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-05 18:20:17')
***SFRIG1_2020, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01936790393665433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015636660857126117, model_test_time: 0.0037312430795282125
Total test time: 0.017453114967793226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01391354389488697, model_test_time: 0.0035395710729062557
Total test time: 0.01739754155278206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013853645650669932, model_test_time: 0.0035438959021121264
Total test time: 0.017260453896597028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01375088281929493, model_test_time: 0.0035095710773020983
Total test time: 0.017360455123707652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013855416094884276, model_test_time: 0.0035050390288233757
Total test time: 0.01729748584330082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013754996936768293, model_test_time: 0.003542488906532526
Total test time: 0.017341967206448317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013815728249028325, model_test_time: 0.0035262389574199915
Total test time: 0.017369677079841495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013853542041033506, model_test_time: 0.003516135038807988
Total test time: 0.017390351044014096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013844894245266914, model_test_time: 0.003545456798747182
Total test time: 0.020434027072042227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01378156105056405, model_test_time: 0.006652466021478176
Total test time: 0.01739868870936334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01381369773298502, model_test_time: 0.0035849909763783216
Total test time: 0.017324361018836498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013790309894829988, model_test_time: 0.0035340511240065098
Total test time: 0.01736774784512818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013797966064885259, model_test_time: 0.00356978178024292
Total test time: 0.017394936177879572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013833958189934492, model_test_time: 0.00356097798794508
Total test time: 0.017310923896729946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013785101938992739, model_test_time: 0.0035258219577372074
Total test time: 0.017387229250743985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013897189171984792, model_test_time: 0.0034900400787591934
Total test time: 0.017340976046398282 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0138191650621593, model_test_time: 0.003521810984238982
Total test time: 0.01733790384605527 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013824843103066087, model_test_time: 0.0035130607429891825
Total test time: 0.017352226888760924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013839634833857417, model_test_time: 0.0035125920549035072
Total test time: 0.017529262928292155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013965626945719123, model_test_time: 0.0035636359825730324
***1_th repeat
Total test time: 0.01770749711431563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013988702092319727, model_test_time: 0.003718795021995902
Total test time: 0.01743358187377453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013742703944444656, model_test_time: 0.003690877929329872
Total test time: 0.017591661075130105 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013885104097425938, model_test_time: 0.0037065569777041674
Total test time: 0.020784399937838316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013787080999463797, model_test_time: 0.006997318938374519
Total test time: 0.01760921417735517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013825207948684692, model_test_time: 0.003784006228670478
Total test time: 0.017498586094006896 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01381786516867578, model_test_time: 0.0036807209253311157
Total test time: 0.017574523808434606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013903751038014889, model_test_time: 0.003670772770419717
Total test time: 0.017478323774412274 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013765256619080901, model_test_time: 0.003713067155331373
Total test time: 0.017486344557255507 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013858801685273647, model_test_time: 0.003627542871981859
Total test time: 0.017489157617092133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01379062281921506, model_test_time: 0.0036985347978770733
Total test time: 0.01745957275852561 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013773225713521242, model_test_time: 0.003686347045004368
Total test time: 0.017535930033773184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013853020966053009, model_test_time: 0.003682909067720175
Total test time: 0.017588118324056268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013836874160915613, model_test_time: 0.0037512441631406546
Total test time: 0.017413632944226265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013774527935311198, model_test_time: 0.0036391050089150667
Total test time: 0.017399261007085443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013766976771876216, model_test_time: 0.0036322842352092266
Total test time: 0.01751285628415644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013853906188160181, model_test_time: 0.0036589500959962606
Total test time: 0.01744441781193018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013768330914899707, model_test_time: 0.0036760868970304728
Total test time: 0.01750233583152294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013871510745957494, model_test_time: 0.003630825085565448
Total test time: 0.0174912940710783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013868177076801658, model_test_time: 0.003623116994276643
Total test time: 0.01746545871719718 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013836560770869255, model_test_time: 0.0036288979463279247
***2_th repeat
