Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(diag)', time='2021-04-05 18:16:11')
***SFRIG1_2020, Nystrom-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_True/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.018733929144218564 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015428477199748158, model_test_time: 0.0033054519444704056
Total test time: 0.01676320005208254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013641659868881106, model_test_time: 0.0031215401832014322
Total test time: 0.016598351765424013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013534469762817025, model_test_time: 0.003063882002606988
Total test time: 0.016692938515916467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013512855395674706, model_test_time: 0.003180083120241761
Total test time: 0.016528713749721646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013489467790350318, model_test_time: 0.0030392459593713284
Total test time: 0.016708147479221225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013571294490247965, model_test_time: 0.00313685298897326
Total test time: 0.016620226902887225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013579782797023654, model_test_time: 0.003040444105863571
Total test time: 0.016626113327220082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01353280316106975, model_test_time: 0.0030933101661503315
Total test time: 0.016517309239134192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013465615222230554, model_test_time: 0.003051694016903639
Total test time: 0.016614707419648767 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013508064206689596, model_test_time: 0.0031066432129591703
Total test time: 0.016571946209296584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01352144917473197, model_test_time: 0.0030504970345646143
Total test time: 0.0166263731662184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013544313376769423, model_test_time: 0.0030820597894489765
Total test time: 0.016513974172994494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01346233207732439, model_test_time: 0.003051642095670104
Total test time: 0.01679419190622866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013693745015189052, model_test_time: 0.00310044689103961
Total test time: 0.016509184148162603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01346410415135324, model_test_time: 0.0030450799968093634
Total test time: 0.01651579886674881 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013463634764775634, model_test_time: 0.003052164101973176
Total test time: 0.016626426251605153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013529001036658883, model_test_time: 0.00309742521494627
Total test time: 0.016716270009055734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013668273808434606, model_test_time: 0.003047996200621128
Total test time: 0.016742261359468102 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013645097380504012, model_test_time: 0.0030971639789640903
Total test time: 0.016600541304796934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013572856551036239, model_test_time: 0.0030276847537606955
***1_th repeat
Total test time: 0.018251989968121052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013858749996870756, model_test_time: 0.004393239971250296
Total test time: 0.01790781505405903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013625046238303185, model_test_time: 0.004282768815755844
Total test time: 0.0177680691704154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013530041091144085, model_test_time: 0.0042380280792713165
