Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-GMM(full)', time='2021-04-05 18:18:43')
***SFRIG1_2020, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.018449754919856787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015706662088632584, model_test_time: 0.002743092831224203
Total test time: 0.01626475085504353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013875104021281004, model_test_time: 0.0023896468337625265
Total test time: 0.015959691256284714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013631192268803716, model_test_time: 0.002328498987480998
Total test time: 0.016049484023824334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013664421159774065, model_test_time: 0.002385062864050269
Total test time: 0.016087349504232407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013669734355062246, model_test_time: 0.0024176151491701603
Total test time: 0.015928334556519985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013603116618469357, model_test_time: 0.0023252179380506277
Total test time: 0.016079016029834747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013653847854584455, model_test_time: 0.002425168175250292
Total test time: 0.01612886064685881 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013674733927473426, model_test_time: 0.0024541267193853855
Total test time: 0.015964429127052426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013625201070681214, model_test_time: 0.002339228056371212
Total test time: 0.015982348006218672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01358988881111145, model_test_time: 0.0023924591951072216
Total test time: 0.01610302599146962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013735932996496558, model_test_time: 0.0023670929949730635
Total test time: 0.015940056182444096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013628953136503696, model_test_time: 0.002311103045940399
Total test time: 0.016059484099969268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013710984261706471, model_test_time: 0.0023484998382627964
Total test time: 0.016078130807727575 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01372483978047967, model_test_time: 0.0023532910272479057
Total test time: 0.016060212859883904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013690620893612504, model_test_time: 0.0023695919662714005
Total test time: 0.015954951057210565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013613848015666008, model_test_time: 0.0023411030415445566
Total test time: 0.01615302707068622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013775986153632402, model_test_time: 0.0023770409170538187
Total test time: 0.015927606262266636 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013611034257337451, model_test_time: 0.002316572004929185
Total test time: 0.015926719177514315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01359509490430355, model_test_time: 0.002331624273210764
Total test time: 0.016081203008070588 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013647805899381638, model_test_time: 0.0024333971086889505
***1_th repeat
Total test time: 0.016219645272940397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013788904994726181, model_test_time: 0.0024307402782142162
Total test time: 0.016040996415540576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013660256285220385, model_test_time: 0.0023807401303201914
Total test time: 0.015921200858429074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013598535908386111, model_test_time: 0.002322664950042963
Total test time: 0.016043440671637654 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013680930715054274, model_test_time: 0.0023625099565833807
Total test time: 0.016118443803861737 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013737288070842624, model_test_time: 0.0023811557330191135
Total test time: 0.01601833780296147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013687546597793698, model_test_time: 0.0023307912051677704
