Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='Nystrom-GMM(full)', time='2021-04-05 18:25:30')
***SFRIG1_2020, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.018041620729491115 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01534535177052021, model_test_time: 0.0026962689589709044
Total test time: 0.01596734719350934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013560929102823138, model_test_time: 0.002406418090686202
Total test time: 0.0160754241514951 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013685569167137146, model_test_time: 0.002389854984357953
Total test time: 0.01598208723589778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013666244223713875, model_test_time: 0.0023158430121839046
Total test time: 0.015896824887022376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013569159898906946, model_test_time: 0.00232766498811543
Total test time: 0.015911252470687032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01353119034320116, model_test_time: 0.0023800621274858713
Total test time: 0.016087715746834874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013729059835895896, model_test_time: 0.002358655910938978
Total test time: 0.015821668785065413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013496762840077281, model_test_time: 0.0023249059449881315
Total test time: 0.01589703420177102 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013508273055776954, model_test_time: 0.002388761145994067
Total test time: 0.01599541981704533 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013618377735838294, model_test_time: 0.002377042081207037
Total test time: 0.015847344184294343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013518116204068065, model_test_time: 0.0023292279802262783
Total test time: 0.0161341221537441 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01368421409279108, model_test_time: 0.002449908060953021
Total test time: 0.016068285796791315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013677181908860803, model_test_time: 0.0023911038879305124
Total test time: 0.015850365161895752 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013531085336580873, model_test_time: 0.0023192798253148794
Total test time: 0.01588151091709733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013544210931286216, model_test_time: 0.0023372999858111143
Total test time: 0.015928701031953096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013570097042247653, model_test_time: 0.0023586039897054434
Total test time: 0.016003129305317998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01359895127825439, model_test_time: 0.002404178027063608
Total test time: 0.015832292148843408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013505876064300537, model_test_time: 0.0023264160845428705
Total test time: 0.015963179990649223 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01356926397420466, model_test_time: 0.002393916016444564
Total test time: 0.015922191785648465 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013513950863853097, model_test_time: 0.002408240921795368
***1_th repeat
Total test time: 0.016445067012682557 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01399474311619997, model_test_time: 0.002450323896482587
Total test time: 0.016090944642201066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013747758697718382, model_test_time: 0.002343185944482684
Total test time: 0.01603000471368432 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013693589717149734, model_test_time: 0.002336414996534586
Total test time: 0.016182770021259785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01374484202824533, model_test_time: 0.002437927993014455
Total test time: 0.016155216610059142 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013798487838357687, model_test_time: 0.002356728771701455
Total test time: 0.01623803237453103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01377197727560997, model_test_time: 0.0024660550989210606
Total test time: 0.01618703897111118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013806247850880027, model_test_time: 0.0023807911202311516
Total test time: 0.016021774848923087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013691401807591319, model_test_time: 0.002330373041331768
