Namespace(dataset='SFRIG1_2020', feat='stats', gs='True', header='True', model='Nystrom-GMM(full)', time='2021-04-05 18:21:33')
***SFRIG1_2020, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.026643096935003996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016136100981384516, model_test_time: 0.01050699595361948
Total test time: 0.024802633095532656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014469861285760999, model_test_time: 0.010332771809771657
Total test time: 0.025038053980097175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014313969761133194, model_test_time: 0.01072408421896398
Total test time: 0.024953573942184448 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014277406968176365, model_test_time: 0.010676166974008083
Total test time: 0.024708774872124195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01438756613060832, model_test_time: 0.010321208741515875
Total test time: 0.024783984292298555 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01432808511890471, model_test_time: 0.010455899173393846
Total test time: 0.024746743962168694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014407305745407939, model_test_time: 0.010339438216760755
Total test time: 0.02467028540559113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014340221183374524, model_test_time: 0.010330064222216606
Total test time: 0.024546582950279117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014285271055996418, model_test_time: 0.010261311894282699
Total test time: 0.02488294499926269 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014291208004578948, model_test_time: 0.010591736994683743
Total test time: 0.024800546932965517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01425323891453445, model_test_time: 0.010547308018431067
Total test time: 0.02474945248104632 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014308449812233448, model_test_time: 0.010441002668812871
Total test time: 0.02469846303574741 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014278864953666925, model_test_time: 0.010419598082080483
Total test time: 0.025080398423597217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014258499490097165, model_test_time: 0.010821898933500051
Total test time: 0.025374313117936254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0143200121819973, model_test_time: 0.011054300935938954
Total test time: 0.02525233174674213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01454908074811101, model_test_time: 0.01070325099863112
Total test time: 0.02501753205433488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014382146997377276, model_test_time: 0.010635385056957603
Total test time: 0.024655909277498722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014306991128250957, model_test_time: 0.010348918149247766
Total test time: 0.024836330907419324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014354439917951822, model_test_time: 0.010481890989467502
Total test time: 0.024876485811546445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014339646557345986, model_test_time: 0.010536839254200459
***1_th repeat
Total test time: 0.024703721748664975 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014771793968975544, model_test_time: 0.009931927779689431
Total test time: 0.02397250384092331 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014446940971538424, model_test_time: 0.009525562869384885
Total test time: 0.024553509894758463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0143837109208107, model_test_time: 0.010169798973947763
Total test time: 0.024141676723957062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014458452817052603, model_test_time: 0.009683223906904459
Total test time: 0.02436100458726287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014469285728409886, model_test_time: 0.009891718858852983
Total test time: 0.023988286033272743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014395221136510372, model_test_time: 0.009593064896762371
Total test time: 0.024368399055674672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014400325017049909, model_test_time: 0.009968074038624763
Total test time: 0.024197249673306942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014381939778104424, model_test_time: 0.009815309895202518
Total test time: 0.024097666144371033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014450432965531945, model_test_time: 0.009647233178839087
Total test time: 0.024267668835818768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014383554924279451, model_test_time: 0.009884113911539316
Total test time: 0.02430970105342567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014429024187847972, model_test_time: 0.009880676865577698
Total test time: 0.024236989906057715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014424753142520785, model_test_time: 0.00981223676353693
Total test time: 0.024122247006744146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014382408000528812, model_test_time: 0.009739839006215334
Total test time: 0.024006151594221592 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014390899334102869, model_test_time: 0.009615252260118723
Total test time: 0.024333034176379442 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014396054204553366, model_test_time: 0.009936979971826077
Total test time: 0.024098498048260808 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01446663006208837, model_test_time: 0.009631867986172438
Total test time: 0.02405797620303929 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014444702072069049, model_test_time: 0.00961327413097024
Total test time: 0.024155221646651626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014464965788647532, model_test_time: 0.009690255858004093
Total test time: 0.024040007730945945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014392409939318895, model_test_time: 0.00964759779162705
Total test time: 0.02421178063377738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01440636650659144, model_test_time: 0.00980541412718594
***2_th repeat
Total test time: 0.025294154416769743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014491787180304527, model_test_time: 0.010802367236465216
Total test time: 0.025047742063179612 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014355220831930637, model_test_time: 0.010692521231248975
Total test time: 0.02507253480143845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01438673259690404, model_test_time: 0.010685802204534411
Total test time: 0.02482039318419993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014385535148903728, model_test_time: 0.010434858035296202
Total test time: 0.02473872364498675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014282146701589227, model_test_time: 0.010456576943397522
Total test time: 0.024984511779621243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01441152486950159, model_test_time: 0.010572986910119653
Total test time: 0.024888936895877123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014428609050810337, model_test_time: 0.010460327845066786
Total test time: 0.024834143463522196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014369232580065727, model_test_time: 0.010464910883456469
Total test time: 0.024846069747582078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014387617819011211, model_test_time: 0.010458451928570867
Total test time: 0.025055815000087023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014542777091264725, model_test_time: 0.010513037908822298
Total test time: 0.024968833196908236 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014274541288614273, model_test_time: 0.010694291908293962
Total test time: 0.02521779853850603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014402253553271294, model_test_time: 0.010815544985234737
Total test time: 0.024882475845515728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014306104741990566, model_test_time: 0.010576371103525162
Total test time: 0.024776642210781574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014252667082473636, model_test_time: 0.010523975128307939
Total test time: 0.02533405227586627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014382670167833567, model_test_time: 0.010951382108032703
Total test time: 0.025035551749169827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014594028703868389, model_test_time: 0.010441523045301437
Total test time: 0.028168606804683805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014337044907733798, model_test_time: 0.013831561896950006
Total test time: 0.024743099929764867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014384441077709198, model_test_time: 0.010358658852055669
Total test time: 0.025092794792726636 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014420690946280956, model_test_time: 0.01067210384644568
