Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-OCSVM(linear)', time='2021-04-05 18:19:52')
***SFRIG1_2020, Nystrom-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.03654851205646992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015844947192817926, model_test_time: 0.02070356486365199
Total test time: 0.034512938698753715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014003961812704802, model_test_time: 0.020508976886048913
Total test time: 0.03157353796996176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013893280876800418, model_test_time: 0.017680257093161345
Total test time: 0.03164567518979311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013967398088425398, model_test_time: 0.017678277101367712
Total test time: 0.03163291281089187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013866768917068839, model_test_time: 0.017766143893823028
Total test time: 0.03164650988765061 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013868541922420263, model_test_time: 0.017777967965230346
Total test time: 0.031703488901257515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0139562520198524, model_test_time: 0.017747236881405115
Total test time: 0.031575413420796394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013841875363141298, model_test_time: 0.017733538057655096
Total test time: 0.03166687418706715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013863437110558152, model_test_time: 0.017803437076509
Total test time: 0.03160426998510957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013871720060706139, model_test_time: 0.01773254992440343
Total test time: 0.03163437405601144 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013884220039471984, model_test_time: 0.017750154016539454
Total test time: 0.031690366100519896 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013972504064440727, model_test_time: 0.01771786203607917
Total test time: 0.031643802067264915 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013748643919825554, model_test_time: 0.01789515814743936
Total test time: 0.03160942415706813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013830207288265228, model_test_time: 0.017779216868802905
Total test time: 0.03174567758105695 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013984481804072857, model_test_time: 0.017761195776984096
Total test time: 0.031650466145947576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013932605274021626, model_test_time: 0.01771786087192595
Total test time: 0.031608957098796964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013856772100552917, model_test_time: 0.017752184998244047
Total test time: 0.03163275821134448 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013875729171559215, model_test_time: 0.017757029039785266
Total test time: 0.031624164432287216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013892239425331354, model_test_time: 0.017731925006955862
Total test time: 0.03163984254933894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013875781558454037, model_test_time: 0.0177640609908849
***1_th repeat
Total test time: 0.03442486422136426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013950054999440908, model_test_time: 0.02047480922192335
Total test time: 0.031814639223739505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01399375288747251, model_test_time: 0.017820886336266994
Total test time: 0.03158660978078842 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013975417707115412, model_test_time: 0.01761119207367301
Total test time: 0.03158749802969396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013932189904153347, model_test_time: 0.017655308125540614
Total test time: 0.03160483972169459 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013921042904257774, model_test_time: 0.017683796817436814
Total test time: 0.03168546757660806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014037712709978223, model_test_time: 0.01764775486662984
Total test time: 0.03190125501714647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013954845955595374, model_test_time: 0.017946409061551094
Total test time: 0.03167515527456999 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013946512481197715, model_test_time: 0.017728642793372273
Total test time: 0.03170895669609308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014025939861312509, model_test_time: 0.017683016834780574
Total test time: 0.031686564441770315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01402104739099741, model_test_time: 0.017665517050772905
Total test time: 0.031679478008300066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014020368224009871, model_test_time: 0.017659109784290195
Total test time: 0.031758074183017015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014031775295734406, model_test_time: 0.01772629888728261
Total test time: 0.03172526205889881 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014041985152289271, model_test_time: 0.017683276906609535
Total test time: 0.03168432298116386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013996044872328639, model_test_time: 0.01768827810883522
Total test time: 0.031795417657122016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01406844169832766, model_test_time: 0.017726975958794355
Total test time: 0.03170734434388578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014003962278366089, model_test_time: 0.01770338206551969
