Namespace(dataset='SFRIG1_2020', feat='stats', gs='True', header='True', model='Nystrom-OCSVM(linear)', time='2021-04-05 18:22:41')
***SFRIG1_2020, Nystrom-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.0368049789685756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014951590914279222, model_test_time: 0.021853388054296374
Total test time: 0.033849849132820964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013363894075155258, model_test_time: 0.020485955057665706
Total test time: 0.03092445805668831 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013199513079598546, model_test_time: 0.017724944977089763
Total test time: 0.03097206400707364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013230504002422094, model_test_time: 0.017741560004651546
Total test time: 0.031008576741442084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013066281797364354, model_test_time: 0.01794229494407773
Total test time: 0.03117040265351534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01337680988945067, model_test_time: 0.01779359276406467
Total test time: 0.031075712759047747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013325870968401432, model_test_time: 0.017749841790646315
Total test time: 0.03100956487469375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013238471932709217, model_test_time: 0.017771092941984534
Total test time: 0.030913365771993995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013222951674833894, model_test_time: 0.0176904140971601
Total test time: 0.03088060370646417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013184721814468503, model_test_time: 0.01769588189199567
Total test time: 0.030947168124839664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013210139237344265, model_test_time: 0.0177370288874954
Total test time: 0.031010241946205497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013251546071842313, model_test_time: 0.017758695874363184
Total test time: 0.031126860762014985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013378372881561518, model_test_time: 0.017748487880453467
Total test time: 0.031017327215522528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013240557163953781, model_test_time: 0.017776770051568747
Total test time: 0.031024566618725657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013272641925141215, model_test_time: 0.017751924693584442
Total test time: 0.03103826497681439 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013265922898426652, model_test_time: 0.017772342078387737
Total test time: 0.03103456669487059 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013299047714099288, model_test_time: 0.017735518980771303
Total test time: 0.031056388979777694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013311494840309024, model_test_time: 0.01774489413946867
Total test time: 0.031013785861432552 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013287589652463794, model_test_time: 0.01772619620896876
Total test time: 0.031013940926641226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01328186085447669, model_test_time: 0.017732080072164536
***1_th repeat
Total test time: 0.03179260645993054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013890624744817615, model_test_time: 0.017901981715112925
Total test time: 0.03164125047624111 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013904012273997068, model_test_time: 0.017737238202244043
Total test time: 0.03161307005211711 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013890260132029653, model_test_time: 0.017722809920087457
Total test time: 0.03169734333641827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01395401218906045, model_test_time: 0.01774333114735782
Total test time: 0.031625986797735095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0138766139280051, model_test_time: 0.017749372869729996
Total test time: 0.031722294399514794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013953076209872961, model_test_time: 0.017769218189641833
Total test time: 0.03157509956508875 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013893905794247985, model_test_time: 0.017681193770840764
Total test time: 0.03159197652712464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013925678795203567, model_test_time: 0.017666297731921077
Total test time: 0.03147400403395295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013818541076034307, model_test_time: 0.017655462957918644
Total test time: 0.03151833009906113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013833957957103848, model_test_time: 0.017684372141957283
Total test time: 0.031546973856166005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013855675933882594, model_test_time: 0.01769129792228341
Total test time: 0.03149572410620749 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013818228151649237, model_test_time: 0.017677495954558253
Total test time: 0.0314789533149451 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01381932315416634, model_test_time: 0.01765963016077876
Total test time: 0.03154760203324258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013827343937009573, model_test_time: 0.01772025809623301
Total test time: 0.031671667005866766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01396021107211709, model_test_time: 0.017711455933749676
Total test time: 0.031582652823999524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013830676907673478, model_test_time: 0.017751975916326046
Total test time: 0.03166499896906316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01381416479125619, model_test_time: 0.017850834177806973
Total test time: 0.031612134305760264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013847344322130084, model_test_time: 0.01776478998363018
