Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='Nystrom-QS-init_GMM(diag)', time='2021-04-05 18:27:10')
***SFRIG1_2020, Nystrom-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.019366657128557563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015405458165332675, model_test_time: 0.003961198963224888
Total test time: 0.01756744203157723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013704580953344703, model_test_time: 0.0038628610782325268
Total test time: 0.017406813567504287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013577806297689676, model_test_time: 0.0038290072698146105
Total test time: 0.01749114040285349 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013626037165522575, model_test_time: 0.0038651032373309135
Total test time: 0.017344048945233226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013477490050718188, model_test_time: 0.0038665588945150375
Total test time: 0.017345299944281578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013513376004993916, model_test_time: 0.0038319239392876625
Total test time: 0.017356340773403645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01354915788397193, model_test_time: 0.003807182889431715
Total test time: 0.017522338312119246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013610047288239002, model_test_time: 0.003912291023880243
Total test time: 0.017318425234407187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013464573072269559, model_test_time: 0.0038538521621376276
Total test time: 0.017572026466950774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013714163331314921, model_test_time: 0.003857863135635853
Total test time: 0.01731628878042102 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013470562873408198, model_test_time: 0.0038457259070128202
Total test time: 0.01751436456106603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013489779783412814, model_test_time: 0.004024584777653217
Total test time: 0.0180220368783921 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01411563204601407, model_test_time: 0.00390640483237803
