Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-05 18:15:03')
***SFRIG1_2020, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02394130756147206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01570645533502102, model_test_time: 0.00823485222645104
Total test time: 0.022092142840847373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013901510974392295, model_test_time: 0.008190631866455078
Total test time: 0.021656610071659088 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013698068913072348, model_test_time: 0.00795854115858674
Total test time: 0.02170827705413103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013698745053261518, model_test_time: 0.008009532000869513
Total test time: 0.02190234581939876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013776871841400862, model_test_time: 0.008125473977997899
Total test time: 0.02211141516454518 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013776508159935474, model_test_time: 0.008334907004609704
Total test time: 0.02186349011026323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013692182954400778, model_test_time: 0.00817130715586245
Total test time: 0.021965472027659416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013905937783420086, model_test_time: 0.00805953424423933
Total test time: 0.021711404202505946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0137066631577909, model_test_time: 0.008004741044715047
Total test time: 0.021931356750428677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013767392840236425, model_test_time: 0.008163963910192251
Total test time: 0.021640933817252517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013703432865440845, model_test_time: 0.007937500951811671
Total test time: 0.021841927664354444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013784267706796527, model_test_time: 0.008057659957557917
Total test time: 0.021975630428642035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013790103374049067, model_test_time: 0.008185527054592967
Total test time: 0.021904741181060672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013835207093507051, model_test_time: 0.00806953408755362
Total test time: 0.021763538708910346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013783172937110066, model_test_time: 0.00798036577180028
Total test time: 0.021677392069250345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01369129796512425, model_test_time: 0.007986094104126096
Total test time: 0.02172124572098255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013710671802982688, model_test_time: 0.008010573917999864
Total test time: 0.02176124742254615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01373009872622788, model_test_time: 0.008031148696318269
Total test time: 0.021807343931868672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01375958020798862, model_test_time: 0.008047763723880053
Total test time: 0.021860157139599323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01381723815575242, model_test_time: 0.008042918983846903
***1_th repeat
Total test time: 0.023008259944617748 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014050109079107642, model_test_time: 0.008958150865510106
Total test time: 0.022856276016682386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013863853178918362, model_test_time: 0.008992422837764025
Total test time: 0.022917893948033452 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013838645070791245, model_test_time: 0.009079248877242208
Total test time: 0.022823672741651535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01391604170203209, model_test_time: 0.008907631039619446
Total test time: 0.023290038108825684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013902812032029033, model_test_time: 0.009387226076796651
Total test time: 0.02357176481746137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014005888951942325, model_test_time: 0.009565875865519047
Total test time: 0.023002946516498923 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014021825511008501, model_test_time: 0.008981121005490422
Total test time: 0.022688564378768206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013842082349583507, model_test_time: 0.008846482029184699
Total test time: 0.02279882808215916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013905938947573304, model_test_time: 0.008892889134585857
Total test time: 0.02279445086605847 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013907238841056824, model_test_time: 0.008887212025001645
Total test time: 0.022626685444265604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013864633161574602, model_test_time: 0.008762052282691002
Total test time: 0.022755908779799938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013872809708118439, model_test_time: 0.0088830990716815
Total test time: 0.022722783964127302 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013820727821439505, model_test_time: 0.008902056142687798
Total test time: 0.022710022749379277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01385130058042705, model_test_time: 0.008858722168952227
Total test time: 0.022799194091930985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013943023048341274, model_test_time: 0.008856171043589711
Total test time: 0.022832681192085147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013916458236053586, model_test_time: 0.008916222956031561
Total test time: 0.022873987210914493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013934948947280645, model_test_time: 0.008939038263633847
Total test time: 0.022763877175748348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013920052209869027, model_test_time: 0.008843824965879321
Total test time: 0.022699395893141627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013818643055856228, model_test_time: 0.0088807528372854
Total test time: 0.022857997100800276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013825416099280119, model_test_time: 0.009032581001520157
***2_th repeat
Total test time: 0.022175269201397896 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014132871059700847, model_test_time: 0.00804239814169705
Total test time: 0.0219726599752903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01391614694148302, model_test_time: 0.008056513033807278
Total test time: 0.022079851012676954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013948595151305199, model_test_time: 0.008131255861371756
Total test time: 0.02198167028836906 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013914687093347311, model_test_time: 0.008066983195021749
Total test time: 0.022044015815481544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013919323915615678, model_test_time: 0.008124691899865866
