Namespace(dataset='UNB345_3', feat='stats', gs='False', header='True', model='KJL-GMM(diag)', time='2021-04-05 17:21:11')
***UNB345_3, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.020172046963125467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01776656578294933, model_test_time: 0.002405481180176139
Total test time: 0.01707311114296317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014781020116060972, model_test_time: 0.002292091026902199
Total test time: 0.016706953989341855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014546845108270645, model_test_time: 0.00216010888107121
Total test time: 0.016763312043622136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014501480851322412, model_test_time: 0.0022618311922997236
Total test time: 0.01662341202609241 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014471844770014286, model_test_time: 0.002151567256078124
Total test time: 0.016750289825722575 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014494604896754026, model_test_time: 0.0022556849289685488
Total test time: 0.01672752993181348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014553200919181108, model_test_time: 0.00217432901263237
Total test time: 0.01674487511627376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014507939107716084, model_test_time: 0.0022369360085576773
Total test time: 0.01682372926734388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01463789027184248, model_test_time: 0.002185838995501399
Total test time: 0.01676888531073928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014527887338772416, model_test_time: 0.0022409979719668627
Total test time: 0.016660860273987055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014467781176790595, model_test_time: 0.0021930790971964598
Total test time: 0.01673591509461403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014490854926407337, model_test_time: 0.0022450601682066917
Total test time: 0.016678725834935904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014464395819231868, model_test_time: 0.0022143300157040358
Total test time: 0.01665898645296693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014489605324342847, model_test_time: 0.0021693811286240816
Total test time: 0.01664362126030028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014458094257861376, model_test_time: 0.002185527002438903
Total test time: 0.016626744996756315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014482469065114856, model_test_time: 0.0021442759316414595
Total test time: 0.016679663211107254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014495647046715021, model_test_time: 0.002184016164392233
Total test time: 0.016637942055240273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014479395234957337, model_test_time: 0.002158546820282936
Total test time: 0.01666393270716071 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014469551853835583, model_test_time: 0.0021943808533251286
Total test time: 0.016637111315503716 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014479345176368952, model_test_time: 0.0021577661391347647
***1_th repeat
Total test time: 0.01732702529989183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015149154234677553, model_test_time: 0.0021778710652142763
Total test time: 0.016989254858344793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01471705874428153, model_test_time: 0.002272196114063263
Total test time: 0.01664315303787589 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014349028933793306, model_test_time: 0.0022941241040825844
Total test time: 0.01697852509096265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014705599984154105, model_test_time: 0.002272925106808543
Total test time: 0.017129260580986738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014908784301951528, model_test_time: 0.0022204762790352106
Total test time: 0.016915085026994348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014762423001229763, model_test_time: 0.0021526620257645845
Total test time: 0.016952690901234746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014753049006685615, model_test_time: 0.0021996418945491314
Total test time: 0.016849512234330177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01469226717017591, model_test_time: 0.0021572450641542673
Total test time: 0.01696925167925656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014793725684285164, model_test_time: 0.0021755259949713945
Total test time: 0.016932482598349452 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014736746670678258, model_test_time: 0.002195735927671194
Total test time: 0.016939619788900018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01474554999731481, model_test_time: 0.002194069791585207
Total test time: 0.021983553655445576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019817141583189368, model_test_time: 0.0021664120722562075
Total test time: 0.016970920842140913 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014704975066706538, model_test_time: 0.002265945775434375
Total test time: 0.01691310782916844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014740497805178165, model_test_time: 0.0021726100239902735
Total test time: 0.017181187868118286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014900397974997759, model_test_time: 0.0022807898931205273
Total test time: 0.016815186012536287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014674192061647773, model_test_time: 0.0021409939508885145
Total test time: 0.01695852493867278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014696954051032662, model_test_time: 0.0022615708876401186
Total test time: 0.016861960059031844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014639400877058506, model_test_time: 0.002222559181973338
Total test time: 0.01692149182781577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01474799681454897, model_test_time: 0.002173495013266802
Total test time: 0.016834771260619164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01463023410178721, model_test_time: 0.002204537158831954
***2_th repeat
Total test time: 0.017304679146036506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01502237911336124, model_test_time: 0.0022823000326752663
Total test time: 0.017385620856657624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015172852901741862, model_test_time: 0.002212767954915762
Total test time: 0.016858002170920372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014682267094030976, model_test_time: 0.0021757350768893957
Total test time: 0.016858886694535613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014656327897682786, model_test_time: 0.002202558796852827
Total test time: 0.016816383926197886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014655805891379714, model_test_time: 0.0021605780348181725
Total test time: 0.016928472323343158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014725862303748727, model_test_time: 0.002202610019594431
Total test time: 0.016820916905999184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014662317931652069, model_test_time: 0.0021585989743471146
Total test time: 0.01692977291531861 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014720391016453505, model_test_time: 0.0022093818988651037
