Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='KJL-GMM(diag)', time='2021-04-05 17:17:13')
***UNB345_3, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.020503359846770763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01636835397221148, model_test_time: 0.004135005874559283
Total test time: 0.018667997792363167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014648567885160446, model_test_time: 0.004019429907202721
Total test time: 0.01857179799117148 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014602682087570429, model_test_time: 0.00396911590360105
Total test time: 0.018467211863026023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014467886881902814, model_test_time: 0.003999324981123209
Total test time: 0.018437108024954796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014458979945629835, model_test_time: 0.003978128079324961
Total test time: 0.0185236728284508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014559242874383926, model_test_time: 0.003964429954066873
Total test time: 0.018451793119311333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014537158189341426, model_test_time: 0.003914634929969907
Total test time: 0.01849934714846313 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014549451181665063, model_test_time: 0.003949895966798067
Total test time: 0.01856856979429722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014554503839462996, model_test_time: 0.004014065954834223
Total test time: 0.018661069916561246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014474709052592516, model_test_time: 0.00418636086396873
Total test time: 0.018493671901524067 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014551796019077301, model_test_time: 0.003941875882446766
Total test time: 0.018603621516376734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014392987824976444, model_test_time: 0.0042106336914002895
Total test time: 0.018581486772745848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014455490978434682, model_test_time: 0.004125995794311166
Total test time: 0.01859268476255238 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014631588943302631, model_test_time: 0.003961095819249749
