Namespace(dataset='UNB345_3', feat='stats', gs='False', header='True', model='Nystrom-GMM(full)', time='2021-04-05 17:19:53')
***UNB345_3, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.018993213772773743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016441374784335494, model_test_time: 0.0025518389884382486
Total test time: 0.017078370787203312 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014738568803295493, model_test_time: 0.002339801983907819
Total test time: 0.020497525110840797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01803381321951747, model_test_time: 0.002463711891323328
Total test time: 0.017001756001263857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014681537868455052, model_test_time: 0.0023202181328088045
Total test time: 0.017017746111378074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014589712955057621, model_test_time: 0.0024280331563204527
Total test time: 0.016968784853816032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01462736795656383, model_test_time: 0.002341416897252202
Total test time: 0.017086183419451118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014642160153016448, model_test_time: 0.0024440232664346695
Total test time: 0.017001287080347538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014593253843486309, model_test_time: 0.002408033236861229
Total test time: 0.017036651959642768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014625858049839735, model_test_time: 0.002410793909803033
Total test time: 0.017157955560833216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014719297643750906, model_test_time: 0.0024386579170823097
Total test time: 0.016932690981775522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014606066979467869, model_test_time: 0.0023266240023076534
Total test time: 0.017016077879816294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014666692120954394, model_test_time: 0.0023493857588618994
Total test time: 0.017002953216433525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014676016056910157, model_test_time: 0.002326937159523368
Total test time: 0.01709696650505066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01472346531227231, model_test_time: 0.002373501192778349
Total test time: 0.01714103063568473 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014685235917568207, model_test_time: 0.002455794718116522
Total test time: 0.016980037093162537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014662318164482713, model_test_time: 0.002317718928679824
