Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='Nystrom-QS-init_GMM(full)', time='2021-04-05 17:16:11')
***UNB345_3, Nystrom-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02700004493817687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01633116602897644, model_test_time: 0.01066887890920043
Total test time: 0.024878008756786585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014536690898239613, model_test_time: 0.010341317858546972
Total test time: 0.02469789911992848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014417312107980251, model_test_time: 0.010280587011948228
Total test time: 0.02486811182461679 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01438731187954545, model_test_time: 0.01048079994507134
Total test time: 0.024837225675582886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014523200923576951, model_test_time: 0.010314024752005935
Total test time: 0.02481623599305749 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01443934510461986, model_test_time: 0.010376890888437629
Total test time: 0.02496915590018034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014578305650502443, model_test_time: 0.010390850249677896
Total test time: 0.02486451924778521 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014450698159635067, model_test_time: 0.010413821088150144
Total test time: 0.02485363371670246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014419448794797063, model_test_time: 0.010434184921905398
Total test time: 0.025937932077795267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014533983077853918, model_test_time: 0.011403948999941349
Total test time: 0.025076296413317323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014637006213888526, model_test_time: 0.010439290199428797
Total test time: 0.024903895799070597 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014501846861094236, model_test_time: 0.01040204893797636
Total test time: 0.024877590592950583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014510595705360174, model_test_time: 0.010366994887590408
Total test time: 0.02490452118217945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014488148037344217, model_test_time: 0.010416373144835234
Total test time: 0.024939364986494184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01443913602270186, model_test_time: 0.010500228963792324
Total test time: 0.025353229139000177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014482939150184393, model_test_time: 0.010870289988815784
Total test time: 0.02506858599372208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014660964021459222, model_test_time: 0.01040762197226286
Total test time: 0.024850560119375587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014490023022517562, model_test_time: 0.010360537096858025
Total test time: 0.024811808951199055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014417050871998072, model_test_time: 0.010394758079200983
Total test time: 0.02492805989459157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01444215583615005, model_test_time: 0.01048590405844152
***1_th repeat
Total test time: 0.02577772014774382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015147436177358031, model_test_time: 0.01063028397038579
Total test time: 0.025252965046092868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014753466006368399, model_test_time: 0.01049949903972447
Total test time: 0.025140305748209357 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014683047775179148, model_test_time: 0.01045725797303021
Total test time: 0.025490212254226208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014867897145450115, model_test_time: 0.010622315108776093
Total test time: 0.0253047370351851 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014866593992337584, model_test_time: 0.010438143042847514
Total test time: 0.02539578196592629 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014843260869383812, model_test_time: 0.010552521096542478
Total test time: 0.0251995287835598 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014819146832451224, model_test_time: 0.010380381951108575
Total test time: 0.025289948098361492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014819303061813116, model_test_time: 0.010470645036548376
Total test time: 0.025195932714268565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014725965913385153, model_test_time: 0.010469966800883412
Total test time: 0.025092492112889886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014751174254342914, model_test_time: 0.010341317858546972
Total test time: 0.025285676354542375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014803052181378007, model_test_time: 0.010482624173164368
Total test time: 0.025296925334259868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01484471932053566, model_test_time: 0.010452206013724208
Total test time: 0.0284686756785959 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018046209821477532, model_test_time: 0.010422465857118368
Total test time: 0.02530317474156618 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014828207902610302, model_test_time: 0.01047496683895588
Total test time: 0.0276607908308506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014746799832209945, model_test_time: 0.012913990998640656
Total test time: 0.025417292723432183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014802112942561507, model_test_time: 0.010615179780870676
Total test time: 0.025376927806064487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014872220810502768, model_test_time: 0.010504706995561719
Total test time: 0.025271665304899216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014778051059693098, model_test_time: 0.010493614245206118
Total test time: 0.02523483894765377 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01477804989553988, model_test_time: 0.01045678905211389
Total test time: 0.025422656908631325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014763675164431334, model_test_time: 0.010658981744199991
***2_th repeat
Total test time: 0.028766029980033636 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01464487100020051, model_test_time: 0.014121158979833126
Total test time: 0.025043116183951497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01456882618367672, model_test_time: 0.010474290000274777
Total test time: 0.024843267165124416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014565597055479884, model_test_time: 0.010277670109644532
Total test time: 0.025046556256711483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014620236121118069, model_test_time: 0.010426320135593414
Total test time: 0.02511697355657816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014507210813462734, model_test_time: 0.010609762743115425
Total test time: 0.02489811391569674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014602057868614793, model_test_time: 0.010296056047081947
Total test time: 0.024971709121018648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01455200300551951, model_test_time: 0.010419706115499139
Total test time: 0.024919207440689206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014602734241634607, model_test_time: 0.010316473199054599
Total test time: 0.024854985997080803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014518772950395942, model_test_time: 0.010336213046684861
Total test time: 0.024927124148234725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014592213090509176, model_test_time: 0.010334911057725549
Total test time: 0.024876288836821914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014586379053071141, model_test_time: 0.010289909783750772
Total test time: 0.024866340681910515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014511741697788239, model_test_time: 0.010354598984122276
Total test time: 0.024897488299757242 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014596848282963037, model_test_time: 0.010300640016794205
Total test time: 0.024948897073045373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014563150005415082, model_test_time: 0.010385747067630291
Total test time: 0.025510212872177362 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014507835963740945, model_test_time: 0.011002376908436418
Total test time: 0.025017854059115052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014569503022357821, model_test_time: 0.01044835103675723
Total test time: 0.025097858859226108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014635911909863353, model_test_time: 0.010461946949362755
Total test time: 0.025195725029334426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014585338067263365, model_test_time: 0.010610386962071061
Total test time: 0.0250034814234823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014669455122202635, model_test_time: 0.010334026301279664
Total test time: 0.024942333111539483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014559660106897354, model_test_time: 0.010382673004642129
***3_th repeat
Total test time: 0.02542594028636813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014914721250534058, model_test_time: 0.010511219035834074
Total test time: 0.025431982008740306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01488883513957262, model_test_time: 0.010543146869167686
Total test time: 0.025262133916839957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014706226997077465, model_test_time: 0.010555906919762492
Total test time: 0.025149370776489377 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01476034289225936, model_test_time: 0.010389027884230018
Total test time: 0.025187912862747908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014712372794747353, model_test_time: 0.010475540068000555
Total test time: 0.025164734106510878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014708517119288445, model_test_time: 0.010456216987222433
Total test time: 0.025130410445854068 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014717631507664919, model_test_time: 0.010412778938189149
Total test time: 0.025217289570719004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014716851757839322, model_test_time: 0.010500437812879682
Total test time: 0.02519207913428545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0146976332180202, model_test_time: 0.01049444591626525
Total test time: 0.02528614434413612 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014778155134990811, model_test_time: 0.010507989209145308
Total test time: 0.025232861749827862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014764352701604366, model_test_time: 0.010468509048223495
Total test time: 0.025182289071381092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014747373992577195, model_test_time: 0.010434915078803897
Total test time: 0.0251540569588542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01476404001004994, model_test_time: 0.01039001694880426
Total test time: 0.028581024846062064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018086576834321022, model_test_time: 0.010494448011741042
Total test time: 0.025165879167616367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014745705062523484, model_test_time: 0.010420174105092883
Total test time: 0.025246038334444165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014772790251299739, model_test_time: 0.010473248083144426
Total test time: 0.025341978762298822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01483372994698584, model_test_time: 0.010508248815312982
Total test time: 0.02516520395874977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01472362200729549, model_test_time: 0.010441581951454282
Total test time: 0.025168900843709707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014712373027577996, model_test_time: 0.010456527816131711
Total test time: 0.025161872152239084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01469627907499671, model_test_time: 0.010465593077242374
***4_th repeat
Total test time: 0.025027853902429342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01465565082617104, model_test_time: 0.010372203076258302
Total test time: 0.024893270106986165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014485492138192058, model_test_time: 0.010407777968794107
Total test time: 0.024806859204545617 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014519814169034362, model_test_time: 0.010287045035511255
Total test time: 0.024939520051702857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01444866694509983, model_test_time: 0.010490853106603026
Total test time: 0.02497623930685222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014636120293289423, model_test_time: 0.010340119013562799
Total test time: 0.02489149640314281 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014536376344040036, model_test_time: 0.010355120059102774
Total test time: 0.02487587323412299 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014520179247483611, model_test_time: 0.01035569398663938
Total test time: 0.025066086323931813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014708518283441663, model_test_time: 0.01035756804049015
Total test time: 0.024926653830334544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014511636923998594, model_test_time: 0.01041501690633595
Total test time: 0.02485503815114498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01447554212063551, model_test_time: 0.010379496030509472
Total test time: 0.02488368540070951 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014508929336443543, model_test_time: 0.010374756064265966
Total test time: 0.024805243825539947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014417883707210422, model_test_time: 0.010387360118329525
Total test time: 0.024995564250275493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014576795045286417, model_test_time: 0.010418769204989076
Total test time: 0.024914625333622098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014546172227710485, model_test_time: 0.010368453105911613
Total test time: 0.025128743378445506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014215379022061825, model_test_time: 0.010913364356383681
Total test time: 0.024950041202828288 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014477469027042389, model_test_time: 0.0104725721757859
Total test time: 0.025109837297350168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014670028118416667, model_test_time: 0.010439809178933501
