UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.6196+/-0.0259,train_time: 0.00000+/-0.00000,test_time: 0.30281+/-0.00119), => aucs:0.5980833333333334-0.6126222222222223-0.5996666666666666-0.668922222222222-0.6189444444444445, train_times:0-0-0-0-0, test_times:0.30278244267683474-0.30198278339812534-0.30111761988373476-0.3036876360652968-0.30445902082137766, n_comp: -, -, space_sizes: |model_spaces: 974.41-972.49-975.562-974.794-977.098,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7265+/-0.0323,train_time: 0.00000+/-0.00000,test_time: 0.03332+/-0.00045), => aucs:0.7550000000000001-0.6816666666666666-0.7696222222222223-0.7219333333333335-0.7041666666666664, train_times:0-0-0-0-0, test_times:0.03344571249326691-0.032800622493959965-0.033240589441265914-0.034107331465929744-0.03301356288138777, n_comp: -, -, space_sizes: |model_spaces: 163.997-162.557-163.853-166.061-162.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7541+/-0.0168,train_time: 0.00000+/-0.00000,test_time: 0.03300+/-0.00018), => aucs:0.7550000000000001-0.7216666666666669-0.7635555555555554-0.7688444444444442-0.7616666666666667, train_times:0-0-0-0-0, test_times:0.03316295202821493-0.03286109467735514-0.0331342481309548-0.03269678328651935-0.03312232827302068, n_comp: -, -, space_sizes: |model_spaces: 162.617-162.713-162.713-162.665-162.617,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.8823+/-0.0159,train_time: 0.00000+/-0.00000,test_time: 0.02313+/-0.00263), => aucs:0.8719222222222222-0.8728722222222224-0.9137555555555558-0.8785722222222223-0.8742222222222222, train_times:0-0-0-0-0, test_times:0.024564762448426335-0.026687939045950772-0.019529459450859578-0.02416976016247645-0.020712186419405042, n_comp: -, -, space_sizes: |model_spaces: 46.267-47.259-43.288-45.771-43.784,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9637+/-0.0065,train_time: 0.00000+/-0.00000,test_time: 0.02142+/-0.00165), => aucs:0.9654666666666671-0.9537888888888887-0.9642111111111111-0.9738666666666667-0.9611888888888886, train_times:0-0-0-0-0, test_times:0.022231955523602666-0.02071997307939455-0.020120808633510023-0.019748887163586915-0.024256114091258496, n_comp: -, -, space_sizes: |model_spaces: 44.791-43.796-43.3-43.3-45.783,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.8711+/-0.0248,train_time: 0.00000+/-0.00000,test_time: 0.02165+/-0.00246), => aucs:0.8755888888888889-0.8722833333333332-0.9068055555555553-0.8289833333333332-0.8720555555555555, train_times:0-0-0-0-0, test_times:0.020030905213207006-0.021263693063519894-0.02648070683935657-0.020590826252009718-0.019877653720322998, n_comp: -, -, space_sizes: |model_spaces: 43.288-44.035-47.259-43.536-43.288,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9574+/-0.0080,train_time: 0.00000+/-0.00000,test_time: 0.02626+/-0.00013), => aucs:0.9686111111111115-0.9616000000000001-0.9447888888888892-0.9533444444444443-0.958622222222222, train_times:0-0-0-0-0, test_times:0.026164247922133656-0.026280186453368513-0.026094584818929435-0.026468516141176224-0.026286467525642364, n_comp: -, -, space_sizes: |model_spaces: 47.271-47.271-47.271-47.271-47.271,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6485+/-0.0145,train_time: 0.00000+/-0.00000,test_time: 0.29592+/-0.00047), => aucs:0.6376111111111111-0.6670333333333331-0.6380111111111113-0.665388888888889-0.6346000000000002, train_times:0-0-0-0-0, test_times:0.2963308854144998-0.2963907435769215-0.2951657420839183-0.2956048006308265-0.2961231681169011, n_comp: -, -, space_sizes: |model_spaces: 481.354-481.738-480.97-481.162-480.97,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4949+/-0.0314,train_time: 0.00000+/-0.00000,test_time: 0.03193+/-0.00037), => aucs:0.4889833333333334-0.5407555555555557-0.45066666666666666-0.47671111111111114-0.5172333333333333, train_times:0-0-0-0-0, test_times:0.03211042230250314-0.03170463592978194-0.03183388639008626-0.03145195975666866-0.03252643853193149, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.309-143.261-143.357-143.261,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6513+/-0.0078,train_time: 0.00000+/-0.00000,test_time: 0.03191+/-0.00020), => aucs:0.6487777777777776-0.6593-0.6493777777777777-0.6602111111111112-0.6390444444444443, train_times:0-0-0-0-0, test_times:0.032319576223380865-0.03182260218309239-0.031817802833393215-0.03179253377020359-0.03182024540146813, n_comp: -, -, space_sizes: |model_spaces: 143.369-143.369-143.321-143.321-143.417,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
