UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.6170+/-0.0033,train_time: 0.00000+/-0.00000,test_time: 0.29721+/-0.00124), => aucs:0.6160666666666667-0.6171500000000001-0.6212555555555554-0.6190444444444445-0.6112833333333333, train_times:0-0-0-0-0, test_times:0.29601961018051953-0.2971736247069202-0.2956707248231396-0.29850565432570875-0.298693062691018, n_comp: -, -, space_sizes: |model_spaces: 874.002-876.066-875.034-881.914-881.57,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.5690+/-0.0712,train_time: 0.00000+/-0.00000,test_time: 0.03315+/-0.00051), => aucs:0.4982333333333333-0.6826166666666665-0.5512999999999998-0.6145222222222222-0.49816666666666654, train_times:0-0-0-0-0, test_times:0.033624756964854896-0.03226100982865319-0.03338621115544811-0.032906045019626615-0.03358732882188633, n_comp: -, -, space_sizes: |model_spaces: 158.461-158.461-161.821-160.285-158.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.3982+/-0.0791,train_time: 0.00000+/-0.00000,test_time: 0.03269+/-0.00040), => aucs:0.3944277777777777-0.28086666666666665-0.35426666666666673-0.4495944444444445-0.5117555555555556, train_times:0-0-0-0-0, test_times:0.03310279498109594-0.03323991073993966-0.03238630994455889-0.03241516702109948-0.032284494501072916, n_comp: -, -, space_sizes: |model_spaces: 158.521-158.521-158.665-158.617-158.665,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8362+/-0.0153,train_time: 0.00000+/-0.00000,test_time: 0.01827+/-0.00062), => aucs:0.8498666666666667-0.8492166666666666-0.8397333333333334-0.8340777777777776-0.8079166666666667, train_times:0-0-0-0-0, test_times:0.018645969161298126-0.017977753130253404-0.01931587231811136-0.017653151124250144-0.017770442878827453, n_comp: -, -, space_sizes: |model_spaces: 39.529-38.819-40.057-38.819-38.819,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8859+/-0.0045,train_time: 0.00000+/-0.00000,test_time: 0.01839+/-0.00089), => aucs:0.8894111111111112-0.8928888888888888-0.8810388888888887-0.882688888888889-0.8835444444444445, train_times:0-0-0-0-0, test_times:0.018352909048553558-0.019372003409080206-0.0187968872836791-0.016735707130283117-0.01871053591603413, n_comp: -, -, space_sizes: |model_spaces: 39.189-39.893-39.541-38.391-39.541,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8250+/-0.0299,train_time: 0.00000+/-0.00000,test_time: 0.01914+/-0.00017), => aucs:0.7743333333333333-0.8327277777777778-0.829866666666667-0.8675222222222224-0.8206833333333334, train_times:0-0-0-0-0, test_times:0.01900218951050192-0.01908762927632779-0.019423247233498843-0.018961427791509777-0.019240362197160722, n_comp: -, -, space_sizes: |model_spaces: 40.057-40.057-40.057-40.057-40.057,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8685+/-0.0159,train_time: 0.00000+/-0.00000,test_time: 0.01932+/-0.00011), => aucs:0.8728-0.8702666666666665-0.8944222222222221-0.8579444444444444-0.8471, train_times:0-0-0-0-0, test_times:0.019184884359128775-0.019359904702287167-0.019499054143670945-0.01922259610146284-0.019318223767913877, n_comp: -, -, space_sizes: |model_spaces: 40.069-40.069-40.069-40.069-40.069,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5999+/-0.0111,train_time: 0.00000+/-0.00000,test_time: 0.29553+/-0.01090), => aucs:0.610588888888889-0.5915222222222223-0.582911111111111-0.6032777777777779-0.6111777777777777, train_times:0-0-0-0-0, test_times:0.3042661226936616-0.28196156916674225-0.28241168746026235-0.30477082896977664-0.30425082830479366, n_comp: -, -, space_sizes: |model_spaces: 620.586-623.066-623.562-620.834-620.834,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5413+/-0.0201,train_time: 0.00000+/-0.00000,test_time: 0.03252+/-0.00017), => aucs:0.5453777777777779-0.5338555555555556-0.5070888888888889-0.5540555555555555-0.5659444444444443, train_times:0-0-0-0-0, test_times:0.032801942387595776-0.03232049737125635-0.03246274845441803-0.03259975713444874-0.032431013521272686, n_comp: -, -, space_sizes: |model_spaces: 148.909-148.957-148.909-148.909-148.909,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.6140+/-0.0087,train_time: 0.00000+/-0.00000,test_time: 0.03240+/-0.00012), => aucs:0.6105777777777777-0.6106777777777778-0.6310444444444446-0.606511111111111-0.6111666666666664, train_times:0-0-0-0-0, test_times:0.03253598242299631-0.03228248823434114-0.03253981346497312-0.032292189670261-0.0323385369265452, n_comp: -, -, space_sizes: |model_spaces: 148.873-148.921-148.969-148.969-148.921,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.6972+/-0.0519,train_time: 0.00000+/-0.00000,test_time: 0.01709+/-0.00066), => aucs:0.7578333333333336-0.7472111111111113-0.6437666666666666-0.706088888888889-0.6313222222222221, train_times:0-0-0-0-0, test_times:0.016587073914706707-0.017169922695029528-0.018214619799982755-0.016294019215274604-0.017205337819177657, n_comp: -, -, space_sizes: |model_spaces: 28.779-29.043-29.753-28.779-29.043,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.7117+/-0.0439,train_time: 0.00000+/-0.00000,test_time: 0.01757+/-0.00034), => aucs:0.6916555555555556-0.6848555555555557-0.6904666666666668-0.7994222222222224-0.692011111111111, train_times:0-0-0-0-0, test_times:0.017203564441297205-0.018111663847230376-0.01783564336365089-0.01739635585108772-0.01731730157043785, n_comp: -, -, space_sizes: |model_spaces: 29.055-29.413-29.589-29.231-29.231,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, Nystrom-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, KJL-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.6578+/-0.0903,train_time: 0.00000+/-0.00000,test_time: 0.01744+/-0.00013), => aucs:0.8325888888888888-0.6441222222222224-0.6339111111111111-0.5933333333333334-0.5849555555555557, train_times:0-0-0-0-0, test_times:0.017538854503072798-0.01742030178429559-0.017633315164130182-0.01736737833125517-0.017251911829225718, n_comp: -, -, space_sizes: |model_spaces: 29.043-29.131-29.219-29.131-29.131,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.6855+/-0.0321,train_time: 0.00000+/-0.00000,test_time: 0.01706+/-0.00018), => aucs:0.6276111111111112-0.6940777777777779-0.7183277777777779-0.7097277777777776-0.6777444444444445, train_times:0-0-0-0-0, test_times:0.017113872047048062-0.016992514266166835-0.01739193096291274-0.016886865347623826-0.01690987920155749, n_comp: -, -, space_sizes: |model_spaces: 29.413-29.325-29.325-29.231-29.325,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9977+/-0.0047,train_time: 0.00000+/-0.00000,test_time: 0.38831+/-0.01718), => aucs:1.0-0.9999777777777782-0.9883333333333335-1.0-0.9999666666666664, train_times:0-0-0-0-0, test_times:0.3970864603528753-0.3959888557670638-0.35397546128369867-0.3976308159995824-0.39686704479390755, n_comp: -, -, space_sizes: |model_spaces: 1601.226-1601.226-1601.866-1601.226-1601.226,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
