UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.6196+/-0.0259,train_time: 0.00000+/-0.00000,test_time: 0.04274+/-0.00056), => aucs:0.5980833333333334-0.6126222222222223-0.5996666666666666-0.668922222222222-0.6189444444444445, train_times:0-0-0-0-0, test_times:0.04260984500870109-0.04290302023291588-0.04175074575468898-0.043434294313192366-0.04298612540587783, n_comp: -, -, space_sizes: |model_spaces: 974.41-972.49-975.562-974.794-977.098,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7265+/-0.0323,train_time: 0.00000+/-0.00000,test_time: 0.00554+/-0.00048), => aucs:0.7550000000000001-0.6816666666666666-0.7696222222222223-0.7219333333333331-0.7041666666666664, train_times:0-0-0-0-0, test_times:0.006047490052878857-0.004868762847036123-0.006052239052951336-0.005609643366187811-0.005099386442452669, n_comp: -, -, space_sizes: |model_spaces: 163.997-162.557-163.853-166.061-162.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7541+/-0.0168,train_time: 0.00000+/-0.00000,test_time: 0.00664+/-0.00026), => aucs:0.7550000000000001-0.7216666666666669-0.7635555555555554-0.7688444444444442-0.7616666666666667, train_times:0-0-0-0-0, test_times:0.006919889897108078-0.006464550644159317-0.006970557570457459-0.006475422438234091-0.006357088312506675, n_comp: -, -, space_sizes: |model_spaces: 162.617-162.713-162.713-162.665-162.617,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.8823+/-0.0159,train_time: 0.00000+/-0.00000,test_time: 0.00275+/-0.00032), => aucs:0.8719222222222222-0.8728722222222224-0.9137555555555558-0.8785722222222223-0.8742222222222222, train_times:0-0-0-0-0, test_times:0.0030172335915267467-0.0031574096530675886-0.002281906921416521-0.0028086548671126367-0.0024902788922190667, n_comp: -, -, space_sizes: |model_spaces: 46.267-47.259-43.288-45.771-43.784,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9637+/-0.0065,train_time: 0.00000+/-0.00000,test_time: 0.00251+/-0.00027), => aucs:0.9654666666666671-0.9538333333333331-0.9642111111111111-0.9738222222222221-0.9611888888888886, train_times:0-0-0-0-0, test_times:0.0026960997842252255-0.0023753509856760504-0.002241935580968857-0.0022822920233011245-0.0029305401258170605, n_comp: -, -, space_sizes: |model_spaces: 44.791-43.796-43.3-43.3-45.783,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.8711+/-0.0248,train_time: 0.00000+/-0.00000,test_time: 0.00252+/-0.00036), => aucs:0.8755888888888889-0.8722833333333332-0.9068055555555553-0.8289833333333332-0.8720555555555555, train_times:0-0-0-0-0, test_times:0.002320070099085569-0.0024653248488903045-0.003236456587910652-0.002325273025780916-0.0022638976573944093, n_comp: -, -, space_sizes: |model_spaces: 43.288-44.035-47.259-43.536-43.288,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9574+/-0.0080,train_time: 0.00000+/-0.00000,test_time: 0.00325+/-0.00004), => aucs:0.9686111111111115-0.9616000000000001-0.9447888888888892-0.9533444444444443-0.958622222222222, train_times:0-0-0-0-0, test_times:0.0032930596731603145-0.003207122161984444-0.003218396008014679-0.0032319814898073675-0.003311285562813282, n_comp: -, -, space_sizes: |model_spaces: 47.271-47.271-47.271-47.271-47.271,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6485+/-0.0145,train_time: 0.00000+/-0.00000,test_time: 0.04431+/-0.00025), => aucs:0.6376111111111111-0.6670333333333331-0.6380111111111113-0.665388888888889-0.6346000000000002, train_times:0-0-0-0-0, test_times:0.04442650005221367-0.04435868477448821-0.04416981339454651-0.044675559643656014-0.04393470771610737, n_comp: -, -, space_sizes: |model_spaces: 481.354-481.738-480.97-481.162-480.97,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4949+/-0.0314,train_time: 0.00000+/-0.00000,test_time: 0.00365+/-0.00033), => aucs:0.4889833333333334-0.5407555555555557-0.45066666666666666-0.47671111111111114-0.5172333333333333, train_times:0-0-0-0-0, test_times:0.003535678330808878-0.003343587089329958-0.0038790896534919737-0.003316756058484316-0.004165463987737894, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.309-143.261-143.357-143.261,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
