UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.4942+/-0.0029,train_time: 0.00000+/-0.00000,test_time: 0.04127+/-0.00118), => aucs:0.4919777777777779-0.4920055555555557-0.49615-0.49201666666666666-0.49904444444444457, train_times:0-0-0-0-0, test_times:0.040497448202222584-0.04125525327399373-0.04011113727465272-0.040986562799662354-0.04348404854536057, n_comp: -, -, space_sizes: |model_spaces: 861.962-862.306-861.962-861.274-862.65,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.4652+/-0.0352,train_time: 0.00000+/-0.00000,test_time: 0.00366+/-0.00032), => aucs:0.4560555555555557-0.5160166666666668-0.40705555555555567-0.4734333333333332-0.47348888888888896, train_times:0-0-0-0-0, test_times:0.0038259546272456646-0.004106705356389284-0.003747912123799324-0.003445590939372778-0.003170401696115732, n_comp: -, -, space_sizes: |model_spaces: 158.461-158.461-158.509-158.461-158.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.3783+/-0.0597,train_time: 0.00000+/-0.00000,test_time: 0.00388+/-0.00037), => aucs:0.33631111111111106-0.4102499999999999-0.3052333333333334-0.4756666666666668-0.3642555555555555, train_times:0-0-0-0-0, test_times:0.003858682606369257-0.00406236071139574-0.003859388828277588-0.004387608636170626-0.0032449712976813315, n_comp: -, -, space_sizes: |model_spaces: 158.569-158.569-158.569-158.521-158.521,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8459+/-0.0159,train_time: 0.00000+/-0.00000,test_time: 0.00189+/-0.00003), => aucs:0.8483222222222222-0.8544166666666667-0.8328444444444443-0.8245666666666664-0.8695666666666668, train_times:0-0-0-0-0, test_times:0.0019393984228372573-0.001896941941231489-0.0018645529635250568-0.0018921508453786373-0.0018627661280333995, n_comp: -, -, space_sizes: |model_spaces: 38.541-38.541-38.541-38.541-38.541,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8800+/-0.0076,train_time: 0.00000+/-0.00000,test_time: 0.00189+/-0.00003), => aucs:0.8943999999999999-0.8724388888888891-0.8771833333333333-0.8763555555555558-0.8798, train_times:0-0-0-0-0, test_times:0.001931180525571108-0.0018903022632002831-0.001865049172192812-0.0019008352421224118-0.0018537402153015136, n_comp: -, -, space_sizes: |model_spaces: 38.553-38.553-38.553-38.553-38.553,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8197+/-0.0248,train_time: 0.00000+/-0.00000,test_time: 0.00298+/-0.00003), => aucs:0.7707499999999999-0.8326777777777778-0.8311444444444444-0.8257222222222221-0.8380555555555557, train_times:0-0-0-0-0, test_times:0.0030121082440018655-0.0030021077021956445-0.0029588541015982627-0.00296621210873127-0.002944847475737333, n_comp: -, -, space_sizes: |model_spaces: 43.259-43.259-43.259-43.259-43.259,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8332+/-0.0301,train_time: 0.00000+/-0.00000,test_time: 0.00309+/-0.00003), => aucs:0.8062666666666665-0.8250388888888891-0.8721555555555554-0.8644222222222222-0.7980000000000002, train_times:0-0-0-0-0, test_times:0.0031405631452798843-0.00308965714648366-0.0030694288201630116-0.0031184891238808634-0.0030558112077414988, n_comp: -, -, space_sizes: |model_spaces: 43.271-43.271-43.271-43.271-43.271,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.3313+/-0.0021,train_time: 0.00000+/-0.00000,test_time: 0.04579+/-0.00030), => aucs:0.3304555555555556-0.3310444444444444-0.33481111111111106-0.33186666666666664-0.3282, train_times:0-0-0-0-0, test_times:0.04544757818803191-0.04600804578512907-0.045700375083833934-0.045532828010618684-0.046240828931331635, n_comp: -, -, space_sizes: |model_spaces: 621.082-621.082-621.578-621.33-622.074,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.3746+/-0.0201,train_time: 0.00000+/-0.00000,test_time: 0.00358+/-0.00026), => aucs:0.3694666666666667-0.38468888888888875-0.4083444444444444-0.3528666666666666-0.3576777777777778, train_times:0-0-0-0-0, test_times:0.004088978841900825-0.0034446231089532374-0.0035284804180264473-0.003400731086730957-0.0034122316166758536, n_comp: -, -, space_sizes: |model_spaces: 148.909-148.909-148.957-148.909-148.909,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
