UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.6170+/-0.0033,train_time: 0.00000+/-0.00000,test_time: 0.04337+/-0.00159), => aucs:0.6160666666666667-0.6171500000000001-0.6212555555555554-0.6190444444444445-0.6112833333333333, train_times:0-0-0-0-0, test_times:0.04237304516136646-0.042333622183650735-0.042257966659963134-0.04642582917585969-0.043452147580683234, n_comp: -, -, space_sizes: |model_spaces: 874.002-876.066-875.034-881.914-881.57,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.5690+/-0.0712,train_time: 0.00000+/-0.00000,test_time: 0.00352+/-0.00012), => aucs:0.4982333333333333-0.6826166666666665-0.5512999999999998-0.6145222222222222-0.49816666666666654, train_times:0-0-0-0-0, test_times:0.0035075721330940723-0.0034127984195947646-0.003485993016511202-0.003746944107115269-0.0034467593766748907, n_comp: -, -, space_sizes: |model_spaces: 158.461-158.461-161.821-160.285-158.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.3982+/-0.0791,train_time: 0.00000+/-0.00000,test_time: 0.00383+/-0.00033), => aucs:0.3944277777777777-0.28086666666666665-0.35426666666666673-0.4495944444444445-0.5117555555555556, train_times:0-0-0-0-0, test_times:0.003807633835822344-0.0033112325705587863-0.003654238395392895-0.004153450392186642-0.00420890636742115, n_comp: -, -, space_sizes: |model_spaces: 158.521-158.521-158.665-158.617-158.665,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8313+/-0.0418,train_time: 0.00000+/-0.00000,test_time: 0.00209+/-0.00039), => aucs:0.8206944444444446-0.8776611111111112-0.7559888888888888-0.8496555555555556-0.8524333333333335, train_times:0-0-0-0-0, test_times:0.0019443705677986145-0.0018777976743876933-0.0028779731132090093-0.0018868332728743554-0.0018641170114278792, n_comp: -, -, space_sizes: |model_spaces: 38.541-38.541-42.763-38.541-38.541,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8897+/-0.0068,train_time: 0.00000+/-0.00000,test_time: 0.00226+/-0.00021), => aucs:0.8911222222222221-0.8948-0.8777277777777778-0.8970499999999999-0.8878333333333334, train_times:0-0-0-0-0, test_times:0.0022545399144291876-0.0024378219619393348-0.002426103502511978-0.0018734504468739034-0.002304118499159813, n_comp: -, -, space_sizes: |model_spaces: 39.796-40.791-40.791-38.553-40.295,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8006+/-0.0457,train_time: 0.00000+/-0.00000,test_time: 0.00299+/-0.00003), => aucs:0.8462166666666666-0.8403055555555555-0.7582888888888888-0.7340333333333332-0.8239333333333333, train_times:0-0-0-0-0, test_times:0.003040067758411169-0.0029701254330575465-0.0029607879929244517-0.003022566810250282-0.00296357199549675, n_comp: -, -, space_sizes: |model_spaces: 43.259-43.259-43.259-43.259-43.259,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8758+/-0.0142,train_time: 0.00000+/-0.00000,test_time: 0.00303+/-0.00003), => aucs:0.8955666666666667-0.8849000000000002-0.854727777777778-0.8772722222222222-0.8665888888888886, train_times:0-0-0-0-0, test_times:0.003062297496944666-0.0030075161717832088-0.0029961620457470417-0.003053733240813017-0.0030079171992838383, n_comp: -, -, space_sizes: |model_spaces: 43.271-43.271-43.271-43.271-43.271,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5999+/-0.0111,train_time: 0.00000+/-0.00000,test_time: 0.04528+/-0.00112), => aucs:0.610588888888889-0.5915222222222223-0.582911111111111-0.6032777777777779-0.6111777777777777, train_times:0-0-0-0-0, test_times:0.046384239196777345-0.0438514125533402-0.0440415782853961-0.0463949833996594-0.045728619955480096, n_comp: -, -, space_sizes: |model_spaces: 620.586-623.066-623.562-620.834-620.834,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5413+/-0.0201,train_time: 0.00000+/-0.00000,test_time: 0.00337+/-0.00013), => aucs:0.5453777777777779-0.5338555555555556-0.5070888888888889-0.5540555555555555-0.5659444444444443, train_times:0-0-0-0-0, test_times:0.0035716390237212183-0.0034663310274481774-0.0032571635209023954-0.003264803532510996-0.0032666862942278387, n_comp: -, -, space_sizes: |model_spaces: 148.909-148.957-148.909-148.909-148.909,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.6140+/-0.0087,train_time: 0.00000+/-0.00000,test_time: 0.00342+/-0.00009), => aucs:0.6105777777777777-0.6106777777777778-0.6310444444444446-0.606511111111111-0.6111666666666664, train_times:0-0-0-0-0, test_times:0.0035347163677215574-0.0035342331044375896-0.0033375555649399757-0.0033352860249578954-0.003365888260304928, n_comp: -, -, space_sizes: |model_spaces: 148.873-148.921-148.969-148.969-148.921,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5852+/-0.0613,train_time: 0.00000+/-0.00000,test_time: 0.00276+/-0.00043), => aucs:0.5556222222222222-0.7064888888888887-0.5640333333333332-0.561-0.5388777777777778, train_times:0-0-0-0-0, test_times:0.002067216020077467-0.003200558852404356-0.003041351679712534-0.0030459733679890633-0.002466562669724226, n_comp: -, -, space_sizes: |model_spaces: 28.941-33.659-33.163-32.667-30.683,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.6250+/-0.0199,train_time: 0.00000+/-0.00000,test_time: 0.00279+/-0.00040), => aucs:0.6482333333333334-0.6323666666666666-0.5886666666666667-0.632461111111111-0.6234555555555554, train_times:0-0-0-0-0, test_times:0.0031983919441699983-0.003173549845814705-0.0020916007459163668-0.0027040556073188783-0.002773838397115469, n_comp: -, -, space_sizes: |model_spaces: 32.679-33.175-28.953-31.687-31.687,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
