UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.6196+/-0.0259,train_time: 0.00000+/-0.00000,test_time: 0.42493+/-0.00095), => aucs:0.5980833333333334-0.6126222222222223-0.5996666666666666-0.668922222222222-0.6189444444444445, train_times:0-0-0-0-0, test_times:0.4245926111470908-0.4236778681632131-0.42628654969157653-0.4243570724851452-0.4257405967684463, n_comp: -, -, space_sizes: |model_spaces: 974.41-972.49-975.562-974.794-977.098,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7265+/-0.0323,train_time: 0.00000+/-0.00000,test_time: 0.06006+/-0.00051), => aucs:0.7550000000000001-0.6816666666666666-0.7696222222222223-0.7219333333333335-0.7041666666666664, train_times:0-0-0-0-0, test_times:0.060270535468589514-0.05957315540872514-0.060010977438651025-0.06091416320996359-0.0595097592798993, n_comp: -, -, space_sizes: |model_spaces: 163.997-162.557-163.853-166.061-162.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7541+/-0.0168,train_time: 0.00000+/-0.00000,test_time: 0.05948+/-0.00015), => aucs:0.7550000000000001-0.7216666666666669-0.7635555555555554-0.7688444444444442-0.7616666666666667, train_times:0-0-0-0-0, test_times:0.059329438605345786-0.05965357393724844-0.05954702837625518-0.059596495202276854-0.05928524695336819, n_comp: -, -, space_sizes: |model_spaces: 162.617-162.713-162.713-162.665-162.617,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9306+/-0.0140,train_time: 0.00000+/-0.00000,test_time: 0.01654+/-0.00050), => aucs:0.9427444444444444-0.9069499999999998-0.9457388888888891-0.924561111111111-0.9329611111111111, train_times:0-0-0-0-0, test_times:0.01734215156175196-0.016790184704586864-0.016519663704093544-0.015989351202733815-0.016040597739629448, n_comp: -, -, space_sizes: |model_spaces: 44.057-43.881-43.705-43.353-43.177,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9322+/-0.0359,train_time: 0.00000+/-0.00000,test_time: 0.01630+/-0.00043), => aucs:0.9592666666666669-0.9523888888888893-0.9179388888888887-0.8680666666666668-0.9634666666666665, train_times:0-0-0-0-0, test_times:0.01625397375319153-0.01613458456704393-0.016661991353612394-0.015595348621718585-0.016835900640580805, n_comp: -, -, space_sizes: |model_spaces: 42.831-42.831-43.893-42.655-43.717,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9099+/-0.0272,train_time: 0.00000+/-0.00000,test_time: 0.01544+/-0.00031), => aucs:0.8837222222222222-0.9278333333333333-0.8723888888888889-0.9434777777777775-0.9221499999999997, train_times:0-0-0-0-0, test_times:0.015719708648975938-0.015598607249557972-0.014844166289549321-0.015595906600356101-0.015431105461902916, n_comp: -, -, space_sizes: |model_spaces: 42.643-42.643-42.819-42.643-42.731,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9210+/-0.0241,train_time: 0.00000+/-0.00000,test_time: 0.01719+/-0.00012), => aucs:0.930211111111111-0.882-0.9563888888888888-0.9224444444444446-0.9139333333333333, train_times:0-0-0-0-0, test_times:0.01733736030291766-0.017187359370291234-0.017036986886523664-0.017327569506596772-0.017082704475615173, n_comp: -, -, space_sizes: |model_spaces: 44.069-44.069-44.069-44.069-44.069,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6485+/-0.0145,train_time: 0.00000+/-0.00000,test_time: 0.38232+/-0.01165), => aucs:0.6376111111111111-0.6670333333333331-0.6380111111111113-0.665388888888889-0.6346000000000002, train_times:0-0-0-0-0, test_times:0.38536941988859325-0.4038829983328469-0.37342580570839345-0.37346389413578435-0.3754476973437704, n_comp: -, -, space_sizes: |model_spaces: 481.354-481.738-480.97-481.162-480.97,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4949+/-0.0314,train_time: 0.00000+/-0.00000,test_time: 0.05833+/-0.00041), => aucs:0.4889833333333334-0.5407555555555557-0.45066666666666666-0.47671111111111114-0.5172333333333333, train_times:0-0-0-0-0, test_times:0.05834783687023446-0.057880018942523745-0.05872693898854777-0.057848504814319315-0.058840859436895696, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.309-143.261-143.357-143.261,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6513+/-0.0078,train_time: 0.00000+/-0.00000,test_time: 0.05744+/-0.00018), => aucs:0.6487777777777776-0.6593-0.6493777777777777-0.6602111111111112-0.6390444444444443, train_times:0-0-0-0-0, test_times:0.05775871045188978-0.057513091817963866-0.05738500149454921-0.05730841491604224-0.05724522481905296, n_comp: -, -, space_sizes: |model_spaces: 143.369-143.369-143.321-143.321-143.417,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.8031+/-0.0293,train_time: 0.00000+/-0.00000,test_time: 0.01522+/-0.00030), => aucs:0.8036055555555557-0.8110222222222223-0.8339666666666666-0.8187833333333335-0.7480055555555556, train_times:0-0-0-0-0, test_times:0.01488051803316921-0.01509178028209135-0.015772188501432537-0.015263823710847646-0.015069332986604423, n_comp: -, -, space_sizes: |model_spaces: 23.443-23.619-24.505-23.801-23.619,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.8291+/-0.0849,train_time: 0.00000+/-0.00000,test_time: 0.01539+/-0.00054), => aucs:0.886266666666667-0.8623222222222221-0.6600000000000001-0.8673777777777779-0.8695055555555555, train_times:0-0-0-0-0, test_times:0.015080166561529041-0.016300613153725864-0.014729591726791114-0.015215810330118984-0.015609005198348314, n_comp: -, -, space_sizes: |model_spaces: 23.455-24.517-24.165-23.813-24.165,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, Nystrom-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, KJL-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6780+/-0.0196,train_time: 0.00000+/-0.00000,test_time: 0.01580+/-0.00055), => aucs:0.707627777777778-0.6908388888888889-0.6516666666666667-0.6753888888888889-0.6645666666666669, train_times:0-0-0-0-0, test_times:0.016299661388620733-0.014811286411713809-0.01587661721277982-0.01632516543613747-0.01568579028826207, n_comp: -, -, space_sizes: |model_spaces: 24.593-23.977-24.417-24.681-24.153,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.7587+/-0.0251,train_time: 0.00000+/-0.00000,test_time: 0.01611+/-0.00021), => aucs:0.7395111111111111-0.7404888888888889-0.8064611111111113-0.7614166666666667-0.7457388888888888, train_times:0-0-0-0-0, test_times:0.016301457781810313-0.0162224976811558-0.01628812700510025-0.015747587324585765-0.01600621090037748, n_comp: -, -, space_sizes: |model_spaces: 24.517-24.605-24.605-24.341-24.341,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.9909+/-0.0029,train_time: 0.00000+/-0.00000,test_time: 0.47764+/-0.00150), => aucs:0.9921444444444445-0.9938555555555555-0.9887111111111112-0.9864444444444445-0.9934666666666667, train_times:0-0-0-0-0, test_times:0.47802908725570886-0.47632810726063324-0.48035057133529335-0.4772443347494118-0.4762621860252693, n_comp: -, -, space_sizes: |model_spaces: 2441.562-2441.562-2442.538-2455.226-2440.586,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
