UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.4942+/-0.0029,train_time: 0.00000+/-0.00000,test_time: 0.40969+/-0.00192), => aucs:0.49197777777777796-0.4920055555555556-0.49615-0.49201666666666666-0.49904444444444457, train_times:0-0-0-0-0, test_times:0.40807688448112456-0.41330376436235383-0.4082433960051276-0.40895040169125424-0.40989581764442845, n_comp: -, -, space_sizes: |model_spaces: 861.962-862.306-861.962-861.274-862.65,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.4652+/-0.0352,train_time: 0.00000+/-0.00000,test_time: 0.05879+/-0.00007), => aucs:0.4560555555555557-0.5160166666666668-0.40705555555555567-0.4734333333333332-0.47348888888888896, train_times:0-0-0-0-0, test_times:0.05880481586791575-0.058913372678216544-0.058718111144844445-0.058760970353614536-0.058766552538145334, n_comp: -, -, space_sizes: |model_spaces: 158.461-158.461-158.509-158.461-158.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.3783+/-0.0597,train_time: 0.00000+/-0.00000,test_time: 0.05883+/-0.00008), => aucs:0.33631111111111106-0.4102499999999999-0.3052333333333334-0.4756666666666668-0.3642555555555555, train_times:0-0-0-0-0, test_times:0.05895698482636362-0.05886294898809865-0.05884676217101514-0.058720178762450816-0.05877052476862445, n_comp: -, -, space_sizes: |model_spaces: 158.569-158.569-158.569-158.521-158.521,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8459+/-0.0159,train_time: 0.00000+/-0.00000,test_time: 0.01518+/-0.00004), => aucs:0.8483222222222222-0.8544166666666667-0.8328444444444443-0.8245666666666664-0.8695666666666668, train_times:0-0-0-0-0, test_times:0.015175942960195244-0.015197494998574257-0.015157647000160068-0.015117257239762694-0.015251260448712856, n_comp: -, -, space_sizes: |model_spaces: 38.541-38.541-38.541-38.541-38.541,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8800+/-0.0076,train_time: 0.00000+/-0.00000,test_time: 0.01524+/-0.00008), => aucs:0.8943999999999999-0.8724388888888891-0.8771833333333333-0.8763555555555558-0.8798, train_times:0-0-0-0-0, test_times:0.01528374970657751-0.015231457294430584-0.015285249939188362-0.015104411111678928-0.015317404374945909, n_comp: -, -, space_sizes: |model_spaces: 38.553-38.553-38.553-38.553-38.553,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8197+/-0.0248,train_time: 0.00000+/-0.00000,test_time: 0.02176+/-0.00008), => aucs:0.7707499999999999-0.8326777777777778-0.8311444444444444-0.8257222222222221-0.8380555555555557, train_times:0-0-0-0-0, test_times:0.02186874863691628-0.021816449670586734-0.02174658253788948-0.021650198090355843-0.021711258182767777, n_comp: -, -, space_sizes: |model_spaces: 43.259-43.259-43.259-43.259-43.259,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8332+/-0.0301,train_time: 0.00000+/-0.00000,test_time: 0.02182+/-0.00005), => aucs:0.8062666666666665-0.8250388888888891-0.8721555555555554-0.8644222222222222-0.7980000000000002, train_times:0-0-0-0-0, test_times:0.02182594498153776-0.021894486015662552-0.021764732617884874-0.021761387900914995-0.021834883687552063, n_comp: -, -, space_sizes: |model_spaces: 43.271-43.271-43.271-43.271-43.271,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.3313+/-0.0021,train_time: 0.00000+/-0.00000,test_time: 0.40636+/-0.00048), => aucs:0.3304555555555556-0.3310444444444444-0.33481111111111106-0.33186666666666664-0.3282, train_times:0-0-0-0-0, test_times:0.40670981279108676-0.4068566128495149-0.4060552757466212-0.4055726908729412-0.406591873371508, n_comp: -, -, space_sizes: |model_spaces: 621.082-621.082-621.578-621.33-622.074,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.3746+/-0.0201,train_time: 0.00000+/-0.00000,test_time: 0.05917+/-0.00004), => aucs:0.3694666666666667-0.38468888888888875-0.4083444444444444-0.3528666666666666-0.3576777777777778, train_times:0-0-0-0-0, test_times:0.05916196936741471-0.05917087579146028-0.05917280063731596-0.059093746333383025-0.059225764649454504, n_comp: -, -, space_sizes: |model_spaces: 148.909-148.909-148.957-148.909-148.909,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.3952+/-0.0173,train_time: 0.00000+/-0.00000,test_time: 0.05922+/-0.00003), => aucs:0.38115555555555564-0.3842666666666667-0.3890555555555555-0.4289111111111111-0.39244444444444443, train_times:0-0-0-0-0, test_times:0.05923802794422954-0.05923335098195821-0.05924640151206404-0.05917173732304946-0.05921599265420809, n_comp: -, -, space_sizes: |model_spaces: 148.873-148.921-148.969-148.921-148.921,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.4844+/-0.0357,train_time: 0.00000+/-0.00000,test_time: 0.01500+/-0.00002), => aucs:0.5435444444444444-0.5055444444444444-0.44624444444444433-0.4698888888888889-0.4566555555555555, train_times:0-0-0-0-0, test_times:0.015037987485993654-0.01499913486186415-0.015011202206369489-0.014971118816174567-0.014983873430173844, n_comp: -, -, space_sizes: |model_spaces: 28.941-28.941-28.941-28.941-28.941,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
