CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,10000|1250|5000,23,9.52518|1.36109,0.00000|0.00000,0.16985|0.00966,0.57943|0.02735,0.93250|0.08389,0.56733|0.01045
CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,10000|1250|5000,23,7.35491|0.26500,0.00000|0.00000,0.16966|0.01618,0.67858|0.01831,0.83271|0.05056,0.66048|0.01759
CTU1,IAT+SIZE,header_False,GMM(full),tuning_False,IAT+SIZE,header_False,GMM(full),tuning_False,10000|1250|5000,23,0.02737|0.00962,0.00000|0.00000,0.00099|0.00026,0.73933|0.01160,0.00132|0.00021,0.73957|0.01139
CTU1,IAT+SIZE,header_False,GMM(full),tuning_True,IAT+SIZE,header_False,GMM(full),tuning_True,10000|1250|5000,23,0.44714|0.26319,0.00000|0.00000,0.00255|0.00091,0.78064|0.00686,0.00839|0.00415,0.78969|0.01047
CTU1,IAT+SIZE,header_False,GMM(diag),tuning_False,IAT+SIZE,header_False,GMM(diag),tuning_False,10000|1250|5000,23,0.03122|0.03369,0.00000|0.00000,0.00088|0.00085,0.71266|0.01733,0.00326|0.00330,0.70629|0.01519
CTU1,IAT+SIZE,header_False,GMM(diag),tuning_True,IAT+SIZE,header_False,GMM(diag),tuning_True,10000|1250|5000,23,0.15697|0.05174,0.00000|0.00000,0.00115|0.00031,0.88668|0.01358,0.00344|0.00145,0.88771|0.01445
CTU1,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,10000|1250|5000,23,3.94839|0.78736,0.00000|0.00000,0.00751|0.00451,0.40548|0.04112,0.01493|0.00267,0.39026|0.02814
CTU1,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,10000|1250|5000,23,3.34979|0.30875,0.00000|0.00000,0.00606|0.00255,0.72560|0.03994,0.02475|0.00293,0.74836|0.02437
CTU1,IAT+SIZE,header_False,KJL-GMM(diag),tuning_False,IAT+SIZE,header_False,KJL-GMM(diag),tuning_False,10000|1250|5000,23,3.07146|0.29175,0.00000|0.00000,0.00447|0.00044,0.35516|0.12158,0.00932|0.00187,0.34320|0.12635
CTU1,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,10000|1250|5000,23,3.12001|0.23013,0.00000|0.00000,0.00379|0.00131,0.78838|0.02891,0.01357|0.00120,0.78830|0.03630
