UNB3_345,IAT+SIZE,header_False,KDE,tuning_True,,0_0|0_0|0_0,
UNB3_345,IAT+SIZE,header_False,KDE,tuning_False,,0_0|0_0|0_0,
CTU1,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,10000|1250|5000,23,0.06406|0.01832,0.00000|0.00000,1.16883|0.07332,0.48317|0.01142,5.57298|1.13822,0.48327|0.00400
CTU1,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,10000|1250|5000,23,0.07114|0.02414,0.00000|0.00000,1.51107|0.33404,0.45445|0.01119,5.96100|0.33631,0.45318|0.00043
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,5720|1040|4160,121,0.05941|0.00735,0.00000|0.00000,2.44586|0.94985,0.99582|0.00194,9.39482|2.43335,0.99601|0.00094
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,5720|1040|4160,121,0.06109|0.01237,0.00000|0.00000,1.49238|0.32041,0.99498|0.00226,4.76993|0.44632,0.99536|0.00120
MACCDC1,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,10000|1250|5000,25,0.07259|0.00602,0.00000|0.00000,1.45089|0.13796,0.78640|0.00891,5.73959|0.25541,0.78522|0.01216
MACCDC1,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,10000|1250|5000,25,0.07114|0.00600,0.00000|0.00000,1.46632|0.13667,0.73111|0.00841,5.86701|0.56282,0.72249|0.00099
SFRIG1_2021,IAT+SIZE,header_False,KDE,tuning_True,,0_0|0_0|0_0,
SFRIG1_2021,IAT+SIZE,header_False,KDE,tuning_False,,0_0|0_0|0_0,
AECHO1_2020,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,10000|280|1120,35,0.10043|0.00724,0.00000|0.00000,0.42781|0.02626,0.78282|0.03263,1.70487|0.06274,0.78886|0.00026
AECHO1_2020,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,10000|280|1120,35,0.10109|0.01106,0.00000|0.00000,0.44313|0.01295,0.74938|0.03779,1.72932|0.02876,0.76090|0.00006
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,10000|508|2032,29,0.05512|0.00567,0.00000|0.00000,0.38386|0.04242,0.91749|0.00619,1.68990|0.17522,0.90723|0.00081
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,10000|508|2032,29,0.05880|0.00959,0.00000|0.00000,0.58934|0.04661,0.81994|0.00634,2.43148|0.03148,0.81233|0.00121
