UNB3_345,IAT+SIZE,header_False,KDE,tuning_True,,0_0|0_0|0_0,
UNB3_345,IAT+SIZE,header_False,KDE,tuning_False,,0_0|0_0|0_0,
CTU1,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,10000|1250|5000,23,0.05731|0.01376,0.00000|0.00000,1.22901|0.08834,0.48317|0.01142,4.84848|0.45647,0.48327|0.00400
CTU1,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,10000|1250|5000,23,0.10156|0.06123,0.00000|0.00000,3.08941|2.79888,0.45445|0.01119,7.69110|1.66686,0.45318|0.00043
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,5720|1040|4160,121,0.08171|0.03983,0.00000|0.00000,2.73510|0.92428,0.99582|0.00194,9.79191|3.63393,0.99601|0.00094
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,5720|1040|4160,121,0.06271|0.02079,0.00000|0.00000,1.25816|0.15081,0.99498|0.00226,5.05928|0.60302,0.99536|0.00120
MACCDC1,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,10000|1250|5000,25,0.07483|0.00714,0.00000|0.00000,1.65629|0.33331,0.78640|0.00891,6.15933|0.64955,0.78522|0.01216
MACCDC1,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,10000|1250|5000,25,0.06619|0.00754,0.00000|0.00000,1.40958|0.05627,0.73111|0.00841,5.39775|0.13248,0.72249|0.00099
SFRIG1_2021,IAT+SIZE,header_False,KDE,tuning_True,,0_0|0_0|0_0,
SFRIG1_2021,IAT+SIZE,header_False,KDE,tuning_False,,0_0|0_0|0_0,
AECHO1_2020,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,10000|280|1120,35,0.09050|0.00729,0.00000|0.00000,0.39770|0.01057,0.78282|0.03263,1.62282|0.01108,0.78886|0.00026
AECHO1_2020,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,10000|280|1120,35,0.09632|0.01327,0.00000|0.00000,0.40665|0.01752,0.74938|0.03779,1.62656|0.01479,0.76090|0.00006
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,10000|508|2032,29,0.06344|0.01898,0.00000|0.00000,0.40439|0.07170,0.91749|0.00619,1.55161|0.16028,0.90723|0.00081
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,10000|508|2032,29,0.05630|0.00868,0.00000|0.00000,0.58393|0.02573,0.81994|0.00634,2.41783|0.13950,0.81233|0.00121
