UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
0,0,0,0,0,0,0,0,70.83 +/- 1.05,1.07 +/- 0.02,0.70 +/- 0.01,0.14 +/- 0.00,0.84 +/- 0.01,1.18 +/- 0.02,0.50 +/- 0.01,0.49 +/- 0.01,466.00 +/- 62.32,3.82 +/- 0.51,3.52 +/- 0.47,20.42 +/- 2.73,6.40 +/- 0.86,5.09 +/- 0.68,3.25 +/- 0.43,3.32 +/- 0.44,161.67 +/- 22.83,0.76 +/- 0.11,0.61 +/- 0.09,0.24 +/- 0.03,1.27 +/- 0.18,1.57 +/- 0.22,0.62 +/- 0.09,1.16 +/- 0.16,0,0,0,0,0,0,0,0,118.07 +/- 26.13,1.64 +/- 0.36,1.66 +/- 0.37,8.04 +/- 1.78,2.12 +/- 0.47,2.88 +/- 0.64,0.98 +/- 0.22,0.86 +/- 0.19,104.94 +/- 21.17,0.95 +/- 0.19,0.97 +/- 0.20,0.55 +/- 0.11,0.81 +/- 0.16,0.74 +/- 0.15,0.42 +/- 0.08,0.39 +/- 0.08
0,0,0,0,0,0,0,0,18.82 +/- 1.13,6.30 +/- 0.38,7.63 +/- 0.46,65.61 +/- 3.94,30.49 +/- 1.83,34.06 +/- 2.04,42.56 +/- 2.55,36.96 +/- 2.22,17.68 +/- 1.40,8.08 +/- 0.64,8.22 +/- 0.65,27.10 +/- 2.15,41.90 +/- 3.32,49.15 +/- 3.89,51.33 +/- 4.06,51.94 +/- 4.11,15.70 +/- 0.17,7.97 +/- 0.08,8.02 +/- 0.08,69.23 +/- 0.73,49.39 +/- 0.52,56.16 +/- 0.59,52.56 +/- 0.56,51.72 +/- 0.55,0,0,0,0,0,0,0,0,8.70 +/- 0.13,10.25 +/- 0.16,5.47 +/- 0.08,14.10 +/- 0.22,25.42 +/- 0.39,25.74 +/- 0.40,29.42 +/- 0.45,9.85 +/- 0.15,9.34 +/- 0.55,8.94 +/- 0.52,8.60 +/- 0.50,46.71 +/- 2.73,33.52 +/- 1.96,32.89 +/- 1.92,34.15 +/- 2.00,35.01 +/- 2.05
0,0,0,0,0,0,0,0,0.66 +/- 0.02,0.77 +/- 0.07,0.99 +/- 0.00,1.20 +/- 0.02,1.13 +/- 0.04,1.19 +/- 0.03,1.05 +/- 0.03,1.13 +/- 0.03,1.00 +/- 0.00,0.98 +/- 0.01,1.00 +/- 0.00,1.00 +/- 0.00,0.99 +/- 0.01,0.99 +/- 0.00,0.97 +/- 0.02,0.97 +/- 0.01,0.85 +/- 0.00,0.88 +/- 0.08,0.99 +/- 0.03,1.09 +/- 0.02,1.08 +/- 0.01,1.07 +/- 0.03,1.03 +/- 0.01,1.06 +/- 0.02,0,0,0,0,0,0,0,0,0.90 +/- 0.00,0.81 +/- 0.02,0.87 +/- 0.01,1.08 +/- 0.01,1.08 +/- 0.00,1.09 +/- 0.00,1.07 +/- 0.00,1.09 +/- 0.01,0.93 +/- 0.00,0.84 +/- 0.02,0.91 +/- 0.01,0.98 +/- 0.01,0.99 +/- 0.00,0.99 +/- 0.01,0.99 +/- 0.00,0.98 +/- 0.01
0,0,0,0,0,0,0,0,961.52 +/- 0.75,3.65 +/- 0.00,3.65 +/- 0.00,19.93 +/- 0.02,35.12 +/- 0.03,36.55 +/- 0.03,36.30 +/- 0.03,35.35 +/- 0.03,4880.71 +/- 0.00,14.28 +/- 0.00,14.28 +/- 0.00,5.58 +/- 0.00,46.14 +/- 0.00,47.13 +/- 0.00,47.61 +/- 0.00,47.61 +/- 0.00,1042.92 +/- 0.45,3.93 +/- 0.00,3.94 +/- 0.00,13.27 +/- 0.01,36.74 +/- 0.02,37.98 +/- 0.02,38.21 +/- 0.02,37.98 +/- 0.02,0,0,0,0,0,0,0,0,1441.75 +/- 0.14,5.28 +/- 0.00,5.28 +/- 0.00,8.69 +/- 0.00,39.20 +/- 0.00,39.50 +/- 0.00,40.73 +/- 0.00,40.66 +/- 0.00,1201.96 +/- 0.28,4.48 +/- 0.00,4.48 +/- 0.00,18.62 +/- 0.00,36.90 +/- 0.01,36.65 +/- 0.01,37.23 +/- 0.01,37.85 +/- 0.01
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag)
0,0,0,0,0,0,0,0,70.83 +/- 1.05,1.07 +/- 0.02,0.70 +/- 0.01,0.50 +/- 0.01,0.98 +/- 0.01,1.05 +/- 0.02,0.49 +/- 0.01,0.49 +/- 0.01,466.00 +/- 62.32,3.82 +/- 0.51,3.52 +/- 0.47,185.10 +/- 24.75,5.70 +/- 0.76,5.29 +/- 0.71,3.41 +/- 0.46,2.44 +/- 0.33,161.67 +/- 22.83,0.76 +/- 0.11,0.61 +/- 0.09,0.98 +/- 0.14,1.21 +/- 0.17,1.62 +/- 0.23,0.62 +/- 0.09,1.13 +/- 0.16,0,0,0,0,0,0,0,0,118.07 +/- 26.13,1.64 +/- 0.36,1.66 +/- 0.37,64.22 +/- 14.21,3.02 +/- 0.67,2.21 +/- 0.49,0.99 +/- 0.22,0.81 +/- 0.18,104.94 +/- 21.17,0.95 +/- 0.19,0.97 +/- 0.20,0.96 +/- 0.19,0.86 +/- 0.17,0.85 +/- 0.17,0.41 +/- 0.08,0.43 +/- 0.09
0,0,0,0,0,0,0,0,18.82 +/- 1.13,6.30 +/- 0.38,7.63 +/- 0.46,396.72 +/- 23.80,42.76 +/- 2.56,38.54 +/- 2.31,55.16 +/- 3.31,50.97 +/- 3.06,17.68 +/- 1.40,8.08 +/- 0.64,8.22 +/- 0.65,585.01 +/- 46.31,55.95 +/- 4.43,52.55 +/- 4.16,54.22 +/- 4.29,54.18 +/- 4.29,15.70 +/- 0.17,7.97 +/- 0.08,8.02 +/- 0.08,376.47 +/- 3.98,74.80 +/- 0.79,82.97 +/- 0.88,76.04 +/- 0.80,76.19 +/- 0.81,0,0,0,0,0,0,0,0,8.70 +/- 0.13,10.25 +/- 0.16,5.47 +/- 0.08,166.49 +/- 2.56,36.41 +/- 0.56,32.65 +/- 0.50,31.10 +/- 0.48,18.73 +/- 0.29,9.34 +/- 0.55,8.94 +/- 0.52,8.60 +/- 0.50,167.46 +/- 9.80,48.94 +/- 2.86,47.57 +/- 2.78,47.51 +/- 2.78,47.95 +/- 2.81
