CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,10000|1250|5000,23,7.08315|0.10454,0.00000|0.00000,0.17051|0.01431,0.67858|0.01831,0.80605|0.06540,0.66048|0.01759
CTU1,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,10000|1250|5000,23,6.62469|1.67300,0.00000|0.00000,0.04083|0.01529,0.50332|0.05359,0.16843|0.04566,0.50689|0.04945
CTU1,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,10000|1250|5000,23,10.13935|2.09077,0.00000|0.00000,0.05993|0.01159,0.67257|0.01137,0.19900|0.01799,0.65359|0.00211
CTU1,IAT+SIZE,header_False,GMM(full),tuning_True,IAT+SIZE,header_False,GMM(full),tuning_True,10000|1250|5000,23,50.32370|29.77886,0.00000|0.00000,0.17709|0.08770,0.78064|0.00686,0.18844|0.09044,0.78969|0.01047
CTU1,IAT+SIZE,header_False,GMM(diag),tuning_True,IAT+SIZE,header_False,GMM(diag),tuning_True,10000|1250|5000,23,14.05030|5.70862,0.00000|0.00000,0.01474|0.01735,0.88668|0.01358,0.03141|0.01471,0.88771|0.01445
CTU1,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,10000|1250|5000,23,8.43914|0.88283,0.00000|0.00000,0.03161|0.00793,0.72560|0.03994,0.05816|0.00623,0.74836|0.02437
CTU1,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,10000|1250|5000,23,7.21686|0.45359,0.00000|0.00000,0.02944|0.00392,0.78838|0.02891,0.07238|0.01543,0.78830|0.03630
CTU1,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,10000|1250|5000,23,6.02792|0.25330,0.00000|0.00000,0.03255|0.00638,0.77544|0.02967,0.05369|0.00360,0.78608|0.02235
CTU1,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,10000|1250|5000,23,6.74592|0.46746,0.00000|0.00000,0.02700|0.00738,0.82426|0.02046,0.06013|0.01329,0.82867|0.02092
CTU1,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,10000|1250|5000,23,14.05193|0.50167,0.00000|0.00000,0.02365|0.00406,0.67192|0.04127,0.05034|0.00320,0.69569|0.02206
CTU1,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,10000|1250|5000,23,14.57869|0.70194,0.00000|0.00000,0.02766|0.00582,0.69177|0.07429,0.06779|0.00207,0.67974|0.09340
CTU1,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,10000|1250|5000,23,14.45749|0.50409,0.00000|0.00000,0.02734|0.00459,0.73130|0.02557,0.05230|0.00322,0.74618|0.02051
CTU1,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,10000|1250|5000,23,14.50741|0.72567,0.00000|0.00000,0.02727|0.00592,0.76461|0.03537,0.07049|0.00592,0.76290|0.04914
MAWI1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,10000|1250|5000,121,26.65532|3.56460,0.00000|0.00000,0.25011|0.02804,0.99497|0.00112,1.49784|0.21282,0.99671|0.00002
MAWI1_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,10000|1250|5000,121,6.97213|0.82962,0.00000|0.00000,0.03783|0.00795,0.96968|0.01203,0.18383|0.03159,0.97662|0.00800
MAWI1_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,10000|1250|5000,121,7.57428|2.00651,0.00000|0.00000,0.04084|0.00890,0.99493|0.00112,0.15641|0.01736,0.99671|0.00009
MAWI1_2020,IAT+SIZE,header_False,GMM(full),tuning_True,IAT+SIZE,header_False,GMM(full),tuning_True,10000|1250|5000,121,1.30532|1.40721,0.00000|0.00000,0.01923|0.01960,0.99880|0.00113,0.06004|0.06377,0.99906|0.00028
MAWI1_2020,IAT+SIZE,header_False,GMM(diag),tuning_True,IAT+SIZE,header_False,GMM(diag),tuning_True,10000|1250|5000,121,0.14400|0.07066,0.00000|0.00000,0.00239|0.00185,0.99822|0.00017,0.01071|0.00978,0.99868|0.00017
MAWI1_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,10000|1250|5000,121,4.16699|0.40196,0.00000|0.00000,0.00775|0.00170,0.98536|0.00910,0.03586|0.00310,0.98608|0.00790
MAWI1_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,10000|1250|5000,121,4.67696|0.79868,0.00000|0.00000,0.00715|0.00225,0.98005|0.00552,0.03018|0.00711,0.98070|0.00569
MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,10000|1250|5000,121,5.23727|1.31922,0.00000|0.00000,0.01352|0.00696,0.99088|0.00308,0.03373|0.00788,0.99148|0.00280
MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,10000|1250|5000,121,5.04115|3.93272,0.00000|0.00000,0.01234|0.01500,0.98444|0.00397,0.02148|0.00727,0.98660|0.00423
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,10000|1250|5000,121,8.19694|1.37035,0.00000|0.00000,0.00754|0.00106,0.96402|0.03088,0.01972|0.00041,0.96971|0.02321
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,10000|1250|5000,121,7.81206|0.21357,0.00000|0.00000,0.00694|0.00074,0.94168|0.00779,0.01902|0.00139,0.94799|0.00666
