UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
0,0,0,0,0,0,0,0,70.83 +/- 1.05,1.07 +/- 0.02,0.70 +/- 0.01,0.14 +/- 0.00,0.84 +/- 0.01,1.18 +/- 0.02,0.50 +/- 0.01,0.49 +/- 0.01,93.23 +/- 6.98,3.52 +/- 0.26,3.47 +/- 0.26,76.11 +/- 5.70,4.84 +/- 0.36,4.72 +/- 0.35,2.08 +/- 0.16,1.83 +/- 0.14,161.67 +/- 22.83,0.76 +/- 0.11,0.61 +/- 0.09,0.24 +/- 0.03,1.27 +/- 0.18,1.57 +/- 0.22,0.62 +/- 0.09,1.16 +/- 0.16,0,0,0,0,0,0,0,0,118.07 +/- 26.13,1.64 +/- 0.36,1.66 +/- 0.37,8.04 +/- 1.78,2.12 +/- 0.47,2.88 +/- 0.64,0.98 +/- 0.22,0.86 +/- 0.19,104.94 +/- 21.17,0.95 +/- 0.19,0.97 +/- 0.20,0.55 +/- 0.11,0.81 +/- 0.16,0.74 +/- 0.15,0.42 +/- 0.08,0.39 +/- 0.08
0,0,0,0,0,0,0,0,88.20 +/- 0.38,15.57 +/- 0.07,15.57 +/- 0.07,51.48 +/- 0.22,29.04 +/- 0.12,31.02 +/- 0.13,30.47 +/- 0.13,29.50 +/- 0.13,60.40 +/- 0.02,13.13 +/- 0.00,13.00 +/- 0.00,63.31 +/- 0.02,18.07 +/- 0.01,17.00 +/- 0.01,21.05 +/- 0.01,21.37 +/- 0.01,88.73 +/- 0.70,15.52 +/- 0.12,15.62 +/- 0.12,40.66 +/- 0.32,30.19 +/- 0.24,32.52 +/- 0.26,32.78 +/- 0.26,32.80 +/- 0.26,0,0,0,0,0,0,0,0,90.72 +/- 0.05,14.80 +/- 0.01,14.93 +/- 0.01,22.62 +/- 0.01,26.48 +/- 0.01,27.04 +/- 0.01,30.16 +/- 0.02,30.27 +/- 0.02,84.56 +/- 0.07,14.62 +/- 0.01,14.60 +/- 0.01,49.72 +/- 0.04,26.30 +/- 0.02,25.97 +/- 0.02,26.50 +/- 0.02,28.18 +/- 0.02
0,0,0,0,0,0,0,0,0.66 +/- 0.02,0.77 +/- 0.07,0.99 +/- 0.00,1.20 +/- 0.02,1.13 +/- 0.04,1.19 +/- 0.03,1.05 +/- 0.03,1.13 +/- 0.03,0.99 +/- 0.00,0.93 +/- 0.01,1.00 +/- 0.00,0.97 +/- 0.00,0.99 +/- 0.01,0.99 +/- 0.01,0.95 +/- 0.03,0.90 +/- 0.03,0.85 +/- 0.00,0.88 +/- 0.08,0.99 +/- 0.03,1.09 +/- 0.02,1.08 +/- 0.01,1.07 +/- 0.03,1.03 +/- 0.01,1.06 +/- 0.02,0,0,0,0,0,0,0,0,0.90 +/- 0.00,0.81 +/- 0.02,0.87 +/- 0.01,1.08 +/- 0.01,1.08 +/- 0.00,1.09 +/- 0.00,1.07 +/- 0.00,1.09 +/- 0.01,0.93 +/- 0.00,0.84 +/- 0.02,0.91 +/- 0.01,0.98 +/- 0.01,0.99 +/- 0.00,0.99 +/- 0.01,0.99 +/- 0.00,0.98 +/- 0.01
0,0,0,0,0,0,0,0,961.52 +/- 0.75,3.65 +/- 0.00,3.65 +/- 0.00,19.93 +/- 0.02,35.12 +/- 0.03,36.55 +/- 0.03,36.30 +/- 0.03,35.35 +/- 0.03,2792.46 +/- 0.48,11.69 +/- 0.00,11.68 +/- 0.00,23.55 +/- 0.00,26.52 +/- 0.00,26.25 +/- 0.00,27.18 +/- 0.00,27.21 +/- 0.00,1042.92 +/- 0.45,3.93 +/- 0.00,3.94 +/- 0.00,13.27 +/- 0.01,36.74 +/- 0.02,37.98 +/- 0.02,38.21 +/- 0.02,37.98 +/- 0.02,0,0,0,0,0,0,0,0,1441.75 +/- 0.14,5.28 +/- 0.00,5.28 +/- 0.00,8.69 +/- 0.00,39.20 +/- 0.00,39.50 +/- 0.00,40.73 +/- 0.00,40.66 +/- 0.00,1201.96 +/- 0.28,4.48 +/- 0.00,4.48 +/- 0.00,18.62 +/- 0.00,36.90 +/- 0.01,36.65 +/- 0.01,37.23 +/- 0.01,37.85 +/- 0.01
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag)
0,0,0,0,0,0,0,0,70.83 +/- 1.05,1.07 +/- 0.02,0.70 +/- 0.01,0.50 +/- 0.01,0.98 +/- 0.01,1.05 +/- 0.02,0.49 +/- 0.01,0.49 +/- 0.01,93.23 +/- 6.98,3.52 +/- 0.26,3.47 +/- 0.26,220.29 +/- 16.49,4.41 +/- 0.33,4.62 +/- 0.35,2.29 +/- 0.17,1.68 +/- 0.13,161.67 +/- 22.83,0.76 +/- 0.11,0.61 +/- 0.09,0.98 +/- 0.14,1.21 +/- 0.17,1.62 +/- 0.23,0.62 +/- 0.09,1.13 +/- 0.16,0,0,0,0,0,0,0,0,118.07 +/- 26.13,1.64 +/- 0.36,1.66 +/- 0.37,64.22 +/- 14.21,3.02 +/- 0.67,2.21 +/- 0.49,0.99 +/- 0.22,0.81 +/- 0.18,104.94 +/- 21.17,0.95 +/- 0.19,0.97 +/- 0.20,0.96 +/- 0.19,0.86 +/- 0.17,0.85 +/- 0.17,0.41 +/- 0.08,0.43 +/- 0.09
0,0,0,0,0,0,0,0,88.20 +/- 0.38,15.57 +/- 0.07,15.57 +/- 0.07,276.70 +/- 1.18,34.98 +/- 0.15,35.80 +/- 0.15,35.55 +/- 0.15,34.78 +/- 0.15,60.40 +/- 0.02,13.13 +/- 0.00,13.00 +/- 0.00,231.99 +/- 0.09,20.83 +/- 0.01,22.00 +/- 0.01,22.15 +/- 0.01,21.78 +/- 0.01,88.73 +/- 0.70,15.52 +/- 0.12,15.62 +/- 0.12,191.15 +/- 1.52,36.28 +/- 0.29,36.99 +/- 0.29,36.14 +/- 0.29,35.97 +/- 0.29,0,0,0,0,0,0,0,0,90.72 +/- 0.05,14.80 +/- 0.01,14.93 +/- 0.01,231.32 +/- 0.13,32.66 +/- 0.02,32.70 +/- 0.02,34.73 +/- 0.02,34.09 +/- 0.02,84.56 +/- 0.07,14.62 +/- 0.01,14.60 +/- 0.01,148.16 +/- 0.12,33.25 +/- 0.03,32.76 +/- 0.03,32.43 +/- 0.03,33.65 +/- 0.03
